"","SP5448_RS00175","SP5448_RS00535","SP5448_RS00540","SP5448_RS00545","SP5448_RS00575","SP5448_RS00580","SP5448_RS00585","SP5448_RS00590","SP5448_RS00595","SP5448_RS00605","SP5448_RS00615","SP5448_RS00675","SP5448_RS09150","SP5448_RS00925","SP5448_RS00930","SP5448_RS01035","SP5448_RS01090","SP5448_RS01125","SP5448_RS01280","SP5448_RS01415","SP5448_RS01430","SP5448_RS01510","SP5448_RS01515","SP5448_RS01535","SP5448_RS01665","SP5448_RS02075","SP5448_RS02080","SP5448_RS02085","SP5448_RS02380","SP5448_RS02385","SP5448_RS02390","SP5448_RS02395","SP5448_RS02400","SP5448_RS02405","SP5448_RS02530","SP5448_RS09265","SP5448_RS09270","SP5448_RS02865","SP5448_RS03330","SP5448_RS03335","SP5448_RS03675","SP5448_RS03930","SP5448_RS03960","SP5448_RS04515","SP5448_RS04520","SP5448_RS04560","SP5448_RS04680","SP5448_RS04685","SP5448_RS04955","SP5448_RS05100","SP5448_RS05275","SP5448_RS05415","SP5448_RS05675","SP5448_RS05725","SP5448_RS09385","SP5448_RS05730","SP5448_RS05940","SP5448_RS05975","SP5448_RS05980","SP5448_RS05985","SP5448_RS05990","SP5448_RS05995","SP5448_RS06060","SP5448_RS06590","SP5448_RS06785","SP5448_RS06790","SP5448_RS06795","SP5448_RS06800","SP5448_RS06975","SP5448_RS06980","SP5448_RS07000","SP5448_RS07005","SP5448_RS09425","SP5448_RS09430","SP5448_RS07015","SP5448_RS07185","SP5448_RS07190","SP5448_RS07195","SP5448_RS07315","SP5448_RS07370","SP5448_RS07375","SP5448_RS09460","SP5448_RS07470","SP5448_RS07475","SP5448_RS07480","SP5448_RS07520","SP5448_RS07645","SP5448_RS07760","SP5448_RS07790","SP5448_RS07795","SP5448_RS07830","SP5448_RS07835","SP5448_RS07840","SP5448_RS07985","SP5448_RS07990","SP5448_RS08105","SP5448_RS08240","SP5448_RS08260","SP5448_RS08605","SP5448_RS08935","SP5448_RS08940","SP5448_RS08945","SP5448_RS08950","SP5448_RS08955","SP5448_RS08960","SP5448_RS08980","SP5448_RS09580","SP5448_RS09585","SP5448_RS09105"
"SPYO_As_1 (GE) - TPM",-0.144381380297041,-0.0733072130469815,0.330556057676106,-0.125210559780246,-0.800015468153271,0.518606655759087,0.404002681803669,-0.311450206511303,-0.140234315427281,-0.640901245039116,1.0199002003053,-0.307755628139537,0.247245537687927,-0.250402243283575,-0.250019309983067,1.18047135217387,-0.841831391755206,-0.0375209373559478,1.2629828576095,1.17742496421337,1.28764457270701,0.0384077435811397,0.504865129396857,0.073808889024844,0.151142273440211,0.071115142901667,0.867923176388214,0.925349274715986,-0.213725158612571,0.166436467627928,-0.293264831684807,-0.110825153931772,-0.281661059684138,0.664428896934777,-0.7255484588855,-0.670481523009146,-0.187767546312335,0.305950223483291,0.724388180667976,0.0741976552479907,0.443899448151953,0.642046584323562,0.243742421483181,0.266795114714882,0.504001589780766,-0.279626214962011,-0.452931508098175,1.1638407751986,-0.313318390983534,-0.546691450548548,0.169516324245888,0.602915334410471,0.692601933185037,-0.0577241536181763,-0.421490141707122,-0.541382845279584,-0.21063343832796,-0.680592163627005,-0.13596196955606,-0.200480935143452,-0.651345084847228,-0.263470638288683,-0.170604990188145,0.0759591621857806,0.152042616181726,0.174615974632136,-0.16866476361076,0.207269936508495,-0.724447163940372,-0.262864740108668,-0.185898555830991,-0.279545999845089,-0.619192010524282,-0.160575124853797,-0.626369859067283,0.853515014280711,0.573680660079477,0.159012338734281,0.114161846792261,-0.021343893879846,-0.350161475484728,-0.269642114269986,-0.372032666685489,-0.446733281132018,-0.267463168783781,0.994275259886821,1.21904199921498,0.886832565824478,0.430600975549968,-0.122667534791183,0.0355912487151394,-0.479595220958222,0.215436138721037,0.408293303370822,1.16572722501989,-0.102942638790816,0.285717986673256,0.579403712026164,0.247643492339924,0.277227836907313,0.262320736911734,-0.391106543384163,0.232864172643184,0.0441034713248842,0.0326034247880279,-0.182426674953875,1.39154208296986,-0.0542052766491819,-0.4129077688398
"SPYO_As_2 (GE) - TPM",-0.120600617780506,-0.0729587803408813,-0.0870718391618582,0.17264726299232,-0.827245485504075,-0.201055447402782,1.05312637969174,-0.38170439114673,-0.265468202578886,-0.595476844015583,1.42531328486225,-0.162631395174077,0.17125942724831,-0.262300710226683,-0.240451377145221,1.20354692131666,-0.769256487328805,0.202450521743299,1.40531501126533,0.984816771117835,0.771018533222811,0.11543533851798,0.363004691132307,1.29488939700261,0.218540454252757,0.31609586391062,0.660479143264581,0.829644838683705,0.20618841161456,-0.223697274823704,-0.125008185160587,-0.369222591841183,-0.186562893513145,0.0528853049183374,-0.735901458186851,0.149902721852245,0.00990294373901831,0.352734114553874,0.987334905986734,0.601621250647173,0.305566055704959,1.00453952514267,0.131369386301656,0.46111184983878,0.51279705646316,-0.383650020857818,-0.545922103419011,1.01370721995273,-0.620929076436412,-0.503289515791382,0.0692937747368191,0.670851971585145,0.201808743021483,-0.0052141921040538,0.328437022020736,-0.630652479729452,-0.0621794147492987,-0.0258560294771208,-0.173630392924762,-0.374729767118908,-1.03553462731922,-0.330548946817481,-0.146101459042195,0.127691222868637,0.187671982527111,0.18672116163714,-0.269211617188697,0.437994477978341,-0.580364670317662,-0.298416219990675,0.160153349444189,-0.912717614489363,-0.327593873155731,-0.606396080066389,0.0413027586803115,0.513081978333095,0.248212098820049,0.471024817435296,0.288638008180538,-0.0359221090039318,-0.140637987103674,-0.423206980639678,-0.306758870769789,-0.306663599070336,-0.247599104034691,0.209708925807914,1.08526008412329,0.67237970366622,0.461792979747502,0.0221262705623896,0.178535643113925,-0.398336716759109,0.521907809931492,0.985209972106019,1.24304159985922,0.0909243570210209,0.328552385793051,0.59286925465588,0.285876500712338,0.392018809894735,0.180453125416192,-0.100676030875572,0.0441239103642304,0.150528004181626,0.302671508799834,-0.252940188719914,1.54870351141521,0.481664609610838,-0.718714507426187
"SPYO_As_3 (GE) - TPM",-0.151802979672994,0.26721786376053,-0.408572061912984,-0.0873694473228695,-0.7800257468612,0.238986573442807,0.240118350537145,0.483660213597316,-0.493350077717114,-0.0127573892793053,1.44810275629858,0.337949085930152,-0.702140871371633,-0.352889131154242,-0.330973222514744,0.71544431347061,-0.680091529191326,0.401886469581441,0.557600772763148,1.31415520259897,0.951442610784442,0.254672341313621,0.694310312344369,0.570172488645131,0.251666916013135,0.0547701751933299,0.700247055048035,0.472190623381302,0.0466376815483167,-0.205897420975479,-0.34577533286521,-0.248688793977953,-0.566444898244803,-0.318669398804774,-0.64084052153791,-0.308549650762518,-0.0513276759741176,0.696309031729286,1.02997492315719,1.26226222733583,0.110594431181023,1.03980995394403,0.0192100250454366,0.410273487455749,0.53622544242841,-0.366910650590864,-0.310332947596499,0.517176869120921,0.44489161091052,-0.388029470062779,0.0466991406906743,0.291104195445408,0.408165328639835,-0.0610274135451717,-0.628341612209028,-0.526962996798385,-0.061698873371177,-0.075574820727021,-0.0107597894737384,-0.19520630977718,-0.739231312816807,-0.184055997397267,-0.211840236668523,0.373391420949983,-0.206629591853057,0.331879257200854,-0.200462788859581,0.134297398645466,-0.564689084882959,-0.363907419325176,-0.488921763748158,-0.912717614489363,-0.396264739123755,-0.311460036096722,-0.586809610212422,-0.031554742853931,-0.182567810626789,-0.251127526212848,0.258196486831651,0.197675435565312,0.229725348424938,-0.206585074221824,-0.299648260392569,-0.241123191657113,-0.205005402089929,0.539725127662313,0.875115150934784,1.07757265897521,0.623672014622154,0.0219669406508807,0.01991372335377,-0.453217071069449,-0.70521401420825,1.09704007850198,1.75854391444484,0.258520731500993,0.375440652867319,1.46526310650477,0.105661679417778,-0.169037050002075,-0.0456474367646856,-0.293945894605235,0.109820681861322,0.0652956337544356,-0.0900935923337607,-0.261949534175133,-0.0524690167861202,1.00294033746829,-0.281504397843787
"SPYO_Bs_1 (GE) - TPM",-0.238396590986832,-0.242636719368323,-0.350593735813665,-0.436307685785389,-0.943491840272268,0.462910273858544,0.0158090254953036,0.252509155817185,-0.463009045192506,-0.583200084088006,-0.186904481573635,-1.02743089232234,-0.128127501517207,-0.190878289990001,-0.220691514894579,-0.596231399122957,-0.753418819817023,-1.11179135010932,-0.0362375942598146,-1.36103104620676,0.318599816153379,0.084551576927787,-0.525367418913217,-1.38761802712793,-0.958883683090794,0.542489835211817,0.0295300080945644,0.350495602535346,-1.48937649752351,0.827191964865295,0.532044795792243,0.233894150657962,0.232709697618572,0.576338357166043,-0.791389700211675,-0.00402476274322287,-0.745534186408963,-0.834361071794904,0.0857967801632219,-0.181601520647242,0.0751377903163715,-0.684241969991819,-0.558780108070326,-0.110833719521394,0.508806553452099,-0.645220252329707,-0.824706340564532,-0.822874909194617,-0.490922346002141,-0.707533909739534,-0.634512596299434,-0.47922141984227,-0.793176508581023,0.0673182116363675,-0.0962140098470937,-0.631313542112625,-0.601601387966865,-0.629473444450484,-0.367770732255597,-0.588463007402458,-0.461614736223012,-0.400272198364891,-0.618620690280371,-0.430157294906094,-0.45044532851232,-0.787927934213918,-1.07088886733394,-0.818644721421998,-0.152685082731405,-0.425701130874028,-0.426157285835169,-0.721305051302728,-0.286792655557895,-0.316479137847866,-0.0470114457234775,0.496843369016897,0.390622933667169,0.542287359361355,0.135306307407792,0.125821841267392,0.304133925857551,-0.22656951060831,-0.113382790765855,-0.0806435163408016,-0.107095436706879,-1.4644390441543,-0.66560360698438,-0.994419042934375,-0.435067396611002,-0.429884361617609,0.0111268665217836,-0.490271063488217,0.357083643153242,-0.724521552769208,-1.11209711591359,1.21841682543319,0.946355817791703,-0.202511067486331,-0.765598336687716,-0.492444927392436,0.0125425663529258,0.365016934168077,-0.134438980392146,0.154942240130444,-0.749637938586139,-0.300559147759676,-0.233478147411556,-0.806317220481429,-0.849443584181129
"SPYO_Bs_2 (GE) - TPM",-0.261938745443004,-0.456769638663884,-0.65325808034907,-0.79089679208796,-0.886658659640063,0.137832865047377,-0.0867106758732696,0.284312307587541,0.440759112908725,0.47655987915115,0.116943064469994,-0.664328738024973,0.279165698736387,-0.269402810686156,-0.242944196516063,-0.853138066581808,-0.846734383404955,-0.810423039431203,-0.725996569849944,-1.23287870315336,0.45070415877249,0.265567812009252,-0.653514836284239,-0.563478694294569,-0.903276561230948,0.179641661808897,-0.421132510970029,-0.249846399982899,-1.47522074131211,0.212612104757127,-0.327399329858337,-0.474924453710988,-0.108053228783771,-0.0058280268079604,-0.611154603378975,-0.0176646055703746,-0.463224071752235,-0.541541871286474,-0.236169904620779,0.0581858238197293,-0.0824092035246711,-0.295033153157854,-0.514201582049289,0.273762158087387,0.320969263200927,-0.445155335707189,-0.69175335617693,-1.06261162533214,-0.283968440233285,-0.752955336899942,-0.691006845124785,-0.888830035315968,-0.718047261724226,-0.299282260585635,-0.601211927189396,-0.629764994056665,-0.557830595899024,-0.419845249660206,-0.454481734450231,-0.702626289820803,-0.474322254973826,-0.213748729536953,-0.813622202943238,-0.221849837914432,-0.372521734478787,-0.70772511815497,-0.887933415956938,-0.704248745167966,-0.0330829316196298,-0.405343596864288,-0.440735742146264,-0.585487595341856,-0.0446404397721148,0.080786532675586,-0.849763009396075,-0.203374169662945,-0.349415489352718,0.0689325395362495,0.131277597427025,-0.286852895804187,0.0264838758899962,-0.174194573311173,-0.129136987503145,-0.249301527543673,-0.314111468297856,-0.690420061860679,-0.434564102470726,-0.746109199177138,-0.515543161613497,-0.184607845281701,-0.0844267730062732,-0.490708528599885,-1.07955213645128,-0.450308783538552,-0.597070967528088,1.48548764163596,0.948935081756938,-0.207228141385764,-0.876391310746704,-0.523064768269867,-0.308128644512731,0.189702302402589,-0.24856049465469,-0.078202129915327,-0.728940354161376,-0.279224034749797,-0.186768223192139,-0.609053463653127,0.0888576565840975
"SPYO_Bs_3 (GE) - TPM",-0.212872739188018,-0.0821483575261558,-0.16501563038557,-0.480261439304721,-0.887788464312914,-0.0856856103397389,0.0260476691475302,-0.115202052146335,-0.189977701424978,-0.449855587854535,-0.229764943742383,-1.01629219508548,-0.235873199946401,-0.163445881911148,-0.211946557972539,-0.586106232156494,-0.767610975573278,-0.955210916134639,0.190099546995596,-1.60231531079314,0.0900091595104268,0.160709686912539,-0.678246075113763,-0.700983768440411,-0.963150984544707,0.446625893813721,0.0179829066355426,0.30365667977958,-1.38330576325163,0.83718357934573,0.304123175113481,0.459031254892439,0.312210700537559,0.820660384699143,-0.791216246341534,-0.675357237575097,-0.82357984328736,-0.796726560158653,0.0469895108486307,0.0630837793079349,0.10968818224723,-0.384192958034415,-0.258927528250732,-0.0862135123704322,0.45439554138819,-0.469625137827659,-0.685221307177519,-0.706356210759807,-0.553907067998644,-0.703928121522149,-0.67748259364407,-0.611926045462827,-0.754205600597115,-0.186193855282687,-0.721428972942527,-0.663622510950878,-0.646754525317595,-0.804919439831916,-0.650138522744225,-0.625929758476018,-0.563133791639461,-0.376968129844294,-0.574693070615211,-0.403722252553832,-0.378647207777057,-0.843342288053226,-1.14520070911124,-0.805507664004035,-0.685367647527922,-0.457736062281202,-0.604245206323482,-0.213042786282026,-0.585316643016001,-0.134335036530644,-0.0189841151544442,0.251865475993665,0.424394311323287,0.534829196332567,0.0782329971011742,-0.151351935074187,0.39977375804925,-0.4067163207315,-0.185818119815454,-0.193724841695199,-0.27758075618292,-1.11211072815446,-0.611179327473401,-1.12421888343122,-0.391917631944283,-0.276557209058987,-0.000560373039855357,-0.486472950062586,-0.00520430408788978,-0.616939058319621,-0.978600164371406,0.837318048022134,0.896645046926787,-0.401196762486456,-0.678228765659404,-0.526783021064355,-0.0220935326984599,0.425660393011754,-0.138785851868329,0.0921003646793846,-0.375892059633759,-0.266797457028015,-1.40523564320922,-1.07897205843828,-0.704802102538876
"SPYO_Ctrl_1 (GE) - TPM",-0.154520731815487,-0.121562734614922,-0.795130308546226,-0.984243762257631,0.119123622524067,-0.377697358064366,-0.70757060996591,0.26984796152454,-0.180440055454724,-0.8593567212644,-0.0368973610517938,0.571533393986431,0.131754398402323,-0.265219904655226,-0.276097268983804,-0.614111256818231,-0.942598407813377,0.173883028582188,0.0135706494083588,-0.590172949887962,0.0721567906894477,0.083756443562349,-0.191285963523481,-0.895719300822477,0.735811726241267,-0.0119250478682946,-0.125094298541567,0.0646262503408965,-0.372279478745154,-0.757627624631944,-0.878886890838925,-0.425865160095313,-0.511206840502122,-0.432121256692936,-0.0285663876960987,-0.543044177710994,-0.238926243696766,0.662856999989507,-0.139249401682135,-0.099112817866695,0.448553192481502,0.176725562924113,0.0162076881182475,-0.0419320371290304,-0.654155791759897,-0.285336681180919,-0.00563857299612255,-0.425833047790762,-0.594733830541028,-0.326679710768103,0.0241247951582874,-0.255988485684315,0.314905169468924,0.154349732767767,-0.152603801024002,-0.085230313907069,0.161947550666966,1.22106177470164,-0.300175796848074,1.88705007302343,0.190642950888551,0.197519728884144,-0.774825172428222,-0.637383108650386,-0.109556947488895,-0.0685900826291305,0.252872311659458,-0.242227032126497,0.00805585322975054,0.0175175146750796,-0.531375805523119,-0.912717614489363,-0.359822872883504,-0.151958719015678,-0.656677941303228,-0.170151374853406,0.0660373853540995,-0.0721963617029473,0.151450317770544,0.0256571366625146,0.107007817375756,0.0308639091197554,-0.274404944160425,-0.297298699995424,-0.21239520649493,-0.441460225001882,0.0763090088812095,0.373127610957331,-0.00461321055880263,-0.309263647576031,-0.289960496363515,-0.257330201408137,-0.666249774804324,-0.158550481778237,0.154325494117905,0.140178051099796,0.0532193220823496,0.486660649685083,0.30603886877907,-0.0275618529506082,-0.16256779248357,-0.3267507356654,-0.157011482010537,-0.0518674606687071,0.382195834706495,-0.217978721033453,0.133369618132347,-0.0385120715767579,0.121045837525459
"SPYO_Ctrl_2 (GE) - TPM",-0.20423526740457,-0.559115961596271,-0.739148945400806,-0.540779817780674,0.0336999434913518,0.0197256778426415,-0.329643085124206,-0.414886418076151,-0.760861944374948,-0.352248619348609,0.0133220260640555,-0.0763925975586054,-0.702140871371633,-0.2411961226042,-0.269896303540154,-0.485669641005686,-1.02153199539934,-0.19372228327952,0.540551341320942,-0.529865553971168,0.443460628233919,0.0123247958798176,-0.210217333151267,-0.815439248656685,0.0705231154439534,-0.171744777767069,0.434355547000696,0.15973811647968,-0.13121819688572,-0.463787554494216,-0.448195618124729,-0.156652666233464,-0.646820958552536,0.450146754273673,-0.0275020067482297,-0.790586357604576,-0.483377310421907,0.458219501120648,-0.21080937842607,-0.0589537693705445,0.49703516921257,-0.526700390667914,0.563797242950312,-0.205697146371587,-0.547286137259934,-0.398489870515384,0.149951606038501,-0.326654921387475,-0.207989181340806,-0.274521167786984,0.222365202717315,-0.132981333540104,0.209145696457879,-0.573881767147527,-0.410052558328471,0.212409602810959,-0.331404996191477,1.13752527457828,-0.276921397199269,0.16236773171019,-0.380640398445291,0.270438851369135,-0.643011076031848,-0.710414163772652,0.698908095897199,-0.204518844936574,0.150051682173778,-0.461169422989338,-0.509832162090545,0.0964450962252316,-0.205422498173348,-0.511843951421552,-0.0451786430456753,-0.602269831201461,0.0709183626616478,-0.130891705789998,0.471127926145065,-0.182158100133653,-0.0512970315313014,-0.00301768010729251,0.317404540430789,0.003707140213636,-0.354670019820474,-0.493808873921655,-0.343789331657672,0.576614117743836,0.904529805954881,-0.375397364290272,0.00610119856374199,-0.399672220588697,-0.290601769694698,-0.317012018979004,-1.04904535840436,-0.453714470375833,-0.467744020322103,-0.309159735162199,-0.258239793544379,0.153006600286038,1.36654061020298,-0.120817734991599,-0.00524560361652997,-0.112846915756811,-0.152193821175039,0.0953380759223158,-0.00617533486170823,-0.133438476614648,-0.324307117818178,-0.532910964048343,-0.00739075331527918
"SPYO_Ctrl_3 (GE) - TPM",-0.220029234338821,-0.674195012590013,-0.697680069769731,-0.265415001965448,0.246364713254628,0.153325506838346,-0.430803228637212,-0.645575977990405,-0.384798463689402,-0.0546947992353807,0.0324760971574954,0.0346010667476695,1.37025249321368,-0.310077039004534,-0.283374207008414,-0.611313664870696,-1.04864253652039,-0.171784721980421,0.364213498030447,-0.701587163837421,0.433964263860344,0.0210533868358442,-0.00579243066421865,-0.631891713597844,0.0162655122842546,-0.21122515933068,0.318932586446321,0.14389563046842,-0.355484109795327,-0.522071495284804,-0.469667531193595,0.0801183367430953,-0.555684640721684,0.31170391524205,-0.136129550252317,-0.785277283374251,-0.319363758801671,0.491850391850309,0.0408985860715631,-0.285756399373704,0.611151869022493,-0.399318725185302,0.485082112298858,-0.400837389534745,-0.671846675668167,-0.366670362982449,-0.0107300598151148,-0.381475823213497,0.179674838559875,-0.414182026713627,0.0236371237271477,-0.703397482888793,-0.155347489221747,-0.193350328883574,-0.326517345959757,0.125045683200972,-0.0480578074128152,-0.0716043791937455,-0.225764042979246,-0.787329320662966,-0.153118262098294,0.294749259564443,-0.854159375665433,-0.886011190979496,0.610655252858409,-0.287913896132251,0.310213487984324,-0.270375892406075,-0.371752305420105,-0.522365376226974,-0.39569729259834,-0.636290515894492,-0.569675718884592,-0.493518615549001,0.70166014410752,-0.303211951388328,0.436732768020551,-0.156025686658859,0.0407522732703269,0.0970262329266495,0.155554424183652,-0.666767245581198,-0.341305691494836,-0.469396285760689,-0.337714198792208,0.182543816210887,0.432941634243967,-0.0663430349340475,-0.215677427271678,-0.249102306606738,-0.183523253369059,-0.311178487813118,-1.35441989141884,-0.23777794102751,-0.671134595142884,-0.316179779406036,-0.0736493083702355,0.310970638241954,1.15100146874398,0.01611022436645,-0.0680339653350633,-0.0346716112153708,-0.170950772486244,-0.135018053973495,-0.0568427898293439,-0.222213093811165,-0.149296280930176,-0.318088500905683,-0.0859603612190035
"SPYO_Li_1 (GE) - TPM",-0.31696518737586,0.45020219384895,0.596418283323438,0.410560521100192,0.193225168451994,-0.418524553474431,-0.469094515225213,0.295328772048227,-0.579546468957645,1.55926212069132,0.269941073088424,0.311383107172613,-0.702140871371633,-0.184691794904657,-0.25400047681217,-0.0690933644197876,-0.0452454761444347,-0.0348316905529794,1.36899979774225,0.83122979871867,0.374148120470845,-0.00973088235010061,-0.328307634134705,-0.0511644952996973,0.96567798705013,0.213972775000771,0.528236271185086,0.844500852068469,-0.465869010567283,-0.714574045808108,-1.11388378288037,-0.790971368169689,-0.754822902195571,-0.792650422481565,-0.0463035084465041,-0.585779314719376,-0.378867453048594,0.631894626805531,0.508020985996249,0.540261592007561,0.469447606712901,0.893710112666422,0.535482568493107,-0.0979775935596393,-0.579921935347158,-0.361486731011032,-0.169780501646958,-0.223223043347745,-0.275648700091086,-0.332283626359206,0.72416013243088,0.499931894660519,0.600638772372215,-0.0217279110910403,0.552656685632479,0.455057865148187,0.332781219894961,0.034048706636403,-0.197835297244423,0.717138244738168,0.250311508618023,0.0501011919151218,-1.39689752223294,1.7347097234671,0.558638979662456,0.143166468125643,0.832852858479203,-0.255444259641285,-0.0730552891098984,-0.457987280367981,0.286093920131897,-0.0843089433964184,-0.511425676021859,-0.0636501586249365,-0.0605932768339952,0.21247711554657,0.214256671660255,0.0910516457755108,-0.468835010616286,-0.724410192251202,-0.885918001541572,-0.493574651948482,-0.571283060106493,-0.562231473478174,-0.578561547629742,-0.394260394093485,-0.189282357366434,0.620722593791562,0.915236270390987,0.781198570889557,-0.357376415268156,-0.364379340163097,0.266420684086151,0.232416998560799,-0.193520715161549,-0.0980752515049128,-0.481773386555985,0.360393057136882,0.293172966223543,0.46802557617497,0.262509288174345,0.107384684646431,0.224334111206834,-0.16842028246145,-0.079739824706343,-0.309334905161201,-1.0895569920461,-0.0860854746517863,0.729949653196012
