"","SP5448_RS00205","SP5448_RS00210","SP5448_RS00215","SP5448_RS00220","SP5448_RS00225","SP5448_RS00230","SP5448_RS00240","SP5448_RS00245","SP5448_RS00260","SP5448_RS00610","SP5448_RS00715","SP5448_RS09155","SP5448_RS00720","SP5448_RS00725","SP5448_RS00745","SP5448_RS00750","SP5448_RS00865","SP5448_RS00975","SP5448_RS01765","SP5448_RS01770","SP5448_RS01775","SP5448_RS01810","SP5448_RS02705","SP5448_RS02710","SP5448_RS02715","SP5448_RS02720","SP5448_RS03520","SP5448_RS03555","SP5448_RS03565","SP5448_RS03595","SP5448_RS03700","SP5448_RS03705","SP5448_RS03750","SP5448_RS03755","SP5448_RS04300","SP5448_RS04305","SP5448_RS04405","SP5448_RS04410","SP5448_RS04415","SP5448_RS04420","SP5448_RS04945","SP5448_RS04950","SP5448_RS04965","SP5448_RS05210","SP5448_RS05460","SP5448_RS05520","SP5448_RS05950","SP5448_RS06500","SP5448_RS06665","SP5448_RS06670","SP5448_RS06675","SP5448_RS06680","SP5448_RS06920","SP5448_RS07155","SP5448_RS07395","SP5448_RS07460","SP5448_RS09495","SP5448_RS09505","SP5448_RS08165","SP5448_RS08420","SP5448_RS08705","SP5448_RS09020","SP5448_RS09025","SP5448_RS09575"
"SPYO_As_1 (GE) - TPM",0.176882915775412,0.927194982590692,0.464897569687555,0.244868321804168,0.435630515353513,0.410332282970164,0.394409266709375,0.332658447445773,1.32113809136668,0.0184166104395288,0.185384396723985,-0.293408223235147,-0.106302401825858,0.883269395324675,0.700564870057483,0.195207630502086,0.653807098539179,-0.580094791357087,0.889392587039902,0.921039025418122,0.801598998047481,0.810209431791717,0.229221287218314,0.341639361707395,0.695847748594655,0.223101736142478,-0.123121245407925,0.151328937847006,0.0858095113183758,-0.116110674086568,0.154451973102151,0.80395727902689,0.726483313954606,0.784818487195386,0.483232391348592,0.143647960843096,0.242555557458745,0.273337605123729,-0.717228148042865,0.266017528468959,0.852866286502443,0.76425570613361,0.547747939544587,-0.451893559481075,0.326668972192328,0.405623111825445,-0.158488425052844,0.360556172430504,0.0853902666361317,0.257491905690656,0.0470975787575351,0.165346294058113,1.20328779342222,-0.483088692990879,0.644755405060376,-0.346273310302787,0.736500077453778,0.276927803874621,1.03368560554225,0.32036205395481,1.15618389859722,0.860917240119863,0.484547521272176,0.333748575209658
"SPYO_As_2 (GE) - TPM",0.302250897206645,0.648359637147944,0.210996859988638,0.53580048681705,0.522807575445508,0.552249065664491,0.340973433724893,0.316073530927551,0.786730908479151,-0.341815316791155,0.172083019770546,-0.449373610534419,0.642492427671785,1.66248732280621,1.51088520485837,1.0277213002361,0.150105520201355,0.710365882277429,0.991185568788236,1.11956193926896,1.17448427410993,0.598568020628368,0.950756416687051,0.614329305292106,0.169446622255593,0.28536738918431,0.859055695358957,-0.0133877826596793,1.22520446058193,-0.0446991483944948,1.03838311800317,1.44680301614904,1.01249235959587,1.30851357995488,-0.789101261396392,-0.0915307253645559,-0.00214383826359865,1.17393366660215,0.864609384980646,-0.359172740147191,1.00783215112153,1.0750393510245,0.252990277448694,-0.271924545450635,1.05651276334124,0.752121393738177,0.461773458634936,0.209937694532757,0.198090792274817,0.392518637882424,0.323387738366216,1.32244325803343,0.780434507818539,-0.411777480290227,0.549121483540064,1.33874851065616,0.599538529261137,0.397413246759327,0.482548579045714,1.26949396072631,2.164898439284,0.451596314148554,1.06728101946835,0.57864733528373
"SPYO_As_3 (GE) - TPM",0.0277453111133975,0.0436881739861573,-0.343204965038459,-0.324477243440959,0.170781046421452,-0.101693785970278,-0.364294406030073,0.0108190515610547,0.403015011866746,0.934305024085869,0.429571302551311,0.603583642875988,0.701136264481421,0.78173943007064,1.43991698338724,1.6334130860627,0.675450110565021,0.19333251493852,0.534929621368393,0.931961398871179,0.434400197234502,0.39415062121204,0.701392186109076,0.482654935392125,0.428645265616422,0.364976649296265,-0.401245814982923,-0.443690945991593,0.0373430215661792,0.218878814556356,0.250887027802133,0.121777162644561,0.166687706412372,0.391033501772321,0.260110071086943,-0.218469548888765,0.225823051675703,-0.289916496929343,0.0777793379251388,0.29250380802036,1.21609221613734,-0.0866941982837872,0.246230351504668,0.556661495984789,0.634137817722984,-0.172050704133119,0.17581004105563,0.44755396569456,0.706992207782848,0.372573559944221,0.282530056300129,0.323954071060399,0.314564939584968,0.257788302991948,0.57773173203386,0.243326479461463,0.231388782161535,-0.34486521584531,0.556797808179519,0.607762331377368,-0.306510658637473,1.28718838076256,0.96249947656303,0.087920191619262
"SPYO_Bs_1 (GE) - TPM",1.0677781867618,1.00317440719921,1.36348653895319,1.2208628032141,1.56661979297754,1.29387088587206,0.241902006852994,1.24645543239444,0.349955277090852,0.574722192454683,-0.0661764187980546,0.594964452866392,0.310815410023205,0.262755003136491,-0.442760138976619,0.161553583896403,-0.727025292010578,0.491467650945707,0.890263358351201,0.935920775655911,1.0248756789126,1.48346199510843,1.2687038145088,1.181686724873,1.59985352133483,0.677478464060323,-0.0577979135217006,0.189744271531172,-0.342795852586431,0.0675074278689735,-0.210977108219777,0.136068355642337,-0.295106058987996,0.66604017671522,-0.0476821730045351,0.176479245053044,-0.0948913872308377,0.0682515445489432,0.0702477338644231,-0.196550865184483,-0.0790206957155247,-0.224796809893045,0.625019897889172,-1.6991343219715,0.761895175391137,0.961613029092258,0.131413646629797,1.30965622095605,0.325643486438703,0.939726635533236,0.438719362263181,-0.127417181063331,1.58675627382409,0.718716283918841,1.2418414861885,-0.258346593900559,-0.373876230086333,0.939880516529448,0.145912987234071,1.64217917164786,0.228307743579212,1.15068496675939,1.5022192607134,2.08443493646854
"SPYO_Bs_2 (GE) - TPM",0.518308946281473,0.466117211711028,0.590019872149637,0.444574865195605,0.542214103874929,0.600095003073092,-0.171669781995542,0.296799070437522,-0.0721731017997864,0.814905541827861,0.20252354490121,0.6606247206052,1.19769506128844,0.677998186532254,-0.297700493843741,0.460482278816202,-0.507565262840943,-0.248222012443525,0.518325699854019,0.699345588001825,0.236818720703887,0.134267522495107,0.431350289866881,1.35329880163142,0.719632519942528,0.857532463433001,0.0359795783095818,0.457546955010586,1.26933678867331,0.27877657279591,-0.385970750008073,-0.0520247892513619,-0.366650377759938,0.0896705933737147,-0.0768199008651059,-0.372005759111026,0.148206959676597,0.600134879238088,0.464323263026798,0.101200932244257,-0.441290505218474,0.325278318767966,0.464283720520543,-1.558998516641,0.481500083934519,0.759006436681803,0.720206876808251,1.24202933028966,0.133987785137666,0.664480218915371,0.280961786846559,-0.161661133697515,0.845754005196002,0.777623044707698,0.324515305878653,-0.106116889361788,0.643844541739766,-0.0195378808845427,0.0137303747193829,0.292384633906474,-0.197743853806078,1.21362206083246,1.25082161949415,0.742417982371466
"SPYO_Bs_3 (GE) - TPM",0.914097856157365,1.2728116483079,1.4507854937399,1.27494068174386,1.24414595463498,1.21842148195778,0.602620980614332,0.85519360233954,0.212548751004589,0.496433723614419,-0.165733120708614,0.676851450943321,0.469194665921696,-0.0511802732550847,-0.330467038208763,-0.12083001564348,-0.445748583082395,0.479142139524161,0.852552514365876,0.920497818809439,1.05476119861572,1.36737872289557,0.70445357679824,1.11797860519732,1.07025619465146,0.978380484317919,-0.519992024004996,0.638358024373393,1.34948306245942,0.20957908003927,0.0548409272104824,-0.160264495000881,-0.270845551803197,0.647960791193669,-0.299877555632237,-0.497011674195378,0.570916327825296,-0.214665758789048,0.285861459091279,-0.0747864672132784,-0.230104698628539,-0.337263529609265,0.733788831653438,-1.71183706076722,0.308687933447642,1.21677993714392,0.524654065257184,0.956804673219739,0.300629345055466,0.749155881206375,0.798135924849941,0.277831321502454,1.45386522930475,1.12662534787357,1.10856050743857,0.590229144370797,-0.228465240640243,0.711731212830769,0.47018647054671,0.572155032339074,0.299391353063521,0.985889727643419,1.47348738251848,-0.0392627515543056
"SPYO_Ctrl_1 (GE) - TPM",-0.0395608491112465,-0.275015494419783,-0.0635362363271406,-0.00882437435078594,0.0542596994485004,-0.00289473185853739,-0.442923589872084,-0.415044916919525,0.0640151655916049,0.282589742874799,-0.759787660200196,0.659949085389608,0.214281898460428,0.13620172064909,-0.653314209068825,-0.293733532641982,-0.47296402059947,-0.479004965401488,-0.550465513482257,-0.578476494553973,-0.562077161207731,-0.0160496762775563,-0.122596274488519,-0.435031783286633,-0.140282238088545,0.277993142900566,-1.33941955909556,-1.23029503771143,-0.835781618960927,0.331672156154786,-0.211667900305331,0.55130892815525,-0.3432850476857,-0.230510744129102,-1.09680585161862,-0.590398309188906,0.962300198623166,-0.120394984035141,-0.389645411245969,0.774838134655136,-0.270533937166686,0.741592943493492,0.311301496514624,-0.0928383143436833,0.517085676500649,0.251063616059101,-0.258787203851584,0.114646759756561,-0.150464598513948,-0.291008237934429,-0.529411450561673,0.443215218007396,-0.185435897479481,0.116841404670078,-0.0691554154199601,-0.562710665692365,-0.421617572687028,-0.882081874770981,0.197108174509636,0.135109078822366,0.97891051617848,0.651061634382913,-0.206415663605029,-0.746922807838162
"SPYO_Ctrl_2 (GE) - TPM",-0.0114002366788512,0.0968470032219376,-0.151080114768422,0.249167749098444,-0.297692195025602,-0.218547208109316,0.21831628582925,-0.518970438605289,0.199529471060577,0.429397360492838,-0.0493129767707528,-0.343051235405057,-0.194985070485723,-0.543715834118945,-0.749120914167466,-0.355895565412096,0.571721889416748,-0.190190015397882,-0.570932253077045,-0.504547442974299,-0.247212802360897,-0.0498813772124552,-0.746181786041965,-0.51939086894002,-0.394668574207079,0.157995524347502,0.0229996607826178,-0.239722281682624,-0.281950663090612,-0.482296007831694,-1.02912726536759,0.00683986310489516,-0.242866210401413,-0.353493913351098,0.0228285845605793,-0.559410432622595,-0.484674204585142,-0.465185146157259,-0.670484796169235,-0.391851906890755,-0.789029498994199,-0.204437304290441,0.000125238183147915,-0.714741488100997,-0.202010876595247,-0.0593148723860678,0.577895289303769,-0.122446081000867,0.0932617675715337,-0.209489192659065,0.0881372623708632,-0.245141467333661,0.130929528591951,-0.316483078880995,0.0281546618134051,0.0211033478207935,-1.11686847436511,0.487663751890017,-0.713330771415698,-0.704762326222441,0.124968459516209,-0.105166571133797,-0.0332827086045142,0.16533686179843
"SPYO_Ctrl_3 (GE) - TPM",-0.0979889140517344,0.267833808345276,0.0659370782451951,-0.140452326688753,-0.484512852776171,-0.344891560770033,-0.322818758096632,-0.192078558696912,-0.0892974391746512,0.159565032620972,-0.0878839764754513,-0.851222063566979,-0.159351148688966,-0.110755986999405,-0.67987858287552,0.205531044009432,0.0535962319289782,0.000452032490742947,-0.539712980103117,-0.53258658956888,-0.438326678592387,-0.276672296491751,-0.314088522338142,-0.543449812899528,0.0214410253968367,0.15159011269089,-1.00994426345559,0.0643065812918009,-0.012078968522114,-0.543288415856909,-0.761111387008954,-0.79654709731034,-0.424292031608082,-0.313367726164799,-0.104933536650359,0.297548104144315,-0.159833073538546,-0.576233328031956,-0.100625496034426,-0.723535591633203,-0.584541184085128,0.132590453604801,-0.00590423985185753,-0.828858781964325,0.0774189861839832,0.106871196428771,-0.54522302117918,-0.224411828322753,-0.312730275597182,-0.22481412474768,-0.292024089538681,0.0562031615312915,-0.143927960525075,-0.25452605425309,0.172747212442219,0.521925691711816,-1.15981740827946,-0.679683867423822,0.219336847799324,-0.553185491656128,0.10427736732725,-0.206948461015343,0.132371635401452,0.0394012789996223
"SPYO_Li_1 (GE) - TPM",0.114357943626067,0.129659134138177,-0.0614357615778549,0.208921688530241,0.25519151477547,-0.0492537395453201,0.774154180739878,0.171525706270755,0.0124067293723761,-0.852021196583703,-0.383643325051676,-0.81990485175851,-0.0109697287641042,-0.111110838170752,-0.823991697771874,-0.358745723656311,0.259130101775439,-0.454166949732508,-0.0363908414917526,-0.276505576153082,0.115402378103187,0.808989273522315,0.310538431598753,1.25821611405584,0.676313535257652,1.281733041644,-0.255627525421697,-0.324894812532722,0.133994319722648,-1.05488217963367,1.14400069128234,0.257070720265267,0.129119953726223,-0.116129035238231,-0.0425732737827142,-0.0989810254641097,-0.184056429898196,-0.534949356847266,-0.416367065991219,-0.498630596861736,-0.988336245560904,-0.485685633350513,0.497365638857601,-0.942015811190827,0.288440092191657,0.272309262119034,-0.454047581661927,-0.73894277822751,0.101257428598233,0.472790718095065,0.587414180334498,-0.0286052732508357,1.10313564060602,1.67688610321736,1.77317044328276,-0.690499679254594,-0.223632153010869,0.0277507636553874,1.84765658565232,0.847933812675426,0.52882022370404,-0.534572915659998,-0.266555205709277,-0.746922807838162
