"","SP5448_RS00775","SP5448_RS00780","SP5448_RS00785","SP5448_RS00790","SP5448_RS00795","SP5448_RS00805","SP5448_RS00810","SP5448_RS00815","SP5448_RS00985","SP5448_RS01735","SP5448_RS01830","SP5448_RS01835","SP5448_RS01840","SP5448_RS01845","SP5448_RS01895","SP5448_RS01975","SP5448_RS07125","SP5448_RS07465","SP5448_RS08415","SP5448_RS08720","SP5448_RS08725","SP5448_RS08730"
"SPYO_As_1 (GE) - TPM",0.556671518584699,0.465948540610034,0.264599862598099,-0.0750467041871231,0.472148435865739,0.746318947596544,0.258257791248356,0.33385412704879,0.79481499233294,1.45807493294292,0.905352946204782,0.0128024309726811,0.272669051322851,0.457943889208334,-0.552941175115719,-0.300714782378138,0.841965359368527,1.51766570018961,1.35986942231027,0.623931238338126,0.297689018119421,0.418948714553056
"SPYO_As_2 (GE) - TPM",0.625888972689531,0.209709107845657,0.592918184678735,0.317921618321325,0.577870493701778,0.639341141717479,0.954865269395771,-0.133934459335277,1.00411867863581,1.29251840157576,0.733012016064174,1.20423899632671,0.707542313736702,1.50027142584359,-0.818854594537354,-0.310051937351969,1.31325794524033,1.58349857769898,1.08636231845457,0.617390002637469,0.44999610134399,0.624001176219808
"SPYO_As_3 (GE) - TPM",0.195555277213335,0.538383637979655,-0.145278325957737,0.618709802931016,0.421208038074045,-0.202384168386266,0.78556134613484,0.890056150265749,0.534128961062274,0.268493215868835,-0.582410351646516,-0.00245295729773936,-0.403945784443052,0.106102886040549,-0.421841384841895,-0.752908920691311,-0.0254439755723245,1.07635829851854,0.261562853481265,-0.024807387786054,0.0173461309876714,-0.107842602869005
"SPYO_Bs_1 (GE) - TPM",0.089477779011648,0.337955181179626,0.393403867797336,0.611428160390091,0.222694556839457,0.294417289948145,1.2467258245374,0.42800313414545,0.839142399558645,0.4086901257343,0.655575558752509,1.04368979066382,0.642833883472407,1.18591767566161,-1.25179789936057,0.527144057255217,-0.0171069458075771,-0.346485286734199,-0.490967329448879,1.02069952537619,0.89005358034184,0.992992250632392
"SPYO_Bs_2 (GE) - TPM",-0.165923659513016,0.194301808985974,1.3871128168186,0.118658142980706,0.161496386583763,-0.100414931806063,0.623957970435703,0.74982373061151,-0.705531844317094,-1.23101553772591,-0.650297747438734,-0.515973321052835,-0.984873683503083,-0.300771322085587,-0.537905319363111,-0.0467797278353884,-0.727767440808487,-0.748055412774085,-1.0146276678748,-0.569784001153438,-0.632865260169854,0.237746336523172
"SPYO_Bs_3 (GE) - TPM",0.27132112307754,0.191583525143415,0.913422329873787,0.0319850776064214,0.653614590828195,0.506017510266009,1.0201238430992,0.850385538177918,0.521467224194595,0.219188247588745,1.59967214689266,0.884042430690535,0.614432709146001,0.860763770306349,-1.78111823831278,0.751941430160494,0.11544837526787,-0.607924238424467,-0.747987014988392,0.78493643348746,0.632329338324654,1.15062863979858
"SPYO_Ctrl_1 (GE) - TPM",-0.666154222941661,-0.781513004535124,-1.04696560832104,-0.274756164070016,-1.28461705798716,-1.54990643282151,-1.0118914232273,-1.00719543599603,-0.531058623462799,-1.55786410498307,-1.21078073133999,-0.733507411978359,-0.577657890517784,-1.06728329596808,0.598157966643884,-0.957163996199137,-1.21172804220018,-0.772165598141321,-0.886472216573488,-1.07627218283177,-0.942126990017835,-0.971268871724197
"SPYO_Ctrl_2 (GE) - TPM",-0.557887822556381,-0.71852189427455,-0.907657030614313,-1.17381284921742,-1.10745616226574,-0.883903769605288,-0.661118045185707,-0.779924740569159,-0.952829199864862,-1.04738083526342,-0.496548099788359,-0.841620358746946,-0.559199087923998,-1.22758156394069,1.57407434361869,-0.928528641397867,-0.729598793035705,-0.480242106638828,-0.66723453422135,-0.944546105608031,-0.51976975844099,-1.05054595006145
"SPYO_Ctrl_3 (GE) - TPM",-0.506201650829278,-0.782259271738152,-0.822925149581052,-1.00948212673087,-1.23591022985396,-0.868590117487468,-0.877524315086173,-1.15566956585058,-0.89125631753093,-0.661458778707087,-1.22641834789528,-0.903335073191972,0.01333913804381,-1.07382678146737,0.60256897730032,-1.05293058485647,-0.6678519201903,-0.0783248080229133,-0.538163463560373,-0.772512654868183,-0.68980915584868,-1.04003933925949
"SPYO_Li_1 (GE) - TPM",-1.06512440769896,-1.31415714100663,-0.976081601433862,-1.45118096122221,-0.897343084141446,-1.03982175449987,-1.1262549949945,-0.976617305908816,-0.550037620155212,0.291070394234548,-1.61535800770128,-1.06380566290502,-1.07770047930751,-0.908553953042229,0.453823972633692,-0.457687563550213,-0.87718100176544,-1.16431293450097,1.05603669039545,-0.619737614002958,-0.422103237930835,-0.723452655161745
"SPYO_Li_2 (GE) - TPM",-1.10299951266993,-1.00546696732628,-1.29985947324784,-1.19257657260857,-0.951354716044178,-1.21961105544227,-1.0849645002412,-1.15914459252512,-0.905691640945389,-0.350008350881027,-1.87654076546894,-1.04419734592445,-1.14883059530935,-1.44407600774561,1.05898066789083,-0.582514930046798,-0.995243730656957,-0.853831869734707,0.65027483499869,-1.1410978320613,-1.23128574851102,-1.04081830632003
"SPYO_Li_3 (GE) - TPM",-0.567107928667761,-0.909076034922018,-0.890794900483244,-1.29552059009386,-0.969489634546581,-1.16439611302697,-0.652460994765091,-1.21965454427331,-0.622003636392934,0.105955175994155,-0.763088301154412,-1.72154311716894,-0.300283077332217,-1.55381252363105,0.403337185626409,-0.6959890380456,-1.10407639054459,-0.828427788924373,0.754300218810526,-0.741479577937676,-0.881185617366292,-0.650463601396134
"SPYO_Mig_1 (GE) - TPM",0.357811613319795,0.083654209817509,-0.350984576884737,0.543531624021212,0.113460498278673,0.954158540237351,-0.284706683759896,-0.229449950710614,-0.570820768417414,-0.44250866595691,-0.351099539142176,-1.07514199383492,-0.787217574387514,-0.261534766089493,-0.981233218161451,0.358037933034547,0.484941336040657,0.278698476667838,0.522864166573229,0.201343559961143,0.28715591602403,0.107161951580325
"SPYO_Mig_2 (GE) - TPM",-0.431445741042305,-0.225550496107905,-0.401914908023432,0.158152427134384,-0.340844475685015,1.14097109305065,-0.309839949718077,0.250514746070722,-0.956854265571388,0.998722329279727,-0.875096950985466,0.564479315364251,-0.185606974101497,-0.488759001098738,-0.0440586348759795,0.440470659469022,0.212049494496085,0.42933061348337,0.293632678019727,0.259200937001699,0.22337746948638,0.0276536073235513
"SPYO_Mig_3 (GE) - TPM",-0.395521157136528,-0.437422754663966,0.999086187980487,0.904707770657026,0.679091876899116,0.0140477520851781,0.282040486577595,1.3693545256753,2.45065304012054,0.582990202762816,0.299054843197566,-0.444567361445227,-0.356159206560382,-1.23869743728619,-0.339881886090964,0.543114462416259,-0.158983842928032,0.00338310111119539,0.269283347122385,0.232583887610835,0.757567442487707,0.815006444137523
"SPYO_Nd_1 (GE) - TPM",1.12354049334652,1.03667995709722,0.898785571167351,1.00494925525241,1.11430289957073,0.957426850390111,1.09862234281326,0.971112110605916,0.849877668243115,1.29521231054768,1.07771989049911,0.36911987928657,1.5573365719871,0.476873173564149,-0.936129530877966,1.31977640535578,2.00936608045794,1.04034508921892,0.718714861799758,1.26884454425183,1.19806868532241,1.28843635393776
"SPYO_Nd_2 (GE) - TPM",0.732556616944704,0.970990571756219,1.081138504915,1.66647971094904,0.939096747545438,1.33266180538141,0.543231059440952,1.89165929792527,0.152465810027676,0.615712092487134,0.574603823688192,0.752077083117664,1.16619816461514,1.20263899411666,-0.729580177941577,1.07700585424393,1.37840904199044,1.71386456044013,0.56017131317239,1.74742543518363,1.7940154903882,1.34214293472931
"SPYO_Nd_3 (GE) - TPM",1.46674154846739,0.954392078339234,1.01407886103117,1.22422209251122,1.41968419737451,1.35028298077216,0.815877349097512,0.250007116087429,1.20781647232906,0.447880608596715,0.218715157460312,0.485228939443475,0.234197569723931,1.01462802637137,-0.735527412236051,1.16310949827231,0.932788005808216,1.12253384076589,0.413396265932235,1.84726671207209,1.93221517666456,1.61748451960048
"SPYO_Ns_1 (GE) - TPM",-0.47053272299324,-0.850602921375403,-1.3829984925953,-1.2790954802957,-0.992048774684496,-0.504475730161814,-1.13462109976214,-0.852897291537982,-0.966961509988974,-0.061507830963205,0.828083018322718,-0.0625667646322928,0.693701481547874,0.104503269619539,0.812208009707983,-0.402696297509613,-1.17005667741611,-0.542032190373171,-0.979110853124951,0.823098891478458,0.670425969166673,0.775877628777842
