"","SP5448_RS09135","SP5448_RS00600","SP5448_RS09165","SP5448_RS09170","SP5448_RS09175","SP5448_RS00965","SP5448_RS00980","SP5448_RS00990","SP5448_RS01465","SP5448_RS09230","SP5448_RS01935","SP5448_RS01940","SP5448_RS02230","SP5448_RS02260","SP5448_RS09245","SP5448_RS02600","SP5448_RS09275","SP5448_RS03000","SP5448_RS03045","SP5448_RS03050","SP5448_RS03055","SP5448_RS03365","SP5448_RS03390","SP5448_RS03415","SP5448_RS03490","SP5448_RS03500","SP5448_RS03505","SP5448_RS03510","SP5448_RS03515","SP5448_RS03525","SP5448_RS03530","SP5448_RS03535","SP5448_RS03540","SP5448_RS03545","SP5448_RS03550","SP5448_RS03560","SP5448_RS03570","SP5448_RS03580","SP5448_RS03585","SP5448_RS09300","SP5448_RS04060","SP5448_RS04185","SP5448_RS04195","SP5448_RS04205","SP5448_RS09310","SP5448_RS04260","SP5448_RS04285","SP5448_RS04295","SP5448_RS04310","SP5448_RS04315","SP5448_RS04320","SP5448_RS04325","SP5448_RS04330","SP5448_RS04340","SP5448_RS04345","SP5448_RS04355","SP5448_RS04360","SP5448_RS04365","SP5448_RS04370","SP5448_RS04375","SP5448_RS04380","SP5448_RS04385","SP5448_RS04390","SP5448_RS04400","SP5448_RS04425","SP5448_RS04430","SP5448_RS04510","SP5448_RS09330","SP5448_RS09340","SP5448_RS05215","SP5448_RS05300","SP5448_RS09350","SP5448_RS05305","SP5448_RS05330","SP5448_RS05345","SP5448_RS05350","SP5448_RS09360","SP5448_RS05355","SP5448_RS05390","SP5448_RS05470","SP5448_RS09370","SP5448_RS09375","SP5448_RS05835","SP5448_RS09395","SP5448_RS06235","SP5448_RS06885","SP5448_RS07110","SP5448_RS09440","SP5448_RS07205","SP5448_RS07255","SP5448_RS07260","SP5448_RS09450","SP5448_RS07450","SP5448_RS07510","SP5448_RS09470","SP5448_RS09480","SP5448_RS08000","SP5448_RS09490","SP5448_RS08355","SP5448_RS09520","SP5448_RS08515","SP5448_RS08520","SP5448_RS09560"
"SPYO_As_1 (GE) - TPM",-0.542799840605631,0.119593388867026,1.365720448076,-0.317763678534697,-0.380546000724388,0.514707238258616,-0.27535166843017,0.717709582100278,-0.322469938689079,-0.226709431089505,0.844387056476287,0.441347216827063,0.00457070910913949,1.26631001006892,0.244402061061094,1.04366046884057,0.630671806409307,0.410709176026076,-0.338376457501014,1.79137358909023,0.301803001074594,-0.456646164204867,-0.594576866313855,0.178430999644924,-1.03089480966043,0.600273014680041,-0.686095085018016,-1.39603947855485,-0.224430188026179,1.39658817818302,-0.380411601557593,0.658508164306958,-0.92502471084357,-0.563036178501495,-0.131609032771262,-0.180515122361226,-0.161430633964418,-0.510352338033841,0.0369321130041794,-0.394853621365325,0.97518322496025,-0.232592565709577,-0.266590707186575,0.681399991638459,0.765422672012435,-0.345970804520974,0.60571245129588,-0.226759395602507,0.978968759640384,-0.304530799052383,-0.387771338904236,-0.261335008938193,0.362478012675531,0.76291133878374,2.33351713212046,-0.309925557639313,0.593826116826678,1.51266366254317,0.224244256462606,0.0287685119184268,0.38720753467917,0.341769604499776,-0.340502552721296,0.406220790610646,0.910855353522641,0.00968794801318501,-1.3134323716419,-0.166666666666667,0.546859023054936,-0.174319935949862,1.7505226454352,0.00233752804766914,-0.25744015236852,-0.370424363206895,0.223374372189713,-0.198501210322058,-0.709205810323095,0.482931756135358,0.192434293536656,-0.161519465833906,-0.713463261033011,0.290586457946332,0.0107035534185258,-0.360006944981917,0.859585475849591,-0.203618406263776,-0.498821928232261,-0.699331795651865,2.22716951285073,1.15330717226194,0.618246073240749,-0.0999165380945787,2.0019497687447,-0.639940523531111,1.86080871873054,-0.395007043901655,0.0412136550535227,0.86026117185645,0.436950570660216,-0.623011586092049,-0.447994327842733,-0.595539564124706,-0.166666666666667
"SPYO_As_2 (GE) - TPM",-0.991882691469444,0.509286623884282,0.426045610251271,0.491278843334713,0.508085881359073,0.253413658276055,-0.0260162616929191,1.36220926360266,-0.322469938689079,-0.226709431089505,-0.657400676278584,0.622906023506755,-0.777216930472422,0.295446528219881,1.90287102184766,2.53028213937842,5.20469987627338,1.6278632966067,0.416603074869504,-0.380948157764806,0.896516861640379,-0.422925994126847,-1.11913854420994,0.620137720529847,-0.872977630259852,0.598795731931025,0.442719515768349,0.77110734648382,-1.00467018013591,-0.567171765859051,-0.355597108221092,-0.288422470646444,-0.295454537765721,0.968166909593481,0.72274306108199,0.913180489409788,1.21523766865727,-0.532691326322448,-0.432788795978627,0.809487962220942,-0.250870410215859,-0.441020938191869,-0.00683381180561001,0.409970412640642,0.413423208303802,-0.0639988826935664,-0.734056109532963,1.46350972362307,-0.935810731914482,-0.70279503532161,0.25332674834199,-0.212042615125664,2.27852120553754,1.32592795274585,-0.0112628736177072,-0.566807797768885,-0.174815127673837,0.150965882667461,0.701846255526195,1.51454620391939,1.28011692980153,-0.961087333534717,1.25331497634378,-0.745487557507272,0.517308432411389,1.70151718872295,-0.985075941202507,-0.166666666666667,-0.986050660390375,0.273334390144852,-0.999915103960371,0.528981834713976,-0.340963454815861,1.95355312226463,-0.416122442677569,-0.796668201487298,0.97761811977656,-0.920410823829932,0.712556661505869,-0.639456748563156,0.686289882819058,-0.314736442495147,-0.430344296318892,-0.360006944981917,0.551589669113963,-1.83659964292497,-0.498821928232261,2.37126741974732,2.10694252159807,1.45349536376459,2.92881340977639,0.297073468837332,1.05423985853401,-0.639940523531111,0.149423498400071,3.04622225573755,-0.246504619626881,0.423360372346458,0.395704075211015,1.23215073597256,1.51075258453224,0.754666301647385,-0.166666666666667
"SPYO_As_3 (GE) - TPM",3.69162672596249,-0.179478162842872,0.0861373890547506,-0.257832907476611,-0.380546000724388,-1.25979748578779,-1.04407186033073,0.878560623565809,-0.322469938689079,-0.226709431089505,2.23367932734112,-1.43722972073151,-0.886275393016801,0.285996439114569,2.18885588297672,0.324564303333366,-0.38133111107987,0.725923098206929,0.213556673430579,0.122648083970843,-0.382203996961925,-0.722639661624576,-0.680016408580424,-0.284421664974084,-1.01621889487157,-0.226751328954334,-0.609470657987397,-0.321859606965629,0.713175809835178,0.617451150619808,0.301364587226133,-0.968010337282388,-0.761129329848278,1.01741705111165,-0.486472262878669,-0.928107695180521,-0.350160967650547,0.0191042570901509,0.731721747254259,-0.394853621365325,0.363858026951069,0.377655442244598,0.613749971382484,0.98690309631546,-0.592283587008385,-0.455951570373063,-0.307490418521655,0.800519654916025,0.917870573904285,-1.03609274184123,-0.298714021824243,0.815366969619212,0.350738328370403,2.39947698036812,0.47950974661212,0.285162797574067,0.525553614523885,0.977227987127987,-1.03666460567115,-0.319458653025089,-0.335183848545687,0.351902112674567,1.75946170010458,0.28932306605287,0.707709701058745,-0.00768594936278202,-0.319085816577091,-0.166666666666667,-0.541972930696545,0.736253269717627,0.434308122736722,2.08451077493775,0.96714257438813,0.11104423324058,0.567178611557971,-0.25808706110967,-0.709205810323095,-0.392474708881056,0.46677259006108,-0.0209896580874719,-0.393905379406439,0.212979766792481,-1.73481420020841,-0.360006944981917,0.474278418678973,1.18375339712213,1.4004220964212,0.692443097913964,1.60122569880502,0.344702296260622,0.780243936271794,1.95623532762211,-0.532599778768736,-0.110598208489331,-0.607491353533363,-0.395007043901655,-0.243264873341357,0.931258555348054,-0.616166676177145,1.44003477352078,-0.532145446877555,-0.129706351229465,-0.166666666666667
"SPYO_Bs_1 (GE) - TPM",0.908773253381635,-0.23962745523874,-1.06782097097258,0.466157283331607,-0.380546000724388,0.117031708577596,0.334549727199216,1.2043590038746,0.95265212185097,-0.226709431089505,0.0572393220601474,-0.213602498399543,-0.123717262242354,-0.343633552168808,-0.666823110989761,0.275396810082518,-0.38133111107987,-1.00587196573917,1.28792709211685,-0.0560934250851732,0.788412743701303,0.255474954904124,-1.55304334397576,0.103303172920564,-0.372805244635147,-0.782362373196123,0.254135737518647,-0.6732636236532,-0.249878356505892,-0.0615458815602561,-0.0711849046040971,0.362770447229381,-0.501032640580484,-0.443487039551553,0.965420580386432,0.620529227734887,0.467075181290704,0.0543042540965829,-0.307929759523996,-0.394853621365325,1.22280635143547,-0.22214522124691,-1.01480873725563,-0.738266310528448,0.151504916023092,-1.05392150667395,-1.00063508412623,0.517870506418184,0.197972570750843,0.429886207491993,-0.730460761551791,0.200006542755183,-0.324494678912279,-0.13800101160548,0.00950972771258815,0.783661273458415,-0.0585603669436094,-0.480482658792267,0.495303611188904,-0.378605004754164,-0.307981819149318,-0.0694992448063962,1.70128314223735,-0.213035765153865,0.988373534877473,-0.596958913761459,-0.806102209236708,5.83333333333333,-0.831580600519806,-1.11951963209112,-0.00214136801232837,-0.0676927200356181,0.617729054462051,0.589792421286629,-0.521311149781918,-0.458933806884052,-0.570629677338002,-0.384463464466254,-0.38215417304805,-0.243896503993581,-0.318115730651444,-0.946669574790451,0.00555936658388527,-0.360006944981917,0.47713121175009,-1.25760642258908,-0.498821928232261,-0.982836380308957,-1.47413543054727,-0.380891053944477,-1.27237212325219,-1.06181533929484,-1.13569210863166,-0.363747189981546,-0.607491353533363,-0.395007043901655,-0.0346558072892657,-0.394287540269992,-1.24401350301758,-0.661357273866536,-0.206713739648562,0.0404599760690132,-0.166666666666667
"SPYO_Bs_2 (GE) - TPM",0.0293174071768179,0.739148486252011,-0.784723478461958,0.909361789631162,-0.380546000724388,-0.414750247992442,0.141690207527166,-0.518560536233451,2.2933973372539,-0.226709431089505,-0.258477157541616,-1.7566941385338,-1.32630548617232,-0.937389291396202,0.833250444292152,-0.555413945999842,-0.38133111107987,-1.2706676146392,-0.400446587504274,0.572883535120818,0.319269266240073,-0.199886918705241,-0.77304783686205,-0.947417119321043,-0.995487381604465,0.00854485727787197,-0.305236591114647,0.112414143952798,-0.230455973524809,0.277644600255819,-0.368494361323904,-0.73251258271107,0.069886181870563,-0.0122973242527751,-0.710155789213031,-0.029423611051337,0.222319289199675,-0.270174482489223,0.70970062004818,-0.394853621365325,1.2162408860263,0.313746648398047,0.417435866342882,-1.51166494931655,-0.657723340324368,-0.112682007349478,-1.12482387623783,0.750138316807102,0.538684679241274,-0.127961881752139,-0.52635600147333,0.215757593697304,-0.348774260369949,-0.199813391945214,1.68486051565611,0.520180839545855,0.249743677017556,0.668314795164148,0.115023362394501,-0.26194010606115,0.161485452525577,0.0515491560229792,-0.341659330388703,-0.767055143791207,0.774257848901051,0.674431444113613,-0.882628214849816,-0.166666666666667,-0.774790793937291,-0.320874774666754,-0.317616067066466,-0.474269620407207,0.0939410812834379,0.170653714200091,-0.303809978704277,0.16238029155983,-0.519683158281631,-0.24090950515661,-0.659273358483182,-0.863599060502884,-0.764828218472972,-0.706114219986923,-0.481404261905037,-0.360006944981917,-0.791932248444071,-0.377965334946886,-0.272941405419994,-1.19745255449988,-2.40981508806269,-0.984966152257292,-0.701162653369398,-0.367071318911326,-0.958977439359874,-0.451073610479511,1.09336796324143,-0.395007043901655,-0.126291297518144,-0.520819891997415,-1.05980929700328,-0.283000670561064,0.84630319623029,0.280383113194721,-0.166666666666667
"SPYO_Bs_3 (GE) - TPM",0.662286885247245,-0.0871025321898009,-0.81805162111308,0.690118120217538,-0.143346448712435,-0.658206297718836,0.273008915165641,-0.292772295749055,-0.322469938689079,-0.226709431089505,0.79182823951711,-0.544518118634798,-0.813234992177533,-1.35046512292387,-0.523167309037887,-0.634304087721284,0.364199222062276,-0.996994608996676,0.168682839456043,0.75342436656684,1.01985996887652,-0.0888604778130545,-1.27664121267664,-0.398733539912968,-0.85563412642279,-0.102866205161664,-0.733155819157663,-0.511061235919381,0.259875264686223,0.0641449754241776,0.0881179896576248,-0.341460755474726,-0.161819799069849,-0.643332083367529,-0.312565051129446,0.115701887396955,-0.14276709011202,0.0672709091699593,-0.111142865676128,-0.394853621365325,1.25935672754871,-0.285028161258404,-1.29985097966867,-1.13370873150763,-1.09717513057447,-0.72566256549883,-0.255276903581091,-0.418208327760747,0.462620545496508,0.0565562889876949,-0.324717201790607,-0.233427508219429,-0.887389178577351,-0.303453557166929,-0.00972957313448304,0.43559460899942,-0.309213771769191,-1.29778717154834,-0.392796707299548,-0.0868898413063624,-0.0209744338927704,0.545240423521711,0.0330631615384944,-0.68035652917488,0.451278112871742,0.255475487141559,-0.586564320149125,-0.166666666666667,-0.986050660390375,-0.526329147211362,-0.189429387965971,-0.741884656021633,-0.24992229764257,-0.376910399570962,-1.1499657113846,-0.993704083952119,0.191310789117958,-0.376737155786642,-0.470785174840492,-0.611893261150934,-1.06397541148808,-0.737710008320389,-0.38918745979897,-0.360006944981917,0.256755104530593,-1.1258906668845,-0.498821928232261,-0.611388930165438,-1.02868850758738,-0.466723406595179,-0.735038878499255,-0.733784223663522,-1.35491278379331,-0.191240093818987,-0.607491353533363,3.27921650678883,0.167661636848666,-0.713211662119359,-0.716067525543563,-0.758689900054126,0.0978943300110971,-0.358911355210985,-0.166666666666667
"SPYO_Ctrl_1 (GE) - TPM",-0.202977222895226,-0.0593296229262492,0.277643217730878,0.411116617299738,-0.380546000724388,0.723695969058474,1.67421047518092,-0.493843114949058,-0.322469938689079,-0.226709431089505,-0.63051919384957,-0.80727658271499,-0.466792226535829,-1.31294839006073,-0.896823939752537,-0.205632265389995,-0.38133111107987,-0.103121765023539,1.86557366838887,-1.43768263145177,-1.05562137713802,-0.891702105607825,0.291400837198241,-1.21684166717875,-1.15900331765307,0.233813288397346,-1.19648394800769,0.44429212408913,-0.456410013490383,0.788239306964143,0.0294057430445665,0.445196229353106,-0.219513575359766,-1.1344122312114,-0.202267252476949,0.337347199780207,-0.969946291530117,-0.789460347585991,-0.0753103969943182,-0.394853621365325,-0.291792290454269,-0.993230957405853,1.16319668068357,-1.44314927009962,-1.04178030703037,0.0446504197254981,1.53900471144049,0.442407558866193,-0.977910891760758,-0.580592831902438,0.397238702580686,1.31073629902227,-0.284916593010812,1.36310332908534,-0.457754587883466,3.3530912464024,-0.811934288969283,0.419404447370145,-0.352998689753523,0.527622353510518,-0.543074452309872,0.746984150870801,1.9323258900235,-0.270022813532016,0.246178762516931,-0.576122353120255,-0.551276168740763,-0.166666666666667,-0.986050660390375,-1.08786118089266,-0.516744709395265,0.0611325454869745,0.683771397174147,1.83190807942123,-0.080487174812079,-0.289730181153727,-0.709205810323095,-0.197637388919977,0.583344886182466,0.896880144240665,0.0848381543753984,0.839036256090918,-0.205005796388506,-0.360006944981917,-0.32222142822914,0.0882522136572483,-0.498821928232261,0.40448941497607,-1.02091880862146,0.214177452458208,-0.13299712030058,-0.630922596523002,-0.522812492119075,0.162536654762496,-0.607491353533363,-0.395007043901655,0.0743775500439155,0.949653892186262,-0.0382315944969638,1.59785462760874,0.829782786656164,0.0383874552806541,-0.166666666666667
"SPYO_Ctrl_2 (GE) - TPM",1.47225318442,-0.420022200255799,-0.163021107858031,-0.60339365866812,-0.380546000724388,-0.200432351833952,-0.197154237472231,-0.761078247611391,-0.322469938689079,-0.226709431089505,-0.554462660587795,0.540133131795949,-0.557070765443872,-0.825538559517692,0.0665535225451413,0.387119262832598,1.32725386898104,-0.667254623182736,-0.4565366160619,-0.908055443058089,-0.119056860633107,-0.810532262333772,-0.0851776214399907,-0.177740558923103,-0.194896461797946,-0.609051995479838,-0.531479434564378,-0.368232837606614,-0.214293210504197,-0.983447432879116,-0.554753743617203,0.0151787007784884,-1.52154907694734,-0.410912926873711,-0.200456973445084,-0.183305423508741,-0.386098217142128,-0.318236653484187,0.0600457053853801,0.433976343933738,-0.325417649651655,-0.127366150386033,0.410391764412777,-0.57047950706608,-1.05515028770964,-0.63901116914876,-0.0557679811224523,-0.205312187397886,0.909178407525124,-0.609938655155641,0.0707112665767005,0.159154240153652,-0.955940377467522,-0.214833349379165,0.821160962562796,0.233250362387694,1.30948289413036,0.928863893779729,-0.365125832710117,-0.21038748113508,0.0619222205212932,-0.737911570674008,-1.5349920851025,-0.88727015185162,0.00701791967774123,-0.581854356582537,-1.59080006929388,-0.166666666666667,0.415805641086005,-0.437824024135199,-0.187281665986563,-1.41024547395275,0.336236142069082,-0.735846668995097,-1.6307447949157,0.731184301892835,0.0647109579482341,-0.685546459152168,0.250985247948421,0.260891950618983,0.14264765330864,0.460857927395737,-0.935092227352509,-0.360006944981917,-0.153684124140521,-0.104761344625626,-0.498821928232261,0.233803651419785,-0.550540849469604,-0.23322610850628,0.750078026857067,0.208953454836629,2.16724743345277,-0.254320995312173,0.0870554640221671,-0.395007043901655,-0.400467963040278,-0.794480194756625,1.44646132704582,0.637180280763331,-0.82240023135868,-0.757409519090355,-0.166666666666667
"SPYO_Ctrl_3 (GE) - TPM",-0.599765715453534,0.0935516715874504,1.3440659452918,-0.0194260753041334,0.252014401794145,0.887533811017679,-0.647992973090877,-0.499441155245478,-0.322469938689079,2.52271996646071,-1.05485243879982,-0.366426908167795,-0.911645294350071,-0.129110329894504,-0.564669870495723,1.22156143691775,-0.38133111107987,-0.158115464871978,0.242883085144008,0.358383805952179,0.482549792071313,-0.894837707893402,0.0747576976699547,-1.32648898816317,0.38721040483443,-0.197810613830961,-0.752705042842513,-1.02494466526387,-1.00467018013591,-0.84679466069096,0.454495037421254,-0.233772824920349,-0.980852687621563,0.237555517475303,0.727434785193043,-0.0487321607339451,0.285087773197239,-0.241127842121379,-0.49941377093506,-0.394853621365325,0.275551336001393,-1.05940525858961,0.86984340720913,-0.579456745556075,-0.360957979258494,-0.738422592449927,0.6700600409773,0.0683239508210062,0.673225264383144,0.539045867235485,0.504618310966628,0.212261487345188,1.00898303610032,0.43144977709968,0.281855823394809,-0.160963934345369,-0.622536602210487,-0.816963451551801,-0.0676300890139174,0.587341070182299,0.414014189538158,0.133302514862917,-0.719119958645362,-0.39397794921535,2.17820534362072,0.0782698791916575,-1.6090325260267,-0.166666666666667,-0.874512238442939,-0.811710823232728,0.68116742267764,-1.76036358121635,1.29939280144895,-0.735846668995097,-0.252409430786992,-0.63169476187803,-0.308958326087703,-0.296203694800115,0.0645194825847643,-0.17718954982458,-0.0820548491747341,0.464940451645351,-0.642270161566722,-0.360006944981917,-0.564812176976951,-0.618168221198786,-0.498821928232261,-0.868076098590454,-1.12598246480713,0.0329879241334457,-0.310491055005239,0.507668376641221,0.864926668368453,-0.639940523531111,2.98450493750684,-0.395007043901655,-0.635019312919319,-0.794480194756625,1.20225263520804,-0.104132774098444,-0.661401559923067,-0.273829090664131,-0.166666666666667
"SPYO_Li_1 (GE) - TPM",0.183230403088119,0.0920313769641647,0.123946066512447,1.34450748404307,-0.380546000724388,-0.585010897289722,0.00688073729062585,-0.350702781834806,-0.322469938689079,-0.226709431089505,-1.0790306983873,0.384860435119198,0.0709889221777071,-0.764246877775143,-0.399117108118605,-0.0332528406544926,-0.38133111107987,0.194530368582596,-0.943826088463017,-0.57255402417963,-1.24535076613272,0.945039479257253,0.685566906254084,0.026426850085277,-0.964514802686195,-0.69131768881268,-0.574899763705662,-0.721665267708378,-0.800505129114811,0.608286990940476,1.26559633890888,1.05581265467692,-0.381672904676851,0.173815293766207,-1.01781511202328,-0.449197054525357,0.400987658348612,-0.789460347585991,-1.12141765316929,-0.394853621365325,-0.0833647801371919,0.797872867182749,-1.58143906785334,-0.275051651619365,0.789071394843584,-1.38066772872966,0.425067905732138,-0.797643931730326,-0.211930218626756,0.462213117199421,-1.47803165796055,-1.28094492234473,-1.37500035603945,-1.01942617434912,-0.372413991281852,0.518764807312971,0.62881790775505,-0.905210646023506,-0.412681087142174,-0.481756469311504,-0.121901585150137,-1.19991961535694,1.14901928904287,0.928025612815798,-1.26595284097539,0.248015695008074,-0.828249106977067,-0.166666666666667,0.0167388240759754,-1.06597233510901,-0.280209283701905,-1.21772215309369,-0.800858176312409,-0.735846668995097,-0.374735278760447,-0.699497300881986,-0.109466334881166,-0.343215419576152,2.04310678885699,1.84828777085214,0.467937886405112,1.54261284926983,0.00456575009018234,-0.360006944981917,1.40078671958593,0.962924164955452,-0.498821928232261,-0.542502457784615,0.654914820856837,-0.487205583534186,-0.519256619734709,-0.12575197083493,-0.488049967953682,-0.639940523531111,-0.607491353533363,-0.395007043901655,-0.350431334088782,-0.794480194756625,-0.176136285824089,-0.0414914865296203,0.410508024408665,0.177730374675686,-0.166666666666667
