"","GBS_RS01130","GBS_RS01450","GBS_RS01455","GBS_RS01460","GBS_RS01855","GBS_RS01860","GBS_RS01865","GBS_RS01870","GBS_RS01875","GBS_RS02745","GBS_RS05155","GBS_RS05645","GBS_RS06760","GBS_RS06830","GBS_RS07305","GBS_RS07310","GBS_RS10760","GBS_RS11000"
"STAGA_As_1 (GE) - TPM",-0.790576110331582,0.175866397871191,0.475690037094584,0.261072555052044,-0.215054468080554,-0.197103990518655,-0.0815711293443704,-0.0217139646484021,0.0273644916749446,-1.45694727304976,0.248360845702709,-0.345168540175219,-0.494983829040999,-0.0917242444522731,-0.26550092183914,-0.099392123276762,-0.0379990278468955,-0.125129766302431
"STAGA_As_2 (GE) - TPM",-0.451774112085808,-0.14447439855174,0.199881555392591,-0.251982989708396,-0.198757735712772,-0.255442133381874,-0.141723136876199,-0.0991669416147649,-0.0719291642515896,-0.939244340924248,0.132380860417552,-0.292905363033119,-0.19191636172102,-0.249963046773072,-0.315324224102529,-0.446419614637614,0.616949246148807,-0.0306046701463445
"STAGA_As_3 (GE) - TPM",-0.613297137554052,-0.315933126854682,0.300709507584997,0.416254924817256,-0.15855642126374,-0.177065695590163,-0.103078196033861,-0.0871447613490489,0.0262990518153143,-0.779738253425324,0.395867620369052,0.367299544824798,-0.176836328973664,-0.00587839540971446,-0.104113989874187,0.15696987332304,0.040085753709075,0.526860116564929
"STAGA_Bs_1 (GE) - TPM",-0.475008220961155,-0.491370904340386,-0.692313900333942,-0.456107653561214,-0.122265077335569,-0.156551678382573,-0.231906100466284,-0.193213473057856,-0.276683273818258,0.223711142929884,0.84884980748957,-0.382225061161882,0.0457426181566827,-0.481506335651826,-0.627966452680192,-0.813573342908568,0.203863731181745,-0.086613616768308
"STAGA_Bs_2 (GE) - TPM",0.179989554262231,-0.384543145956811,-0.424419302382088,-0.127400227352525,-0.268127325115025,-0.191379893457668,-0.304059973431303,-0.343387528873835,-0.368971111354024,-1.15904333048074,0.401244869288026,-0.38555155434239,-0.391617435698246,-0.45778792816401,-0.0998051097882175,0.401413866391775,0.430768060634035,0.324717433653786
"STAGA_Bs_3 (GE) - TPM",-0.100576300061399,-0.216045221389691,-0.609844497310937,-0.498437110701426,-0.237296549608448,-0.156199887937364,-0.2692999029542,-0.322795519478563,-0.354601510816179,-0.845349876956327,0.915408252875548,-0.991077187147719,-0.859278932313157,-0.290285203625245,0.0896127858292363,0.253215520353391,0.0954019715363869,-0.0912605178599597
"STAGA_Ctrl_1 (GE) - TPM",-0.579239368148924,0.106916378969545,-0.0726906032427574,-0.0594768125172332,-0.0789987074016892,-0.0945460365431782,0.00974475430475327,0.0600059413599822,-0.0529304635993371,-1.16010388628683,0.0882046768278408,-0.591530916827489,0.189737194296725,0.34883966091774,-0.316605045234062,-0.419493223573386,-0.266908824624286,-0.161413955790418
"STAGA_Ctrl_2 (GE) - TPM",0.0483475850153166,-0.502832716957731,-0.814010561118895,-0.428444904175051,-0.120766836300331,-0.159290823732223,-0.0731650426924522,0.0726002352824233,-0.0163673867835357,0.0342408384652451,0.701720450165585,-1.57630249680041,0.756034120752152,1.06583991093132,-0.518532419871581,-0.916634364086502,-1.07624692551217,-0.482117250015015
"STAGA_Ctrl_3 (GE) - TPM",-0.450951935403872,-0.488414347161559,-0.118482212837088,-0.319926461212661,-0.107465590938812,-0.158265050408671,-0.0460438397344391,0.0661482615590469,-0.0248373413445058,-0.949767248544106,0.398428586214835,-1.16037973914463,0.604249825357083,0.608885793963958,-0.684864135564187,-0.813159079080549,-0.560679909177481,-0.310512287582276
"STAGA_Li_1 (GE) - TPM",1.70394830955466,2.55876449839719,2.20652005028818,2.08636387549641,3.14101436529528,3.00671764854234,3.35455852114327,3.44826872062726,3.03861382538064,1.95540546220957,2.55653742707189,1.60970963433002,1.50251833036601,2.02726022150458,2.1762486486947,1.2769355010352,2.35191499114795,1.44354902733614
"STAGA_Li_2 (GE) - TPM",2.61207916567849,2.40168823654295,2.70708914474601,2.25710120022238,3.59706958942681,3.57138453079879,3.19612907114815,3.04694473285259,3.47900588792907,3.63634118772731,2.5456156277231,2.65361486172054,3.41083377893878,3.24513914614851,3.37762473625581,1.82652033467806,0.632305919504432,2.40237483638686
"STAGA_Li_3 (GE) - TPM",1.31897861237172,2.36087160578399,2.3438744098202,2.17866045619311,2.91930393593062,3.06919258548885,3.02330375967062,2.94340692966194,2.86399355927084,0.944913093519658,1.54975923639026,1.17358320764334,1.9923770324631,2.23930176328311,2.48395798867911,1.71215456010758,2.47145048538332,2.32289512520476
"STAGA_Mig_1 (GE) - TPM",0.355194947518219,-0.240832199042146,-0.587223655382215,0.15824739147648,-0.472948549203312,-0.507969945770884,-0.541889568048798,-0.610666834054721,-0.596684417907195,-0.206920845275209,-1.12620936518227,-0.122163295859166,-0.0956982151483151,-0.417002179250019,1.09075069131424,1.06531939090692,0.985839525408861,-0.718728043801127
"STAGA_Mig_2 (GE) - TPM",1.10845542176598,-0.0456633224836779,0.170043198813978,0.0534087091732501,-0.483078738868251,-0.518342376507304,-0.561067530856486,-0.592254023623825,-0.597129448708981,-0.372788314804751,-1.28600886162363,-0.987593055067332,-0.379673426853263,-0.240916403650414,1.46868244910334,2.3453409319463,-0.277879732595235,0.207282754164381
"STAGA_Mig_3 (GE) - TPM",1.61827959453502,0.463164915457785,0.0190248406445135,1.03610673339921,-0.486986899060375,-0.512921349710316,-0.547143928355333,-0.554706604490916,-0.60505964181131,0.750446758239008,-1.30764297601074,-0.535170099533763,-0.194284601052889,-0.155100497882389,1.23552779497544,1.81205002118806,0.927996617330066,-0.139925186423029
"STAGA_Nd_1 (GE) - TPM",-1.53642164006246,0.485848584945053,-0.15070061892602,-1.14449347191486,-0.454081535177412,-0.376539240036557,-0.426919368750537,-0.465559953612454,-0.403428128764496,0.154044835830463,0.277996780282892,-0.22427044497294,-1.43876431526259,-0.752944024112437,-0.683700302193556,0.215161827571835,-0.882169627030267,-0.876644904671138
"STAGA_Nd_2 (GE) - TPM",-1.75838217418031,0.849485882048651,-0.402463660522985,-1.21483148183891,-0.461666124745394,-0.377379516116658,-0.437726232842098,-0.456533043139347,-0.406667772920666,-0.272547660276714,0.376972869299129,-0.816255382626071,-1.35611866757689,-1.07677649330817,-0.760072696210107,0.434329314072186,-0.789770609130024,-0.819026028567315
"STAGA_Nd_3 (GE) - TPM",-1.55663068716761,0.78821944070098,-0.263465685530727,-1.23893935607044,-0.451105796210074,-0.379197467533601,-0.433278447552086,-0.421962655751229,-0.433216165332293,-0.208007979680776,0.440246740415053,-0.385273455665209,-1.53070975429422,-0.877211069700925,-0.758101301319479,0.0837390505943306,-0.311866914171271,-0.554195291535937
"STAGA_Ns_1 (GE) - TPM",0.211310038083458,-0.234108496436392,-0.272183740635253,-0.0858012766167711,-0.0293107228456614,-0.0590648234476773,0.0263233536453237,0.136072166895224,0.121662776421784,-0.204260920615497,0.0557795679673176,-1.23749407856277,-0.370183447257523,-0.233874299216954,-0.0725515871741292,-0.228599813786434,-0.367147054120422,0.252652983538349
