"","GBS_RS00010","GBS_RS11195","GBS_RS03120","GBS_RS03215","GBS_RS03250","GBS_RS03800","GBS_RS03805","GBS_RS05105","GBS_RS05110","GBS_RS05755","GBS_RS05760","GBS_RS05765","GBS_RS05770","GBS_RS05775","GBS_RS05780","GBS_RS05785","GBS_RS05790","GBS_RS05795","GBS_RS06215","GBS_RS06805","GBS_RS07470","GBS_RS07475","GBS_RS07880","GBS_RS07905","GBS_RS08075","GBS_RS08500","GBS_RS09285"
"STAGA_As_1 (GE) - TPM",-0.752198434087061,0.075194117253312,-0.160418738146988,-0.434162803308717,-0.554696367267649,-0.511706052507934,-0.26859631614235,-0.498839353512848,-0.234287731079154,-0.632035730137948,-0.465563916720346,-0.528483222616106,-0.520413277623608,-0.524774664945774,-0.50028358990376,-0.607829289078231,-0.344928332137053,-0.406117032806568,-0.948791483112488,-0.0761032486739105,0.951424241920025,0.985234140187807,-0.226341624787597,-0.358786722352769,-0.164440607400348,1.11409900329667,-0.487607626906954
"STAGA_As_2 (GE) - TPM",-0.464806495165337,-0.215628235871967,0.541644996032447,-0.411175887980333,-0.418968017671304,-0.062815074964242,-0.214392335730023,-0.647291845255332,-0.387872131669252,-0.632833572018976,-0.374124916950415,-0.404565748586322,-0.493211503977035,-0.494550116247886,-0.398358720162911,-0.418317994462085,-0.344153223847309,-0.426738846839169,-0.777919664942805,0.0783158259918316,1.38199662815317,1.46401552116025,-0.406708137586622,-0.579649293099967,-0.247788846371941,1.42105440834995,-0.488276376699148
"STAGA_As_3 (GE) - TPM",-0.437334781873835,-0.270928308238003,-0.185817624095357,-0.365063676465706,-0.198399868750648,-0.348950072168139,-0.166449027012047,-0.587254034157214,-0.231964073077233,-0.633354672767549,-0.424916193323815,-0.444667189339197,-0.447566255023893,-0.424259137710675,-0.419557194185305,-0.413579295311047,-0.284610991132013,-0.264234502618546,-0.513487705552034,-0.15427100891819,1.1036569462495,1.7132279976238,-0.58814547483485,-0.708694847974541,-0.36295929292029,1.39385826389128,-0.488554216693271
"STAGA_Bs_1 (GE) - TPM",0.424998286597186,-0.606433090785603,0.519632272996468,-0.593557458792264,0.670873794144812,-0.234736773562244,-1.18541306926561,-0.639283272228648,0.378972979546076,-0.475153576858822,-0.442160504829542,-0.644473062051364,-0.486049663710366,-0.505134098547622,-0.47279932979426,-0.539515347422136,-0.523567947651247,-0.524855820504168,-0.99623046925678,-0.788794261632001,0.99655629078346,1.22050658360431,0.212431287277697,0.0197237314258871,-0.564368270031972,0.434392405665569,-0.474148132325117
"STAGA_Bs_2 (GE) - TPM",0.659620412029561,-0.515569087346055,0.0406273284169975,-0.26289253645624,0.874781306661551,-0.539658257166702,-0.798974334111386,-0.72677732459152,-0.451283106924701,-0.450710366266044,-0.451673064986771,-0.508684779271602,-0.452274563722415,-0.436291217161707,-0.496454906650691,-0.422753242844797,-0.498350199385603,-0.45769189940724,-0.181001051621181,-0.514639188090901,1.28426652630371,0.794512585469644,-0.331352235040673,-0.0583875520818076,0.0877568238666631,-0.519234820916034,-0.489340763719453
"STAGA_Bs_3 (GE) - TPM",0.119122521358642,-0.398434965890861,0.3613181180422,-0.271888366942362,1.18659073515798,-0.0136937990051195,-0.74021111849405,-0.735712595885216,-0.486611295754949,-0.654288781386378,-0.418483847504384,-0.256036701613541,-0.477591978316711,-0.421518023999082,-0.449794163660706,-0.375053141802593,-0.440215495947015,-0.504996865924135,-0.320418536688145,-0.627478284203167,0.854366273576124,0.532742084213348,0.214145266690325,-0.0503728751554608,0.0200122021763971,-0.0239617000751989,-0.486126126005057
"STAGA_Ctrl_1 (GE) - TPM",-0.0149360020164266,-0.413933175147046,-0.444255619415414,-0.55106164477048,0.9076280584532,-0.945125481116211,-0.831099427490856,-0.556585697963828,-0.619067111972172,-0.688286356074623,-0.120570196599266,-0.0339238544532915,-0.223270716656086,-0.322102246708029,-0.345314635689443,-0.333442958525565,-0.319640201847503,-0.396341231248667,-0.280182949924465,-0.620834995454549,-0.246278820584669,0.0927138134803827,0.453509033218924,-0.775482728842945,-0.88419556741567,-0.409863559796115,-0.504645527635262
"STAGA_Ctrl_2 (GE) - TPM",-0.584052246526459,-0.445328805783671,-0.987371002616793,-0.50653560451153,1.33609126866065,-0.532161602514883,-0.855709131308312,-0.390750883468886,-0.123810071357123,-0.849699493552088,-0.165554398001899,-0.239836564577522,-0.236858426415223,-0.355139622341191,-0.319366646341832,-0.308725308004466,-0.408797942542645,-0.47269543926913,-0.303904642363176,-0.720907569200403,-0.681307756760514,-0.537577874402642,1.6276925729767,-0.649547548616122,-0.712993597610732,-0.479647611791977,-0.506481111497796
"STAGA_Ctrl_3 (GE) - TPM",-0.389764226895628,-0.439675025251359,-0.62522303917166,-0.525270593384681,0.928095606291516,-0.975921371710322,-0.254030959220372,-0.419629256916141,-0.317150231924971,-0.668333286091791,-0.183622102755229,-0.214157453502687,-0.256598304500648,-0.341877405028425,-0.337150622234836,-0.382052368521991,-0.385202280331719,-0.383521926862924,-0.637778514222481,-0.534109318589652,-0.492718429936562,-0.411753812608345,0.913015702094283,-0.708825412681764,-0.582421159923524,-0.710879990519682,-0.519839686670567
"STAGA_Li_1 (GE) - TPM",1.53165074301517,-0.850523983877102,-0.456129707152784,-0.611026676929796,0.369112951577855,-0.806016503258442,-0.512198498648751,-0.496781212751874,-0.680385934330698,-0.239736840233314,-0.4736073659062,-0.588706952227316,-0.602752835742356,-0.586503635813724,-0.593322936979099,-0.631183397077415,-0.719609183595224,-0.676827206101566,-0.24665875720133,-0.421382788869878,0.397784922217717,0.10450030498144,2.20962044330069,-0.680163057444712,-0.21621387712425,-1.2157467197087,-0.353165407496933
"STAGA_Li_2 (GE) - TPM",2.52799121055424,-0.835370322773523,0.796438914476004,-0.683253402531634,0.276625344952567,-0.627789918297453,-0.679042847967332,-0.624088869508088,-0.788945268145219,-0.192929297328489,-0.452168204990106,-0.487399991283524,-0.60984355450551,-0.566787392825534,-0.601936936416468,-0.581977142448754,-0.733258564559821,-0.641164909751248,0.26500439566056,-0.347420742707401,0.231488429175499,0.589997666809721,1.231163240164,-0.677955544269298,-0.0621040060841215,-0.825941849766747,-0.326858596706247
"STAGA_Li_3 (GE) - TPM",1.17199469831031,-0.886368327342925,-0.202216578500189,-0.668400514922773,0.257022951834067,-0.635143525986412,-0.740576130334875,-0.370896105184764,-0.736245830018661,-0.227786774179151,-0.510910886954049,-0.487050490384405,-0.596328743366278,-0.589316806862322,-0.563970079261054,-0.624284270802038,-0.77843406878986,-0.627635370044242,-0.276787214497941,-0.339985108398743,0.855312508702335,0.24473146727994,1.54198453378433,-0.65584327484823,-0.544969077611801,-1.03941568563006,-0.348882939579745
"STAGA_Mig_1 (GE) - TPM",-1.64734518478545,1.83155567975495,1.45220664121971,2.15258249467223,-1.37666702635961,0.309096086091684,1.36009310749762,1.85104335468915,1.11916993342943,1.60702287203436,1.08506579334438,1.17065422401003,1.71773806402353,1.52271627654318,1.58176520693703,1.47796361008379,1.90046833972208,1.58083424366998,0.276303469048597,1.24867074919997,-1.46247068259588,-1.36252842483521,-0.288030367528201,1.30896709470043,1.82014465343224,0.557515068586139,1.41251753527934
"STAGA_Mig_2 (GE) - TPM",-1.5234243962826,1.57744543920403,-0.571267843735008,1.80647255459969,-1.45245970995065,1.28507612463217,0.78535201763244,1.86534510398936,1.05454638113994,1.40866365180971,0.77821756226567,0.799659328059158,1.3841673838747,1.25022494003124,1.41759226826607,1.13122454185811,1.48263608581877,1.26254845275631,0.264069912021474,1.57915782400896,-1.76556051515997,-1.37712621278363,-0.55597909976725,2.30478514225508,1.86658217630571,0.779824806700214,1.61208695518627
"STAGA_Mig_3 (GE) - TPM",-1.19740691093614,1.88936302989795,1.65792498785657,2.01496873379419,-1.37171198619949,0.188790526312194,1.30398537281304,1.92623005998929,1.37674685101419,1.63421324239078,1.35903242650315,1.70417964415391,1.64575041922204,1.53357807679718,1.33329573872695,1.51005644281674,1.57916196615377,1.45238685190828,-0.176022815725776,1.92285666113029,-1.72625202800756,-1.29155898390263,-0.951818471650657,2.11746932028125,1.85158857643746,0.855943271154122,1.72008637946932
"STAGA_Nd_1 (GE) - TPM",1.49023377372805,-0.121997323191626,-0.866319862147735,-0.258140694690349,-0.0975216943731807,0.382656221492092,-0.348413080142793,-0.691876567196195,-0.335018326712551,1.15513365111128,-0.385827957447068,-0.461179918386953,-0.462061958682818,-0.449204313387914,-0.43296973687373,-0.41985390523676,-0.401715729279181,-0.369763281035633,-0.717995858845535,-0.907123843031067,0.275832277470664,-0.169729588167919,1.26587550785451,-0.450797176518109,-0.42923262174834,-1.16246140691647,-0.433672780877664
"STAGA_Nd_2 (GE) - TPM",0.789765668841906,-0.216844405340865,-0.496851661196,-0.279332422218547,-0.161860038583973,-0.365840942021777,-0.602950990308957,-0.781370051270407,-0.357354959105376,1.09656713353506,-0.421816304719128,-0.339850788770958,-0.453254107954785,-0.517107573021929,-0.438531864683334,-0.458895532479494,-0.433299092467455,-0.360616593030059,-0.901359852366754,-0.706105077029128,0.0450920371802732,-0.34169145175222,1.21106439597929,-0.337532507550258,-0.213490020794842,-1.18504090447942,-0.435279936979387
"STAGA_Nd_3 (GE) - TPM",1.01451933899478,-0.0725715544644015,-0.778615153203517,-0.281528720113012,0.0656120351954601,-0.114806251740215,-0.0985690456281625,-0.738190251970365,-0.195010083239784,0.853828405242536,-0.269491414559455,-0.419954419680054,-0.362949479364505,-0.340692457944175,-0.343393388589811,-0.340524506573615,-0.296635533330266,-0.26488489454193,-0.517478366434293,-0.814823511327541,-0.0799022457338661,0.227867674641962,1.37582804538328,-0.335631727190806,-0.057663252162241,-1.10518092826086,-0.325271494997094
"STAGA_Ns_1 (GE) - TPM",-0.600591729779106,0.0652711867821228,-0.892464514308564,-0.596057766134591,0.31254784458135,-0.714032042014543,-0.432357748256435,-0.550180872850632,-0.405840053801619,-1.30739166073358,-0.674639463906756,-0.647657385169757,-0.660123826343504,-0.648660191337218,-0.615965990492961,-0.733952524961312,-0.702534125981231,-0.644395633499801,-0.653743050846304,-0.782522491781482,0.276232057523041,0.101104595610134,0.125068334092497,0.257637163598932,-1.03043951517225,0.0732896247976431,-0.515522804843945
"STAGA_Ns_2 (GE) - TPM",0.738671109341336,-0.204076024625571,-1.37395463060348,-0.649792517720537,2.13726337328091,-0.340310452688398,-0.775808283877554,-0.701420769038721,-0.594964643190441,-0.99829268914572,-0.525118628195002,-0.471137076795141,-0.541628940761242,-0.564944769835799,-0.537539519421116,-0.63294319258697,-0.605225026272241,-0.577239993254036,0.302457186719257,-0.611847353639392,0.190483041380462,-0.216675601663098,0.24508128292737,-0.248080606458256,-1.11963862086088,-0.685446031678209,-0.511329970480759
"STAGA_Ns_3 (GE) - TPM",0.415691179519734,-0.356043847394479,-0.685943242183054,-0.51353073287932,1.20385532983174,-0.445262326230002,-0.202734769843791,-0.830997229737139,-0.714140723915774,-0.780677588606433,-0.365764673352632,-0.421340076723124,-0.483859745380281,-0.510218998371261,-0.545067559048588,-0.590860487412633,-0.64363992137165,-0.546214618448447,0.510409231114178,0.381847797481513,0.118645516813834,-0.378660192177764,0.478616817922846,-0.480508097389909,-0.282069708685756,-0.659133560537524,-0.500153629137947
"STAGA_Oss_1 (GE) - TPM",-0.893800463227642,-0.277346203280068,0.463228661108787,-0.436822886279727,1.16359842868599,-0.677644139380738,0.0269487454017905,-0.293558462457439,-1.48693662948406,-0.584535000192719,-0.417658293458065,-0.499021788179788,-0.475336459584786,-0.402039348644363,-0.398180994709368,-0.240078576532103,-0.247570058897095,-0.219791506736203,1.00745821088191,-0.572473251247594,-0.271537483051659,-0.398391882482865,-0.377566631294723,-0.878699017725816,-0.478857042952543,-0.640114876167687,-0.486473012255621
