"","GBS_RS00815","GBS_RS00820","GBS_RS00825","GBS_RS00830","GBS_RS00960","GBS_RS01135","GBS_RS01435","GBS_RS02900","GBS_RS03065","GBS_RS03075","GBS_RS03155","GBS_RS03850","GBS_RS03855","GBS_RS04195","GBS_RS04200","GBS_RS04380","GBS_RS04440","GBS_RS04560","GBS_RS04875","GBS_RS04880","GBS_RS04890","GBS_RS05560","GBS_RS06305","GBS_RS06310","GBS_RS06355","GBS_RS06735","GBS_RS06800","GBS_RS07445","GBS_RS08095","GBS_RS09670","GBS_RS09675","GBS_RS09770","GBS_RS10630","GBS_RS10700"
"STAGA_As_1 (GE) - TPM",-0.451063143675677,-0.485118389518412,-0.485055904411263,-0.518017875675494,0.278405923505334,-0.236403246085542,-0.453374593466842,-0.166666666666667,1.78445629682128,1.34277464268036,1.94558268700107,-0.701567517381259,-0.0146182663773651,-0.639377631910742,-0.439539862592704,-0.73387868188981,-1.10584987488493,-0.832668937310423,-1.00936424161242,-0.782190225039823,-0.897764976162708,-0.308600328648857,0.814210998995997,1.73223728982539,-0.719766444075586,1.04388355061039,-0.438632353430061,-0.367412753884623,-1.21224353526222,-0.402483151386981,-0.517335308908273,-0.147481908940048,-0.399428976249007,0.938577195725642
"STAGA_As_2 (GE) - TPM",-0.473147126523109,-0.490307857848571,-0.464127909651368,-0.45875875053884,0.134221723624398,0.0215769391799439,0.623933502464801,-0.166666666666667,1.45590492363077,0.989703757251973,1.93144117431287,-0.713008326084964,-0.215421659421798,-0.441749353717743,-0.471246187118922,-0.636591782209095,-0.987677466139219,0.861820129469808,-1.06216563527223,-0.82466732382494,-0.985116896940583,-0.460322164383224,0.860205012520889,1.48281288282268,-0.658569328540085,0.791568143697542,-0.532322810079684,-0.436406345779786,-1.15041859441368,-0.399030132396349,-0.505560319814769,-0.278247825576692,0.0955641716991822,0.942470101765235
"STAGA_As_3 (GE) - TPM",-0.481425635276781,-0.458999354722321,-0.444502356773843,-0.44756150597518,-0.296835888561872,0.229051271154624,-0.453374593466842,-0.166666666666667,2.39083724898651,1.12571864976968,1.37698697812818,-0.728864478804863,-0.115198087454016,-0.441477689460097,-0.600802037486311,-0.515394841059163,-0.969463099475234,-0.0279170248173179,-0.914726842602816,-0.770431561651852,-0.776973887060281,-0.651821755866209,1.35516747121647,1.75730825043528,-0.709674375596271,1.24411658791715,-0.794936980695281,-0.389436384218356,-1.13375367986732,-0.396865369116645,-0.505720632445259,-0.0292268632936073,-0.0926334720860142,1.42209407589217
"STAGA_Bs_1 (GE) - TPM",-0.404890205608369,-0.364751288278028,-0.274760914290616,-0.210359088240112,-0.201321402455854,-0.101131592425216,-0.453374593466842,-0.166666666666667,-0.452281424855734,0.204132055722007,-0.624990854906307,-0.586100379262063,-0.431142811613296,-0.528269351078267,-0.278288564586103,-0.329266816311418,-0.507515099144655,-0.793042799826084,-0.165908445621445,-0.701567802785104,-0.174690663496451,-0.262161057224657,0.615637977083631,0.594772430432173,-0.598943167622405,1.67990767733848,-0.986506823232187,-0.186631152459906,-0.569887173075597,-0.389030909836753,-0.496208293052802,-0.0388271483761856,0.109070145935405,1.26690129110279
"STAGA_Bs_2 (GE) - TPM",0.123119444451472,0.286840846970504,0.388822463504986,0.29067207726737,-0.576486712725656,-0.210554897782884,-0.453374593466842,-0.166666666666667,0.0413192663635416,-0.545905617901031,-0.354452429872758,-0.32324817484843,0.114177881504851,-0.404046968468493,-0.123607871172719,0.162070488539988,0.769190986426772,0.429937052911325,0.570858354383277,-0.354322955359363,-0.268262663985165,-0.253725517167107,-0.575807105811748,-0.368530502517486,0.282761401405146,0.607071038946971,-0.284662411045201,0.140629101495444,0.526690510513186,-0.371383210128987,-0.456777780137426,1.23921394269216,0.266362872821153,0.111713390486441
"STAGA_Bs_3 (GE) - TPM",0.238339791057897,0.345692671919293,0.518842326484177,0.591263193081965,-0.658752507503371,-0.263539202407805,-0.453374593466842,-0.166666666666667,-0.222653015599769,-0.370028628453351,-0.237281097309713,-0.251526669502311,-0.0305002286707446,-0.365076749626085,-0.178592022919153,0.594836574362767,1.09451604967976,0.808792299844387,0.754992117045298,-0.03553905427135,-0.122539775130757,-0.277510251165926,-0.328942164173323,-0.263332972615118,0.388506852016583,0.0786732620817951,1.29132426730217,0.159551185020915,0.462190001639017,-0.373348196784257,-0.458870155020801,1.42497958699182,0.490000041920993,-0.180146750831787
"STAGA_Ctrl_1 (GE) - TPM",-0.45482541715449,-0.432852119743056,-0.476550497438577,-0.459233669903039,-0.117894027959813,0.538858273746344,-0.453374593466842,-0.166666666666667,0.851204720710809,0.309744463195508,-0.398160626513336,-0.22017094692613,-0.187272699423926,-0.24338742673751,-0.413446459447906,-0.310734879901902,0.109285195384565,-1.09410255118394,0.190531772372163,0.137226242264505,0.516559075438264,-0.749619384681964,-0.126982808264352,-0.276784124116372,-0.12753624591302,0.563478364190997,0.79039960464867,-0.346798758548423,0.0161078914738135,-0.396684882763608,-0.531521036340499,-0.191668682529396,-0.555139301050795,0.326762235947359
"STAGA_Ctrl_2 (GE) - TPM",-0.438179801841529,-0.453930285406745,-0.480685829568586,-0.474406699600931,0.548319134853122,-0.412808206800933,0.885892057664332,-0.166666666666667,-0.0921467405741299,0.934466382752467,0.196383799265596,-0.0288615789987942,-0.376238212618474,-0.401740241250125,-0.127404987735637,-0.309789735194882,0.382993808719866,-0.300483295202723,-0.0641168607955593,0.387493386128476,0.641605848142752,-1.04137631022867,0.474155214025092,-0.0931291819183576,0.143244996259983,1.03020188022235,1.41811223798723,-0.258498902551841,0.323533899373442,-0.39853467486781,-0.546944493792648,-0.173472435730016,-0.316510708348868,0.441198272722803
"STAGA_Ctrl_3 (GE) - TPM",-0.451054718783875,-0.449502220637095,-0.484355830263902,-0.475859730257665,0.0793719263327446,-0.0596708983329755,1.0504617208486,-0.166666666666667,-0.190860546795118,0.439310952577485,-0.145800412016863,-0.107664703232461,-0.314933692500886,-0.290566272380113,-0.0940969808870648,-0.228696424178434,0.179700548660624,1.10473024587807,-0.0476746879335708,0.235493338131011,0.605353314521369,-1.04977332862598,0.00122955399041559,0.0429814465088414,0.0712934481356277,0.931409291696944,1.61400588240694,-0.346879735249628,0.0133703061918483,-0.391057123954051,-0.530309838031078,-0.122795757244144,-0.460380693468779,0.141986318349462
"STAGA_Li_1 (GE) - TPM",-0.483601987271043,-0.472755635139869,-0.48064107021904,-0.453332474559607,0.0667535968247463,1.36051589538661,-0.453374593466842,-0.166666666666667,-0.448318027067,0.267915587372238,-0.213008433931102,-0.188454054915488,0.656005291542543,-0.295377960772471,-0.106643930499937,-0.659256989290734,0.249736301449119,-0.67023360872223,-0.604811331383686,-0.659513080043935,-0.296097151543193,-0.067002431716284,0.0393074968131044,-0.772211105922821,0.00404949275278172,0.800293012181515,1.56786824925616,-0.544360104411331,-0.163481433079534,-0.396348947628744,-0.499847052090814,-0.679256979035427,0.338551996224143,-0.417840265297023
