"","GBS_RS00695","GBS_RS01115","GBS_RS01315","GBS_RS01660","GBS_RS01980","GBS_RS02190","GBS_RS02710","GBS_RS02925","GBS_RS03640","GBS_RS03645","GBS_RS03650","GBS_RS03655","GBS_RS03660","GBS_RS03665","GBS_RS03670","GBS_RS03675","GBS_RS03680","GBS_RS03685","GBS_RS03690","GBS_RS04350","GBS_RS04355","GBS_RS04660","GBS_RS05575","GBS_RS07745","GBS_RS08460","GBS_RS10335","GBS_RS10415","GBS_RS10420"
"STAGA_As_1 (GE) - TPM",0.724279450078971,-0.823158305265214,0.37334299623065,0.1953388018904,-0.364993769980567,-0.317922510987373,1.37995218499001,-0.979543100800206,0.355343616282679,0.606616400913141,0.202028579988905,0.766620563736422,0.386103932155956,0.648827751921662,0.64645401667479,0.665010377892285,0.995731005794889,0.589901890858313,0.356502310685388,0.70342753807114,0.179180451301477,0.420167246284589,0.327498043996369,0.232072562249826,0.00806517853659064,-0.0300598195969506,0.230377537807204,-0.470499339926661
"STAGA_As_2 (GE) - TPM",0.7596884484461,-0.565327329729454,0.782224623711262,-0.427651371116782,0.470558711896335,0.120608656069362,1.06714946044063,-0.728828809549228,-0.168785403809282,0.218120899469765,-0.268322731897115,0.228881948264721,0.456019906966077,0.427349885510033,0.568602002683335,0.469923447220057,0.558596565001032,0.468104322116542,0.033586684693536,0.929040611188102,0.0285199304919249,0.00583753647718057,0.841291493004893,1.99414495447969,0.599876975811594,0.238773158954196,-0.0750693338123966,1.046867526304
"STAGA_As_3 (GE) - TPM",-0.728245887294683,-0.393709958417567,0.413562157024045,-0.168990612401133,1.0821405209426,-0.0632843290556477,0.667682540393041,-0.90142211252409,0.174191288552592,0.347978036698435,0.320975113989121,0.640390061971601,0.411267422488173,0.530180525566221,0.621702858539808,0.676572371279866,1.01064679544256,0.711215812933697,0.23639260606079,0.977781306888492,-0.00267832407243727,0.0884502307452741,0.798587834936689,-0.0286278164600721,0.779878869899265,0.429035363470052,0.284016105216583,0.555185772379784
"STAGA_Bs_1 (GE) - TPM",-0.018006470821667,-0.475591553484216,0.658589642927149,-0.065771935126346,0.541865184343367,-0.0783711804331867,0.738209936205123,-0.143699410170528,0.233499400741807,1.35384667421619,2.29149579073277,0.522670704169991,0.687074346319238,1.36579349103949,0.645810387446615,2.00275188925508,1.21257278868139,0.889175580375842,0.300388449540513,-0.175777019502464,1.10818490841955,0.94284926503585,0.355699740494963,0.908713857912098,0.351475208904103,-0.287570586468524,-0.767051527050301,-0.786870093822496
"STAGA_Bs_2 (GE) - TPM",-0.521982002303288,-0.308635479692758,-0.0699653767583875,0.0186173878721916,1.24979612082635,-0.135216886080834,0.118332142248718,0.958448363372867,-0.061487835702784,0.106265290642382,0.377879317424943,0.405169381998611,0.523546032524361,0.289902450851393,0.370939402939592,0.367503172865916,0.477574459750081,0.128083999567831,0.34532803062383,0.498878347879311,0.42336106428332,1.55747209625215,0.026585262537501,0.442814322856202,0.298345050701349,-0.256156828393663,-0.0343414505133596,1.86752437265247
"STAGA_Bs_3 (GE) - TPM",1.33488116910102,0.137374523993218,-0.17182448523897,0.250203985884323,0.845966614318491,0.203134720941078,0.502153883223298,1.49112201685038,0.326496908275138,0.523634778638052,0.862111274520907,0.99930025737756,0.611512903508001,0.648327923364976,0.449647320818041,0.609259146726347,0.669705835895928,0.496947122708879,0.268196187699326,0.555412929328899,0.453554788140844,0.177977373316194,0.548811603141618,0.311315698034609,0.124398556349714,-0.120246095577072,0.0122260812837355,1.29806408005065
"STAGA_Ctrl_1 (GE) - TPM",0.311760414098737,0.19790587254401,-0.598846951059388,0.173261846822301,-0.595724484683657,-0.518519167269846,-0.645960506039982,0.545516895069607,-0.502823046876955,-0.431963140914046,-0.181187320829797,-0.312704773881804,-0.174267136067586,-0.609398909359405,-0.363799961797127,-0.426382109309123,-0.380416493264586,-0.440858523888597,-0.892016523034204,-0.324068244711003,-0.231255569399941,-0.488891761286027,-0.764030185415148,-1.24726207008781,-0.0208240285188447,0.675079760936257,-0.516420390493245,-0.262007188718649
"STAGA_Ctrl_2 (GE) - TPM",-1.06389203736329,0.248331853124498,-0.591047939140988,-0.10320546963396,-1.33314307248683,-0.39282546689943,-0.898253514377565,0.268248612504038,-0.517194439529441,-0.326309364569682,-0.241522183233139,-0.627301857213196,-0.676639341781918,-0.618740177714843,-0.674773684684735,-0.816804417862185,-0.686782202738931,-0.667814893512576,-0.644731978822984,-0.570164351370323,-0.460871327252628,-1.28918196709668,-0.735476625900848,-0.558508104683333,-0.413857833535564,-0.158312782240069,-1.166256051248,-0.961706745858666
"STAGA_Ctrl_3 (GE) - TPM",-0.0188341035805201,0.043676204940783,0.0241295216281429,-0.48194379190629,-1.35942751400834,-0.249441540093062,-0.949155836533964,0.337613442465416,-0.318072101015074,-0.325541473680317,-0.0695265438388442,-0.478548107318897,-0.785224041344396,-0.788084692981233,-0.689975294718172,-0.710844158165523,-0.571615963060235,-0.720405769780737,-0.633659749886177,-0.737060486807629,-0.320810508800464,0.134694592458717,-0.907545872278803,-0.532603385572565,-0.39906387306192,-0.0182805803017246,-1.33273717135285,-1.07743243496749
"STAGA_Li_1 (GE) - TPM",-0.712556288314618,1.08484510071397,-0.924866638342841,-0.99828652545689,-0.804251459051273,-0.625561051468682,-1.07717136548153,-0.0364533664730487,-0.49432121444321,-0.568332448227255,-0.220344022886893,-0.458461816393477,-0.979742750132104,-0.837260390144889,-0.791608057330177,-0.806736875624856,-0.887707487264183,-0.851444440357609,-0.699399707922294,-0.713568357679078,-0.433557005143999,-0.390890622986938,-1.12916264969345,-0.702418178309142,-0.0662950255722517,0.265846146675099,0.504052456877142,-1.23350953854897
