"","GBS_RS00845","GBS_RS00850","GBS_RS00855","GBS_RS00945","GBS_RS11130","GBS_RS11135","GBS_RS01240","GBS_RS03780","GBS_RS03785","GBS_RS04165","GBS_RS04500","GBS_RS11300","GBS_RS06155","GBS_RS11320","GBS_RS08305","GBS_RS08370","GBS_RS08375","GBS_RS09370","GBS_RS09875","GBS_RS09880","GBS_RS10155","GBS_RS10160","GBS_RS10165","GBS_RS10170","GBS_RS10570"
"STAGA_As_1 (GE) - TPM",-0.578513080178075,-0.436288137790202,-0.162448801985415,-0.0541950918412973,-0.86280781436963,-1.05852383589824,-0.804455314567618,-0.69293382596459,-0.754443864965407,-0.739588213929097,-0.711829362526693,-0.25138402318743,-0.731531270235813,-0.212418032619636,-0.606995461899013,-0.377666087654442,-0.576212902439675,-0.622297970745945,-0.281924782648353,-0.62543357079241,-0.143610204944918,-0.415391154376831,-0.309209211591651,-0.527418768835938,-0.456947141006271
"STAGA_As_2 (GE) - TPM",-0.587448378877319,-0.327117215430345,-0.20089055560379,-0.701837730856314,-0.843889836657744,-0.641122760289862,-0.656508204525121,-0.635987258164338,-0.648924609898974,-0.631234311649901,-0.402115289342166,-0.25138402318743,-0.514741660150759,-0.212418032619636,-0.669502032765946,-0.531954769821681,-0.548012366094854,-0.630167893769302,-0.353196851948074,-0.590413776703435,0.173093178351743,-0.257277269118518,-0.336907691312219,-0.528594078704038,-0.459718089263698
"STAGA_As_3 (GE) - TPM",-0.594225477696749,-0.397962421958261,-0.176793991397183,-0.443410229054638,-0.869769066890454,1.41490400873531,-0.711592909426472,-0.581909657879811,-0.624485307302506,-0.593904011919604,-0.604842179676786,-0.25138402318743,-0.556112074988486,-0.212418032619636,-0.504901525255069,-0.456722557395676,-0.596514525463451,-0.632308508432543,0.0724875685520375,-0.577709513785908,0.213067729567619,-0.280834674409983,-0.340286881976885,-0.532655219266151,-0.46580407942037
"STAGA_Bs_1 (GE) - TPM",-0.593785133377548,-0.503492400440486,-0.689318331234404,-0.131727745392436,-0.634652844742163,-0.0409125027579895,-0.421085181619386,-1.33584744217718,-1.08362043466304,-0.536991457214765,-0.757422770566482,-0.25138402318743,-0.255229662842626,-0.212418032619636,-0.751821512628357,-0.107378960691453,-0.533171880324561,-0.810133412454052,-0.437951903684901,-0.368333608248153,-0.457458399327604,-0.363912718962629,-0.446090494302346,-0.553767238989316,-0.475119378390954
"STAGA_Bs_2 (GE) - TPM",-0.539521986996211,-0.430664892207207,-0.143570230215426,0.741638379236825,0.115865995655737,-0.291088058840251,0.623910441188839,-1.09461010581955,-0.890656744477295,-0.245411347969173,0.5354762372009,-0.25138402318743,0.54086403871425,-0.212418032619636,-0.169229419661301,0.159336668654737,-0.174532261920815,-0.353683560378457,-0.149628031534561,-0.136351897203788,-0.683793505710637,-0.304639300930797,-0.304049058077092,-0.555714208002929,-0.220896302810401
"STAGA_Bs_3 (GE) - TPM",-0.538943975428462,-0.419291181242956,-0.269849149350918,1.18869764933511,0.248536010017087,0.0112214610653965,0.533412074631115,-1.064286197591,-0.783703167823729,-0.438360150562435,0.437450783111836,-0.25138402318743,0.438540988209904,-0.212418032619636,-0.269923788774552,-0.0348948196492081,0.358366303495828,-0.35498843225121,-0.383274545311806,-0.0624756187903364,0.434201584536256,-0.245821738025745,-0.41355380276426,-0.56198449106704,-0.079656810266845
"STAGA_Ctrl_1 (GE) - TPM",1.71365654403045,0.456910641341381,-0.118820167900813,1.03308685105811,1.27336231562943,-0.0455614576093865,0.830566876013103,0.416650144974198,1.31806565790035,0.731361725527745,0.902834832526154,-0.25138402318743,0.860319124202491,-0.212418032619636,1.73896846541662,0.181804787747788,1.93317452710043,1.75969787334245,-0.386912897302096,0.933332035593409,-0.26781520207242,0.291984140418322,0.584080862527046,1.23288550142045,1.02639294325027
"STAGA_Ctrl_2 (GE) - TPM",1.58953535277566,0.51685299776556,-0.103718344501857,0.825283844979692,2.25514610283674,1.79540661317181,0.493497733689126,-0.291025451858668,0.628081253831403,0.887850033881458,0.693876187350005,-0.25138402318743,0.759151801042016,-0.212418032619636,1.16620371026785,1.32082966127154,1.911186762147,1.21252744936792,0.0414973391259578,1.15233885220771,-0.0827073779629577,-0.216490959903372,0.529442941402786,1.43842891737614,0.614493935789613
"STAGA_Ctrl_3 (GE) - TPM",1.6599982146873,0.64340528854861,-0.379976732930705,0.721279264785527,1.98557125392454,0.106793492704538,0.553018186870931,-0.125614147816186,0.630815547139598,0.816095252386119,0.879266235508606,-0.25138402318743,0.890921235495777,-0.212418032619636,1.17843701739238,1.09019456984969,1.57116270486116,1.39293260062944,0.510297295891334,1.10156075542591,-0.407972511848477,-0.114589843860535,0.302164638484226,1.59259033216654,0.65168145013529
"STAGA_Li_1 (GE) - TPM",0.374073312354515,-0.232099989183306,-0.0733116786743181,-0.338709218497103,0.0337164875739536,-0.246698008964748,0.608388597852624,0.420104688469264,0.821194037976952,-0.299399580974505,0.0948589029970289,-0.25138402318743,0.434104930740332,-0.212418032619636,1.04298505509803,-0.295330870469288,0.185612568082425,0.680246519303259,-0.00151068158689478,-0.0586027108605258,-0.437290059485716,-0.230324474232974,-0.175493804245405,0.357948880203829,-0.134446272087787
