"","GBS_RS00685","GBS_RS00950","GBS_RS00955","GBS_RS01330","GBS_RS01335","GBS_RS11225","GBS_RS04475","GBS_RS04945","GBS_RS04985","GBS_RS05620","GBS_RS05625","GBS_RS05630","GBS_RS06245","GBS_RS08395","GBS_RS08410","GBS_RS08655","GBS_RS09640","GBS_RS11460","GBS_RS10270","GBS_RS10905","GBS_RS10910"
"STAGA_As_1 (GE) - TPM",-0.689276217061038,0.485411378929035,0.014678815747675,-0.419169379911884,-0.352155303073967,-0.257957894697569,-0.98801977182073,0.0558307532530205,2.2511201522833e-06,-0.0742092140268456,0.0196718696263613,-0.164218448779531,0.972943595335892,-0.124957586826808,0.883844439590989,0.324566698276775,-0.434009906783511,-0.576445692150278,-1.28808417744441,-0.168028647820047,-0.117179471280656
"STAGA_As_2 (GE) - TPM",0.0506697386319336,0.0169996777008454,-0.0526341272529099,-0.508196821662483,-0.513594837252646,-0.0139929311188442,0.474530835727371,0.0944481266849158,0.0639943338119752,0.00319729188156041,-0.230618238006831,-0.338340342287345,0.732232348494562,-0.0845162598999241,-0.554060591230812,-0.335135281497979,-0.458604526342035,0.0939150504012879,-0.847518841466439,-0.669532758573167,-0.488292927212244
"STAGA_As_3 (GE) - TPM",0.167768491473212,0.225962261821583,0.593738838696038,-0.645663792843812,-0.615935853338733,0.0188613502742684,1.18436613143475,0.426346332912211,-0.150768423829027,-0.317441997325428,0.21884802190359,-0.137293386712505,0.815309643720151,0.375396550476044,0.213278089047211,-0.633430063774086,-0.362139018824052,-0.00409293661521598,-1.12045632221408,-0.660162459775141,-0.468284260063202
"STAGA_Bs_1 (GE) - TPM",-0.642588112892874,-0.867477277521203,-0.13310225752289,-1.07336369343317,-0.535925580725233,-0.0498465478176611,-1.87148661243966,-0.216251708234014,0.52682021441974,0.061311904794808,-0.0861460914755276,0.0565000170015987,-0.548560198256551,1.28033564038287,1.12160020702018,-0.713155400962266,-0.722813653353998,-1.54724275199286,-1.24448641943544,-0.955120213723946,-0.275348533843882
"STAGA_Bs_2 (GE) - TPM",0.230657792105865,-0.704863109491444,-0.578195227885532,-0.919640242084292,-0.621800411839627,-0.774564478507431,-0.717212237669634,-0.58681881487457,-0.411627365394999,-0.346151851563896,-0.267495421080214,-0.295948745822332,-0.318229823801484,-0.59492782446452,0.33254163780932,-0.809497685522951,-0.499595524726369,-0.630885227718202,-0.436626421861242,-0.811491397705174,-0.595357901842347
"STAGA_Bs_3 (GE) - TPM",-0.484476525217559,-0.10232939098755,-0.298316081100793,-0.972827402035803,-0.594948920100606,-0.901906414694571,-0.495438591534421,-0.408570891988523,-0.548033291202464,-0.389592892238926,-0.4753221058884,-0.302452108673208,-0.397677075462184,0.217589028310246,0.676448316718166,-0.174705111722233,-0.377784677907592,-0.153349238701489,-0.163200363259674,-0.847841587309669,-0.995560572061595
"STAGA_Ctrl_1 (GE) - TPM",0.528504687070104,0.887837326109382,-0.523275467754009,0.0692815137437279,0.141162390630415,0.0135923721213575,-0.646740228415228,0.571218517484462,-0.174337658838853,-0.318709316825819,0.0574370277663767,0.18391845808331,-0.467594347066145,0.781617137789386,-0.907108917138935,-0.113005228960475,0.188294927814719,0.47958260710153,-0.271663426000894,-0.35661787668986,-0.56853111824599
"STAGA_Ctrl_2 (GE) - TPM",-0.61533291578802,0.144436456947266,-0.25587149110637,0.147368254625291,0.00709437788534104,0.164232251015534,-0.138257289003602,-0.0756761375619822,-0.308698637861402,0.280557016464761,-0.301766341125054,-0.0852531328816931,-0.237306922106968,0.740357294338773,0.357887421787354,0.248111237562058,0.0988464649436926,0.512595575115744,-0.139983913564403,-0.268596618464369,-0.356584814066842
"STAGA_Ctrl_3 (GE) - TPM",0.0259843067011873,-0.31876671025384,-0.0242175607177303,0.0303769167855262,0.12870241911809,0.513148109445716,-0.184155952571727,0.379079913037852,-0.304743595718912,-0.0432461005464816,-0.282887996865168,0.0457696168700199,-0.367232739863705,0.250565714248294,0.0352643643884929,-0.310790437667365,0.237025085348013,0.113297463103225,-0.498803311952676,-0.52331621590432,-0.42840231187086
"STAGA_Li_1 (GE) - TPM",0.910690381539729,-0.619455062439064,-0.86760024256742,0.276327890153414,0.509665079161136,1.03474476661222,1.23748220432142,0.688692910103587,0.596359061460733,1.02535206986941,0.395052191353674,0.521309135085951,0.918668312889387,0.740661249596602,-0.165141739114414,-0.476143474208512,0.562062080236603,0.18835827641913,1.0373860731688,2.72086319382486,2.00495695621292
"STAGA_Li_2 (GE) - TPM",1.54795542796769,-0.284404204278437,-0.482834645240904,0.149112753503108,0.2471960036839,-0.138230795038369,0.854405999948711,0.915340585757173,0.663312366907151,0.400957929006462,0.434568223621485,0.517305794918622,0.609547307154513,0.172303143222586,-0.397424518922574,-0.755831291571867,0.852742373065086,1.41052386036785,1.76353309027409,1.89487312283577,1.70646872318015
"STAGA_Li_3 (GE) - TPM",1.50692415508923,-0.527288715413743,-0.944367674924913,0.563417424455779,0.599859814275074,-0.062918273419533,0.592536260073258,0.757320988521949,0.868956331886667,1.00968017748699,0.41157108839586,0.456037248072456,0.985529652919522,0.228547496217479,-0.283833980257262,-0.246417492364596,0.603706000817988,0.551768603012689,1.0556746591462,1.92718189952129,2.14180849254291
"STAGA_Mig_1 (GE) - TPM",-0.472695308031691,-0.110328424536296,-0.310684295187137,0.245607482354431,-0.134491156129298,-0.186195746262364,0.481276821638001,-0.750607301719139,-0.592264826451741,-0.428398154792457,-0.253049665715459,-0.529272027311964,-0.0434654030929199,1.62852975842004,1.41830907639451,0.309238175229664,-0.554997142727492,-1.14175164807027,-0.458673142046954,-0.478262303028665,-0.542987688707952
"STAGA_Mig_2 (GE) - TPM",-1.35172761739193,0.331425780825684,-0.138897265066204,-0.0365840027630714,-0.31736870031784,-1.0805158429206,-0.217646265008507,-0.916704106822806,-0.317664973785841,-0.00382204669884575,-0.0163737800824688,-0.0184309649238502,-0.540062069874456,0.671469779234521,0.209411261629723,-0.429324331836171,-0.490533937382747,-0.981245948857643,-0.720128056204312,-0.488096502016175,-0.1116282387784
"STAGA_Mig_3 (GE) - TPM",-0.751356296243393,0.596927679914387,-0.0655071236280884,-0.0610872179168179,-0.373493285448584,-0.382900170377432,-0.189655849417809,-0.541831869364629,-0.530316454515446,0.216072955015792,-0.00125169193755048,-0.14393952895803,-0.212522250575418,-0.249518127469004,0.36996182807434,0.346937262481202,-0.584465145181044,-0.930948529949462,-0.395753873274631,-0.13047245779029,-0.178819843417111
"STAGA_Nd_1 (GE) - TPM",-1.50255513032253,1.62348471582677,1.730599213388,-1.0508295849356,-0.989443068637835,-0.124577424813509,-0.831340795426711,-2.16232255206084,-1.86930298620169,-1.8012873407221,-1.73747042103242,-1.73892655150417,-1.97248121253974,0.757711882866683,0.726178234207355,0.42542126745853,-1.31509134289611,-1.22533593505864,-1.04425324090453,-0.819684544251144,-1.40354809844767
"STAGA_Nd_2 (GE) - TPM",-1.08127750456032,1.25268092535169,1.03721913060906,-1.03498942407927,-0.970547917153398,1.82159601106733,-0.549377597072686,-2.39576586135229,-1.93262698776295,-1.72321958943133,-1.76705719091028,-1.78114544580984,-1.97450282695486,0.433463761622276,1.10915393808351,1.39861929379761,-1.30098232928496,-1.26514735864658,-1.12130248680885,-0.826210210291677,-1.35636957502326
