"","GBS_RS00290","GBS_RS00295","GBS_RS00300","GBS_RS00390","GBS_RS00415","GBS_RS00590","GBS_RS00865","GBS_RS00870","GBS_RS00885","GBS_RS00930","GBS_RS01050","GBS_RS01105","GBS_RS01320","GBS_RS01325","GBS_RS01880","GBS_RS01885","GBS_RS01905","GBS_RS01915","GBS_RS01920","GBS_RS11180","GBS_RS02530","GBS_RS02610","GBS_RS02615","GBS_RS02620","GBS_RS02890","GBS_RS02960","GBS_RS03070","GBS_RS03130","GBS_RS03305","GBS_RS03325","GBS_RS03370","GBS_RS03465","GBS_RS03630","GBS_RS04125","GBS_RS04205","GBS_RS04400","GBS_RS04510","GBS_RS04865","GBS_RS04950","GBS_RS05070","GBS_RS05150","GBS_RS05590","GBS_RS05600","GBS_RS05605","GBS_RS05610","GBS_RS05615","GBS_RS05835","GBS_RS05840","GBS_RS05845","GBS_RS05850","GBS_RS05930","GBS_RS05965","GBS_RS05970","GBS_RS06145","GBS_RS06250","GBS_RS06435","GBS_RS06440","GBS_RS06535","GBS_RS06540","GBS_RS06545","GBS_RS06550","GBS_RS06555","GBS_RS06560","GBS_RS06570","GBS_RS06580","GBS_RS06585","GBS_RS06590","GBS_RS06595","GBS_RS06600","GBS_RS06605","GBS_RS06615","GBS_RS06755","GBS_RS06935","GBS_RS07380","GBS_RS07400","GBS_RS07410","GBS_RS07415","GBS_RS07420","GBS_RS07515","GBS_RS07540","GBS_RS07565","GBS_RS07570","GBS_RS07575","GBS_RS07645","GBS_RS07770","GBS_RS08040","GBS_RS08210","GBS_RS08585","GBS_RS08695","GBS_RS08800","GBS_RS08850","GBS_RS08940","GBS_RS08960","GBS_RS08990","GBS_RS09005","GBS_RS09050","GBS_RS09080","GBS_RS09205","GBS_RS09225","GBS_RS09290","GBS_RS09300","GBS_RS09305","GBS_RS09410","GBS_RS09515","GBS_RS09565","GBS_RS09570","GBS_RS09635","GBS_RS09700","GBS_RS09725","GBS_RS09730","GBS_RS09735","GBS_RS09920","GBS_RS10035","GBS_RS10305","GBS_RS10310","GBS_RS10480","GBS_RS11515","GBS_RS10500","GBS_RS10575","GBS_RS10605","GBS_RS10655","GBS_RS10875"
"STAGA_As_1 (GE) - TPM",-0.029171460023294,0.331577143965745,0.300116335383643,0.16037320927917,0.418714807149567,0.434630212462524,-0.300434052157499,0.184980970025243,0.721795328041938,1.21992819103094,0.209286225297007,0.155127619303852,0.210068243950318,-0.111967054294128,0.49712135701738,0.341300308312701,1.13599113582577,-0.457176909937237,-0.105810922740362,1.64033797824584,-0.0416426556824537,0.620670739761965,0.155156540373439,0.0332956864749635,0.481026473399325,0.0359877699582566,1.48448607372776,0.38332659321209,0.824271630295631,-0.222726140035378,0.248070002671181,0.488991544379203,0.349384438096094,1.28121470827529,0.0512811719989314,1.26987355430352,-0.172921444557616,-0.0559844368086219,-0.103045158995642,-0.198005670397114,0.00271063125541904,0.595619686971828,-0.582926938832241,-0.560031440947289,-0.409213565153355,-0.421642748771345,0.175760845062439,0.439630794388617,0.0798632204543067,-0.313516901405287,0.223546980124992,-0.00588152263674594,0.232583627295361,-0.280510215399843,1.19794581696426,-0.316026400377372,-0.501546600277568,0.706315675953753,1.21076045719321,1.26942057927317,0.814967873813444,0.592945845997234,0.286093010270355,0.915868399128848,0.872007734780277,0.718504606243369,0.797553099985803,0.945727429115774,1.14594473906885,0.623743545230695,-0.391222119564124,-0.415714486881444,0.125532227539031,-0.415617392039447,0.555715501417827,0.791855552212183,0.335457947831797,0.470778869061719,0.0326129231100389,0.152288062959618,0.499433024536581,0.212359633576046,0.398652999783082,1.18142957368727,-0.437446022204771,0.0500701975670065,0.212347799783514,1.3556249174064,0.302782350982752,0.343115409480093,0.616547784261049,1.1960259754429,0.937404223415228,0.457089068160488,1.55302747543665,0.661520927206373,0.148925886259273,1.13346783739832,0.622895954745285,-0.0587005242152426,0.940104030866786,0.549033579487842,0.261678777452382,1.61898214076311,0.937092504147571,0.359185763220914,-0.110161848917791,-0.530403320152185,0.366081242732512,0.206831188104416,-0.26065358486308,0.340855677088796,0.920958237706152,-0.0621644599867006,0.325610381737373,0.281051339290084,0.580040196627617,0.873384889547362,-0.144374389816064,-0.0692255110669894,0.815827345378359,0.0261190641816664
"STAGA_As_2 (GE) - TPM",0.321644458172455,0.410705884943697,0.0845703626508267,0.233861787802571,0.62135356568092,0.765222552306008,0.220246996261334,0.00299527298398465,1.10268047110963,0.856184694718118,0.287511767887699,0.534734568284513,0.421316766215665,0.0171473963344614,0.217780600104514,-0.101665288593185,0.793686617785802,0.0656122272998777,-0.169157291539436,0.331758422219202,-0.316804138900972,0.177606157885537,-0.085841097349341,0.364508859382013,0.607665369436628,-0.167864748135449,0.396701280242631,0.259256453311892,0.763253961830088,0.842937179438565,0.499329154299804,0.506444397439996,0.328266271642271,1.27389843923902,0.199209761618473,0.0501005836554214,0.00313387257561634,1.18049911712956,0.687035361934185,-0.137856490703404,-0.12649609040211,1.20187832627115,-0.726134237409662,-0.473562684992869,-0.414078905583306,-0.465968885690687,0.640171706740158,0.137372708293292,-0.0324819006709174,0.213331056667596,0.39506563579221,0.0487328260391169,-0.151396402379371,-0.0590263206263315,0.875953439547732,0.361827518834522,-0.3705646370474,0.921598324656226,1.47854809533228,0.885274686604613,0.437024771511676,0.595688919464253,0.420525624000916,0.597711146894451,0.433848254749385,0.755100801693962,1.04667251328957,1.2895361054631,0.912184201966802,0.783429939696845,-0.27204865033993,0.0973912022768693,0.491876957371223,-0.181498563887742,-0.0492734076993027,0.445260335002494,0.203331007916072,0.170444199709558,0.682948713043438,0.81912399146093,-0.154208922698251,0.488628844884077,0.496700734570097,1.05313897147798,0.0267958011146759,0.644950534604712,0.300953805291596,1.48152021224923,0.194742871601761,1.00456384483107,0.36882978975124,1.12127095160372,0.668835912328536,0.559358242623638,1.47187540653363,0.231137379712376,0.286804264518661,1.1798519054142,0.449809421926129,0.361567544826962,0.996568163311465,0.86484399797772,0.702311532117965,1.22601378351185,0.872082893824629,0.565978857492308,1.10939663032285,-0.377523289816675,0.494198114415781,0.699084358834315,0.258509382173781,0.190680777822276,0.147463281155363,0.59642349262121,0.330286317073827,0.0446801791267299,1.40021015112767,1.23642865982263,-0.0573632282426947,0.339268474460645,1.38857162331402,0.48603004553265
"STAGA_As_3 (GE) - TPM",-0.126298613716881,0.504968758875451,-0.114040500787558,0.378793976187833,0.194012007779439,0.799019864170669,-0.00530657847203445,0.243980179546584,0.620735529397357,1.23068961691951,-0.00552693444602612,0.567439763700066,0.579899550413028,-0.0842255178369483,0.235667759853367,-0.801580783249777,1.04598299842395,-0.0718092366818282,-0.0366030855684801,2.18265211468637,0.178445266685988,0.591326651805123,0.0725897001030542,0.110000065714756,0.632362281130615,0.0972560936152582,0.753548834790337,0.432342903882577,0.698092005743278,0.286812662289079,0.326790227420018,0.463614460437129,0.517593826562727,1.21324392165644,0.0015544435322421,-0.438819497920327,0.0876564475275744,1.00677453041318,-0.58271671315672,-0.435917673554604,-0.475298851651811,1.07365336712538,-0.694518642174781,-0.482834563485978,-0.287044612186289,-0.442000935532158,0.258616469817772,0.228803740334133,0.344143634851649,0.787582384284817,0.325709835648693,-0.330661408187341,-0.281017426749982,-0.248694339801459,0.664512343591334,0.0519138374116263,-0.298959177726794,1.32596271564757,1.57856225554802,1.25684286488588,0.538921637672115,0.653313768430747,0.625239258682662,0.773852258035383,0.953809735361476,0.761930019687381,1.46727453966965,1.48076284113359,1.24486528280276,1.13774203001896,-0.277172883849145,-0.0786576619114235,0.0520989243787592,-0.157848313694316,0.349611980136349,0.54680949503385,0.522956930668347,0.216327621893452,0.751252849830629,1.29032328832833,0.180887651189313,0.628308424788371,0.599483020926318,0.758875072011899,0.197049265555034,0.447804046136562,0.580129831600759,1.67939889873985,0.380522274896369,0.990315395473913,0.470578243497892,0.717254432856826,0.345493869593567,0.366471165570947,1.23280214832419,0.228629552320039,-0.184158147192488,0.9315178231389,0.834167128323493,0.390820668143271,0.99927066717892,0.665573943962561,0.871422432568547,1.8023495903515,1.16257345045467,1.12651564808718,-0.282351926395158,-0.78048090912032,0.434813250095298,0.350464769918366,-0.205708234690477,-0.153768842354284,0.0190913353507155,1.04027404422378,1.09868319105927,-0.175475576295678,1.39638208746226,0.574081187324261,-0.0171845059175806,0.440090066759237,0.887451344213388,0.218687384612415
"STAGA_Bs_1 (GE) - TPM",0.70687751396537,0.513243966636871,1.35551040008972,0.335516184927757,-0.693414597045267,0.966619496896785,0.116478140303329,0.287094872098187,0.0114093422270844,1.19531084301442,-0.0280228400639542,-0.368262281922334,-0.690148201415317,-0.207750080894887,-0.564365141749768,0.630013178422576,-0.348628340830317,-0.317976679476003,0.375116845609306,0.0407772774082793,-0.492110344213253,-0.515324050050684,0.817826009997753,0.881117287312081,0.0401164516803313,-0.00463833668665362,-0.773777802657363,-0.508528586104216,-0.398340346874441,-1.53288626964486,-0.197686620764904,0.132671198085301,-0.39896680405877,0.408009355385843,-0.426505735897949,0.484471774993828,-0.137550520394311,1.0585906679147,-1.19192344472685,-0.249888540908955,-1.06359854971879,0.144403266625831,-0.474200296831655,-0.985026703362105,-1.0723923240439,-0.896411742993131,0.789747610507474,-0.109509611417734,-1.15386588836615,0.676272638726842,0.674617593866297,0.201818139043173,0.527442357393568,0.277427248071002,0.00688081942366452,-0.997730628767735,-0.951857357602783,0.220758844982084,-0.506196971147781,-0.0384926589058998,0.205107074936139,-0.480496763560561,0.0232863649215021,-0.0289589835499838,0.0805235146898493,0.194614636661393,-0.220505282979102,0.0958399187501009,0.25122960854338,-0.222376836304401,-1.16041302238816,0.445646162861715,-1.79281191306508,-0.309050044408151,-0.587886947990249,-0.445945732512413,0.521549388389827,0.829055419307172,-0.172036222615885,-0.0419431050587814,-0.403394233017117,-1.43414768760134,-0.285756608768156,-0.321862796710735,-1.44408440879204,-0.50108571796959,1.169946956591,-0.0822131776937908,-0.710992783040636,0.155906406013371,0.41438903251042,0.00277822814181893,0.0364502476695556,-0.247247559034199,-0.170602658197405,0.675943467775841,0.430370710006952,-0.354171464092154,-0.824356889777593,-0.408473875224838,0.623898497599414,-0.578954124135711,-0.415027608759099,0.925044601679074,-0.691639517413348,-0.684160830921176,-0.637407578693873,-0.631003562071169,0.216701060186858,-0.408299385754476,-0.564993755219736,-0.51293425062143,-0.71299498979255,-1.09756205618735,-0.570539487202403,0.078203639272486,-1.59566269511953,-1.48084690635847,-0.907966177981583,-0.857330454061326,0.12887160517093,-0.448399158836566
"STAGA_Bs_2 (GE) - TPM",0.814928169135731,0.684385690922905,0.653852355443057,0.626899506296704,-0.707773351763715,0.217773822183709,0.441195419236917,0.616437976789606,0.0198050278881127,0.958904209774967,0.148435340330213,-0.658439901270977,-0.723694375796344,-0.114652917799297,-0.72614729203755,0.361137279075335,-0.785691380694663,0.217251160789806,0.322803171459985,-0.157353136489134,0.225742172323092,-0.838634843881085,-0.0602457746299314,-0.0658036980889325,-0.564964213921106,-0.530691539400511,-0.198753429432939,-1.01803778107797,-1.11310010791253,-0.415885333968718,-0.697493109672723,-0.611664390470083,0.0402133898345084,-0.56822208392599,-0.57284704906469,-0.722886662743963,0.200390016396148,0.339535529212396,-0.245610474870413,-0.615325263490909,-0.707060725407118,-0.252897619205695,-0.677771574121815,-0.888041290013474,-0.816905469936205,-0.832364119402112,-0.184777948691241,-0.728376158148232,-0.965063134866249,-0.232473289273262,0.00174880469368092,-0.255875618491142,-0.263989943965973,-0.0412928002451783,-0.37596923189179,-0.795218573273235,-0.665423030976468,-0.5628534256856,-0.747548492013549,-0.406523175433646,-0.177602220305991,-0.613193283701808,-0.439381947979666,-0.684030348751147,-0.674754557088847,-0.431066937942967,-0.541753730655766,0.233237125941588,0.012528430132496,-0.916252705021583,-0.771234643544421,-0.322650083367024,-0.9317129822997,0.441887094060345,-0.36054731847838,-0.934498795712968,-0.227371880018494,-0.622092949529119,0.159829336402108,-0.040160308331839,-0.441980910827541,-0.687693954891708,-0.356327229466419,-0.76080596283278,1.16342782256642,-1.13169530037582,0.352607603580724,-0.0155184647485889,-0.269666208507441,-0.751639451100252,1.07373592667615,-0.607047176852583,-0.665131020959356,-0.261820629276975,0.157534241060681,-0.610848372629115,-0.21724966149519,-0.481318041595939,-0.477305428725988,0.0546743285014288,0.589977830574641,0.488447576327699,-0.523488318869002,-0.258025654856117,-0.600482117985097,-0.169600697698281,0.0231174626224304,-0.445893782361264,-0.708188950612817,0.134103264370345,-0.59430959305663,-0.636858592241192,0.935954928870339,-0.495691670913679,-0.0888449284917587,-0.166485106753623,-0.68443003803898,-0.0580464584569479,-0.157294942117538,-0.690330581320035,-0.233566443620875,-0.079495098252649
"STAGA_Bs_3 (GE) - TPM",0.633214863440675,0.54780466088367,0.333205693630586,0.257120268399652,-0.81515786521742,0.273431454742474,0.538875086787556,0.864899612531154,0.566209213305654,0.994845929869036,-0.0929026697558611,-0.722388365972225,-0.910242268236009,-0.195424484141948,-0.473451588926177,0.268354056086306,-0.569034679842541,0.299609820074853,0.172796662705089,0.741495957823711,0.107467287896142,-1.00492908562323,0.256513865809249,0.091061985794085,-0.452087810043692,-0.2441903798708,-0.170272561824782,-0.449251980197076,-1.03616574178191,-0.605342666057511,-0.446867927149507,-0.804635107688887,0.313487061053754,-0.361185415845574,-0.770759444523397,-0.432575725120117,0.378307948996899,0.633605316479494,-0.425312279962295,-0.628220593698315,-0.74779823806175,-0.368859172700187,-0.772065790855604,-0.928047494469123,-0.789641485483703,-0.903084559582095,-0.217264922383558,-0.671001161840197,-0.756616175849325,0.0742933281845801,0.0747982199077814,-0.401590437345277,-0.444961700883994,-0.0186961066031754,-0.403460229179761,-0.675333848983747,-0.85087478048106,-0.692623406801434,-1.00731001405241,-0.567767721657175,0.0263647689325857,-0.680069671915802,-0.965349531036372,-0.493118526441473,-0.764829050915255,-0.530214485834905,-0.819305983833829,-0.175686441760284,-0.153228396582854,-1.01351280496954,-1.04425220485107,-0.293848661762149,-0.722149195345875,0.372511691978043,-0.406883120319635,-0.895997873199753,-0.38769883209067,-0.535942872275786,-0.456827918355008,-0.370272632456998,-0.491847270649699,-0.455472917423876,-0.268197775766977,-0.856827546672284,1.09372403045603,-1.11317037684501,0.784868689958993,-0.05053510962648,0.661237616723558,-0.361244728447421,0.409322031503916,-0.291074714737361,-0.0799348728467763,-0.47540830490923,0.280508901443967,-0.511275320331518,-0.480371507034229,-1.2796153537269,-0.554381528057692,-0.211865748451965,-0.126889053455979,0.680772367518621,-0.341800319159517,-0.0381092683433144,-0.318159719497832,-0.484473750280742,0.158288472880529,-0.578754402216066,-0.81122958279968,-0.232134055250048,-0.803294422957251,-0.540613302001749,-0.158578369806883,-0.107778103254323,-0.271120120446034,-0.292150097327197,-0.746521842488816,-0.0648481915973714,-0.28132118997363,-0.847491804812176,-0.238169227683022,-0.118963933326091
"STAGA_Ctrl_1 (GE) - TPM",-0.466786703058424,-0.672129441765606,-0.524043323172966,-0.440225479855344,0.061960399563415,0.548480389317806,-0.342033002838665,-0.204436906707037,0.474606173734064,-0.575744280179789,-0.107600483627175,0.0924836678324059,0.56198849551752,0.176164056035805,-0.345333482444723,0.0175816322862184,0.302677860399099,1.23193393615662,0.841123196592242,-0.829104162876076,-1.6565006054453,0.305725852550546,0.153269678866069,0.0389981758410051,-0.219720753572949,-0.180532393834224,0.709891958853717,0.237339246754064,-0.0939870350481243,0.212832413351287,-0.178176279091022,-0.0537446573325084,-0.559566955072401,-0.80681557154536,0.169500873437467,-0.92896076248241,0.457123599974041,0.053504844190978,0.104463137684708,-0.087542301744638,-0.210905081881782,0.433750689610292,-0.0615052211729847,0.198847614817345,0.00136205268465376,-0.0664475259043848,-0.181709283120647,0.130583384157144,0.749715155751774,-0.26594508593853,0.498783120080367,0.116611053611527,-0.15043088260029,-0.488181859930209,0.490134210171704,-0.456605957117637,-0.266636052252774,-0.138718279462251,-0.0967662565776412,0.238936896323232,0.66115507634248,0.580668244054042,0.828691383755822,0.266377473062329,0.540809012048169,0.165022816100732,0.737346820534039,0.516624802127495,0.161394170081294,0.238438815818929,0.600581082964139,0.151754640812277,-0.47059279138915,-0.590449991757103,-0.469577792117904,0.496547103996986,0.173434890384784,0.0778342569545433,0.857886076396742,0.130070755993665,0.18061091546915,0.3206957249191,0.0527322929682949,0.625091926256633,0.647161842121597,0.264556405729012,-0.0957965850511445,0.0504840333477892,-0.0348527607400312,-0.401060221407962,-0.555519582667248,0.622639665872618,1.10092805648557,-0.152780850989098,0.0979210971415752,0.0785896185617995,-0.241309714003749,0.552162112478072,0.251929288140188,0.578225013524799,0.410201653263823,0.013036979898443,-0.220657622067292,0.282251835054153,0.744656777619099,0.779396023941907,-0.990605984216831,0.325835716303744,0.675708480231277,0.488826409902736,0.594155777467935,0.291692463173377,0.0864843331163904,-0.146880493223925,-0.621336311635343,-0.521905580500944,1.23432117323805,0.711303774654035,0.52299099026925,-0.0186876111902891,0.334156804177514,0.00930812718704633
"STAGA_Ctrl_2 (GE) - TPM",-0.456792234357541,-0.303880561173175,-0.343523500964319,-0.65680396223876,0.713283646232983,0.496273513845636,-0.271773804409148,-0.090322260355218,1.01926043270152,-0.282279765601249,0.186509746285285,0.169147991672078,-0.0274614703767365,-0.0409005782458908,-0.245381355695642,-0.136183864001869,0.314433437669079,0.902557479988544,0.357332991034529,-0.27836899984986,-1.27362811718143,0.335471537221173,0.428244804399409,0.64430872205291,-0.22602988801254,0.347349782576354,0.283316498427868,0.343328583494457,0.0324314188951572,-0.509438891696534,0.018786932250751,-0.2019147428445,-0.417738194573703,0.108655179468529,0.157648011990965,0.200862306155807,0.268218336200264,0.171202636706418,0.2461605157842,0.584811599402883,1.01628412567214,0.49303151105276,-0.234886296110809,-0.206283331029708,-0.395721226166281,-0.262152218926416,-0.00397554775117558,-0.12829326658964,-0.229289353413851,0.218202836753411,0.479270136222003,0.0137641711771912,0.116519245456484,-0.363965840366608,0.74206451497224,-0.705883673890244,-0.579996414001797,-0.167293573398045,-0.242630845971718,0.0974579373842547,0.448938313139016,0.192152056015441,0.75681198161427,0.358217654070081,0.299155927442045,0.295897231937642,0.267878437305843,0.478478536208664,0.444919271803818,0.0586192847480016,-0.160026217656641,-0.693926227047189,-0.498716813639287,-0.780639451594455,-0.842064935571396,0.813468433560242,-0.226065997808112,0.163929085069534,0.236798062148477,-0.305626963652258,0.0263023155511013,0.152938869514213,0.163768135483495,1.02329193572627,-0.108543592678696,0.661698932961977,0.0319042969366569,0.0985026784655776,-0.159274451362821,0.360415641369691,0.218323632458752,1.08354937262987,0.717996912311586,-0.18159314382894,-0.127086713922233,0.145299205687006,0.845302386680364,0.0675831072366021,-0.0495873176177566,0.30016502924395,-0.660722149444095,-0.0435176500678766,-0.00296846611039505,0.501442149746325,0.710345709064535,0.659705964152171,-0.979212297355562,-0.0211920917713827,0.392762927394346,0.0292283346878429,-0.0084768969305887,0.282874812672909,-0.725700122418855,-0.902998669732227,-0.0542495387142098,0.770603837942034,-0.00744762123572852,-0.0691634215399206,0.285385770210041,-0.4559405393027,-0.0115177894726669,-0.199284769572555
"STAGA_Ctrl_3 (GE) - TPM",-0.601839170240175,-0.595226154488211,-0.567915199076533,-0.713828467270045,0.257301309387821,0.453483041729155,-0.327503077863213,-0.194991374871756,0.475601315501862,-0.0442280906628365,-0.0547161802873931,-0.0695877121308239,0.149413514576089,-0.0260586688328164,-0.0345016699012313,-0.188666785995562,0.374294482856594,0.594647640032715,0.482126333667993,-0.759588325115575,-0.89040897346708,0.616297306418696,0.0443931588184257,0.29566709778588,0.0622329692758352,0.252431533002135,0.773356562735122,-0.223208940053446,-0.0760682615774582,0.0516392610912518,-0.0202735605124755,-0.0175345492025289,-0.902821793185509,-0.295542270999644,0.313795971277487,-0.120679142940294,0.465593066008081,-0.212495626260116,-0.215305143844634,0.362984906945267,1.34947812584533,0.313300817062118,-0.190183589254432,-0.22096112768971,-0.394847363117186,-0.47078209747275,0.325991251698867,-0.0614869038477982,0.0552554126614507,0.0575678081834337,0.590905014173884,-0.0646084598183865,0.0693020945631752,-0.200552163230421,0.589595027431099,-0.401790663303465,-0.475944071536727,-0.0777746232447651,-0.288032057471259,-0.0190407580146906,0.50242229344288,0.104049208586732,0.616344294707178,0.335353585445988,0.492133381385503,0.4384301135012,0.223723560506445,0.671213407897072,0.2746851142936,0.330409698940586,-0.0127737522260609,-0.801091086729012,0.21508718671206,-0.611445669323893,-0.540573515572644,0.555012969013473,0.163752762726612,0.336053904097538,0.252309579769859,-0.606793198180043,-0.257181714414991,0.308276910128564,0.116343830215042,0.822701236231617,0.00478638011496801,0.38578446240624,-0.436134634035573,-0.106372877821835,-0.142331127419011,0.109436547647292,0.0910897362434988,1.27602986338606,0.541535997617805,0.128303072006024,0.155036959284303,0.0267339753505146,0.707602045180913,-0.130013327458486,-0.212288000581632,0.205469499192746,-0.0726730530896726,-0.0951302394399076,-0.315268619253199,0.342479037139451,0.528500824664998,0.428503798083381,-0.948105090239708,0.153072388957445,0.167346784276791,0.0601423467094126,0.245411002118955,0.862234920045105,-0.302980562968924,0.935825606797189,1.05169117194836,0.527405710841832,0.43265411053874,0.334175691229497,0.264011087790298,-0.439057526282806,0.0646946816969704,0.334278224070723
"STAGA_Li_1 (GE) - TPM",-0.754117561202375,-0.502570950061975,-0.517167066295785,-0.528868183416952,0.657536994195816,-0.161336274099944,-0.289105005419208,-0.791666401156451,0.0394464507383598,0.767119490052695,-0.108544596317232,0.129204952972891,0.111696120989405,-0.0706668746902811,0.333626934404406,0.505416105186071,0.35549318152514,0.477876064090698,-0.21770784342372,-0.397202067913812,-0.190792142010799,0.478410298491551,0.643207299060947,1.09444932961388,0.882578888988347,1.62450862137794,0.595594172452541,1.1933928953245,-0.00657584929148949,0.616937741526896,0.383486341764619,1.19104768879018,-0.897518277780884,1.19706818917198,0.499201965017558,1.5080714913463,0.634178555765405,0.0686287366125424,0.723656653110914,-0.152029896808073,0.663098053611983,0.0890326533716395,1.10302310456421,0.65519949600688,0.691194926515303,0.825422036407619,-1.04990207359397,-0.643617863067703,-0.123298815833759,-0.0427303806427398,1.03532412209606,-0.038926530804179,-0.0868018471104803,-0.595224735131662,-0.193236211264478,-0.0547873770174255,0.519586921155373,-0.097427282256637,-0.313130107890976,-0.216976493996206,-0.0985186168576175,-0.00173081905262371,0.156013958240977,0.0374194002025169,-0.0655395122511549,-0.246862940524541,-0.318094232642449,-0.156253257141114,0.14046161580112,-0.0700525243833196,0.599950466158025,0.157878023283948,0.519103283727338,-0.617378009735686,-0.626877923402926,-0.0936322312291358,0.218328802487529,0.323706905175524,0.196465952729874,-1.4053165674094,-0.0784096583385726,-0.253521638186521,-0.0733698989800888,-0.296982921253369,-0.109131911787373,1.35440958277053,-0.0568804123722515,0.690624977946084,-0.819279623877023,0.00576006724028526,1.39603934052421,1.1098165759567,0.953096550984544,0.639129073720705,0.198568038684429,0.414087454388994,1.47698714086823,0.434923126143912,0.786672038396318,0.950294690179931,0.335312285609764,0.0867753269192922,-0.264471013992668,0.300975641668634,1.07242725384382,1.19698501167822,-0.278229163117592,1.16300489495397,0.06782811649942,0.372399278935184,0.88819506181122,1.74505906673839,0.603001636694685,0.677410463222935,-0.228860080716498,0.922918783751714,0.862784841061248,1.4953132748323,0.560421909832549,0.436576669275549,0.717478013697086,-0.354091087363444
