"","SPD_RS00025","SPD_RS00060","SPD_RS00365","SPD_RS00545","SPD_RS00780","SPD_RS00790","SPD_RS00900","SPD_RS01175","SPD_RS01560","SPD_RS02450","SPD_RS02925","SPD_RS03350","SPD_RS03360","SPD_RS03365","SPD_RS03370","SPD_RS03430","SPD_RS03435","SPD_RS03735","SPD_RS04085","SPD_RS04090","SPD_RS04095","SPD_RS04100","SPD_RS04105","SPD_RS04315","SPD_RS04760","SPD_RS04765","SPD_RS04935","SPD_RS04940","SPD_RS04945","SPD_RS04950","SPD_RS05000","SPD_RS05005","SPD_RS05015","SPD_RS05020","SPD_RS05310","SPD_RS05335","SPD_RS05470","SPD_RS05505","SPD_RS05510","SPD_RS05515","SPD_RS05595","SPD_RS05600","SPD_RS06055","SPD_RS06220","SPD_RS06225","SPD_RS06230","SPD_RS06235","SPD_RS06240","SPD_RS06245","SPD_RS06250","SPD_RS06740","SPD_RS06875","SPD_RS07065","SPD_RS07310","SPD_RS07520","SPD_RS07530","SPD_RS07785","SPD_RS08120","SPD_RS08355","SPD_RS08460","SPD_RS08505","SPD_RS08670","SPD_RS08680","SPD_RS08795","SPD_RS08800","SPD_RS08805","SPD_RS08810","SPD_RS09075","SPD_RS09100","SPD_RS09210","SPD_RS09220","SPD_RS10320","SPD_RS10340","SPD_RS10905"
"STRPN_As_1 (GE) - TPM",0.338535008313329,0.825840659087494,-0.88211196489375,-1.39997893265653,-0.237625778613193,1.67654323832142,-0.78862670027599,1.12435259533686,-0.770565245797975,0.0857839158214728,-0.507182766815038,-0.618966313972343,-0.641990606349249,-0.69434238047696,-0.632570162092734,-0.328554182469438,0.180885800278923,0.678264494459251,-0.16171624782744,-0.380662262949601,-0.466373860475859,-0.32564853239219,-0.439543619290114,-0.908206940724597,-0.494789016106718,0.103375653541335,0.118844403656989,0.0416932782019595,0.548292643522991,0.321420617888828,-0.0549978458172059,0.305546848616497,-0.907378428777093,-0.514234484634875,-0.0216446694003504,0.101091618593263,0.17162517283789,-0.576220060430203,-0.749202357037762,-0.877217717488317,-0.0319495995898159,0.198384378526358,-0.359044150613338,0.5190389293888,0.0306723234089498,-0.0358318413951,0.0432798957057041,-0.24032721897346,-0.0867663604354314,-0.0240738184853128,-0.26549944029705,-0.853526535616047,-0.297916924717135,-1.24467187776653,-0.577266051490265,-0.668604338264324,-1.28236033507987,-1.03371341129616,-0.361247676914076,-0.0493996143477124,-0.866118969464095,-0.427443696159324,-0.47815935130536,-0.724874152148689,-0.600499260890718,-0.526785946348265,-0.439156303186937,0.292937308347451,-1.24792195928628,0.0555678638606977,0.058452414187709,-1.18685230394497,-0.923009772870567,-0.886460145529176
"STRPN_As_2 (GE) - TPM",0.221519976503426,0.806720738679461,-0.864274969541643,-1.37394128614387,0.109373856206134,0.379113782349124,-0.811927179518522,1.4519950989601,-0.484070644451376,0.0946868136892069,-0.482248185068055,-0.389055800320674,-0.488914734876836,-0.446334164715617,-0.554837528199148,-0.194124171351461,-0.0378239424867758,0.488051384538191,-0.0930699677257906,-0.37138012115191,-0.455394393445722,-0.27961189690813,-0.354829016082407,-0.933774317528224,-0.577479150266238,-0.0569612954918861,0.355632543353698,0.331783356344563,1.05735459301695,0.914964750027175,-0.123084764682009,0.830423662012207,-0.807224383492277,-0.425031804173897,0.357942209936275,0.0861198015945477,0.21461538323753,-0.620514379375166,-0.661794402409442,-0.813223556485386,-0.0438401051697884,0.101582541724588,-0.199236821757013,0.724039730225857,0.590757219131064,0.390160266105947,0.300852894457547,0.204250061358458,0.67926090348156,0.654621464765454,0.0783376998424693,-0.887362974555896,-0.480259932125722,-1.2635525884342,-0.56901819484543,-0.682202946937345,-1.34064900774638,-0.910380590699318,-0.337295425152405,0.00334103900381457,-0.989756282128777,-0.408715123708793,-0.356617448911284,-0.705674947312294,-0.606331744289457,-0.530378665250428,-0.437193188251183,0.293828561439641,-1.27762910269972,-0.852549176766035,-0.35691640780651,-1.25164742607518,-0.902823365497773,-0.918044481038325
"STRPN_As_3 (GE) - TPM",-0.401532698714736,-0.388773505422836,-0.842684788867666,-1.6422201955773,-0.659548771655664,0.368439474280076,-0.800515012246298,-0.265500732137055,-1.08068766778207,-0.818246929818365,-0.568557037668457,-0.810204283418102,-0.881401736902475,-0.813434839262063,-0.777249422466889,-0.730256893830589,-0.460326403638597,-0.410534585608551,-0.217941836764496,-0.661029426748134,-0.704335192744096,-0.738185374818091,-0.756190056090852,-0.197231432785778,-0.598275158929729,-0.649096580576567,-0.858663403799639,-0.776457231647509,-0.316881466227758,-0.261501739744811,0.698409727664691,-0.6736212434943,-1.16147569561429,-1.02426971343131,-0.823299250544943,-0.561127639376247,-0.525445958178211,-0.887573240034018,-0.896995120405182,-1.01642260614379,-0.37483024157206,-0.309424627102145,-0.842701611674876,-0.357677739967731,-0.417739621743905,-0.458212897466199,-0.311263364127096,-0.608962286634907,-0.34894444094486,-0.614843755798874,-0.833172561625093,-1.1458072137012,0.152517445347131,-1.17518500876279,-0.644076464129574,-0.584022685526683,-1.13394036346674,-1.01741169513492,-0.669880420483936,-0.798435612236124,-1.41000404425278,-0.79654772141815,-0.609219771495989,-0.613794756480707,-0.534964328694733,-0.48423117344057,-0.421942235508981,-0.2352228065827,-1.23798876234233,-0.594741447475997,0.24553027619304,-1.03841263601776,-1.34301163860566,-0.921606255035251
"STRPN_Bs_1 (GE) - TPM",-0.676307305847961,-0.0393145449182345,-0.812874386553498,-0.117220265358793,-1.20226517631661,-1.09584474900142,-0.592495458647978,0.00118158269313101,-0.0453617119430434,-0.412195755926805,-0.280477367165091,-0.443908148351076,-0.548258891052357,-0.890858846254759,-0.424304009924206,0.0371374985354567,-0.374130812518706,-0.754120091141226,0.272047278182444,0.554223165434579,0.362392460022439,-0.048396827101461,0.247942592382718,-1.43319815937775,-0.300737444992887,-0.730076132012096,-0.721338483408908,-0.718848846233393,-0.537676786651803,-0.960247739688565,-1.33118998885331,-1.28153812824747,-1.03384624755805,-1.17355903148759,-0.65627722329853,-0.215005270098528,0.0278488140233691,-0.418938109498391,-0.462822217347006,-0.668956511007674,0.278173749743306,0.111468937609091,-0.0939291465445188,-0.854519959728362,-0.459909148640118,-0.68604068692313,-0.532731380704153,-0.725251657235661,-0.790010576386807,-1.29149714821629,-1.06451435746142,-0.967841602234575,-0.592712147556865,-1.27003485819689,0.294191722790695,-0.248423544115198,-1.42072970501246,-0.382465856327569,0.112999368428976,-0.973022070239766,-1.5160965275404,-0.566168979133451,-0.278220782990844,-0.686113165983525,-0.542086696965976,-0.512848058971546,-0.421480689055541,-0.48133254011285,-0.789202415424128,-0.682768210841799,-1.21525003685409,-0.981764477422716,-0.369346005736249,-0.919616646557398
"STRPN_Bs_2 (GE) - TPM",-0.338172252146419,0.229025823116438,-0.786760031202642,1.03708259196495,-0.463084233634586,-1.09584474900142,-0.610874424981424,0.486883662308634,0.0718551175795222,-0.419923557388535,-0.113711363399456,-0.204403112109485,-0.733430320387797,-0.629538831805449,-0.831596842424882,0.120396043460463,-0.154303226424898,-0.938399331439222,0.493165369667253,0.6722457011031,0.44821077604364,0.154024567991845,0.456801122758096,-0.509063521679264,-0.194171050439985,-0.62676099721883,-0.618231400981125,-0.26392386531725,-0.147596686147035,-0.397841486551117,0.716896570462232,-0.0498154496152079,-1.09322240116823,-1.16106738392526,-0.297987002274813,-0.15595537908106,-0.0208131182502084,-0.318066860159357,-0.485606252954554,-0.422796851993168,0.349898641348107,0.268997027102381,-0.0741160870367054,-0.288160466774091,0.081229485220812,-0.376838090376515,-0.372391276311188,-0.155375603316571,-0.482008530324845,-0.975933587718359,-0.984449957588425,-0.927033120626,-0.637625037867446,-1.15457326295878,0.338632697663114,0.425489463766174,-1.2325311246983,0.765390295452308,0.112277151868392,-0.957746757157811,-1.57911440266113,-0.178553782215181,-0.121037675400205,-0.693271153992045,-0.458419357875762,-0.430045463262563,-0.420783834302661,0.122387175301118,-0.524762600618458,-0.445510867772374,-1.21525003685409,-0.978048188448681,-0.495239752873242,-0.646801047758619
"STRPN_Bs_3 (GE) - TPM",-0.71326733391128,-0.0882427158724503,-0.439785916520047,0.453719834950637,-0.681020143678875,-1.09584474900142,-0.597841086862016,-0.311635820144787,-0.174142929666695,-0.410668943045893,-0.396379332647922,-0.621441800195263,-0.830188696441587,-0.821126743212201,-0.831596842424882,-0.349793443969729,-0.304479763875596,-1.47170330791485,-0.406627171692505,-0.117133031658144,-0.355526473336798,-0.536542856828741,-0.41510568626575,-0.691024145151165,0.443932204343159,-0.673718698365659,-0.710410955714498,-0.592191476454164,-0.955932108273978,-1.09392783310774,-1.11072979497851,-1.51916472609247,-1.10796784872558,-1.20186021014705,-0.691895881203564,-0.506872021061047,-0.753002400428082,-0.807762219843346,-0.648333272173276,-0.631724805532124,-0.0672178238724434,-0.294129799005279,-0.417480052375999,-0.858733495388477,-0.601362835528062,-0.30103655092027,-0.482098989138243,-0.240565146470722,-0.651784248504176,-0.825830201892202,-0.95897368120096,-0.874114108836127,-0.341266690255438,-1.0166062994805,-0.229245296646263,0.298027780046705,-1.28013209050398,1.47523166865382,-0.214641164698462,-1.24539203445718,-1.00067869975781,-0.42013262644859,-0.221135525798168,-0.23422813398435,-0.449402355551845,-0.490752548424542,-0.347229423879298,-0.304094937254156,0.247880977206057,-1.46897073374536,-1.21525003685409,0.858871432487657,-0.804655880876909,-0.240521499782439
"STRPN_Ctrl_1 (GE) - TPM",1.38024508430377,1.0592763061755,0.990922936967265,-0.712008653971643,0.467998432124163,0.425284838837423,0.217076643896305,0.787936738406195,1.04856800941094,0.700146593797473,0.206733208916416,1.41577497126372,1.75936087011588,1.65923331534665,1.4517854906439,0.962209890382811,1.79173543322623,1.5235538950793,1.21559635383384,1.02083481987749,0.819966110258734,0.761271784355837,1.13661176065635,0.777837700077911,0.307287187583566,0.831426406098142,0.579031840013762,1.39065206153522,0.510598811520491,1.13998881045795,0.878230562123792,0.743854244564621,1.20823597767168,1.03276125823111,0.575583135197459,1.08254697006739,0.753466734920685,-0.0659513702496165,0.0820360406196725,0.207684657081184,-0.2948734757529,-0.213970351559173,0.33833898091271,0.904804033772569,0.691227405883789,0.886255333189866,0.777724055958142,0.877004457433805,0.687496790669212,1.11813572556836,0.698364316483644,1.38700740904764,0.0254352815111853,0.139818162396148,0.849672825719413,-0.309991933885474,0.0779138513546215,1.2266265797557,1.16379026793159,1.12609228324746,0.926730870016576,0.209310242602899,0.806652073519314,-0.655927018091671,-0.538154222733512,-0.470380652921395,-0.389313891508305,0.558585140906122,1.03893072555721,0.438182007876245,0.850221988367719,1.65737164324529,1.71853454420011,0.136332909890622
"STRPN_Ctrl_2 (GE) - TPM",1.34217114144309,1.04388326394442,1.06786764414476,-0.179183475758303,0.82655753693546,1.48647332317237,0.234292415321744,0.72111332180441,1.17450269070167,0.56939733303516,0.230606319507488,1.30682539118988,1.75733440100215,1.69815779577241,1.57440892660487,0.960746552732701,1.78869035841549,1.3320415071743,1.17852963224736,1.04218043477659,0.822571850349472,0.848598868854565,1.14206964916881,0.871217817782803,0.25473877902898,0.63447017941665,0.698570480285777,1.50917768472823,0.43229284970673,1.12074764053137,1.12461499388417,1.27030750458889,1.2175385762926,1.32437375626919,0.941967164319481,0.918186159033526,0.774695961733256,-0.114419131849787,0.0143929904105858,0.312777761597064,-0.306269799652141,-0.21793820402543,0.477883626479864,0.864105103547871,0.713449117542005,0.824313905364719,0.566274278409957,1.06788256537416,0.533467290902491,0.973943709734707,0.759697513304863,1.37148575358632,0.00921030917635345,0.117875621417355,0.851730086118699,-0.211610710716736,0.125228401792496,1.19395354789318,1.10513538102057,0.864775041547274,0.917819675503569,0.253974404366068,0.866519076818971,-0.661652717380902,-0.548155958511369,-0.469604668513069,-0.377688705148576,0.753926205633726,1.04695750271992,-0.575827759590128,-0.282510126613912,1.50316025355119,2.00488401662568,0.0667958805587036
"STRPN_Ctrl_3 (GE) - TPM",1.35573019846587,1.07256083053144,1.02097268446184,-0.463165495715461,0.785871118713529,-0.134118503498924,0.182085238136741,0.833728588247953,1.32453197736306,0.713291888355932,0.23744069395424,1.22150835151479,1.73598785486496,1.46937621211667,0.703279781931607,0.966886022267448,1.93434209978545,1.24525746730633,1.38205311729918,1.04899001347165,0.829181251465194,0.723995566244035,1.05570317455244,0.971936071076163,0.404545534356147,0.595449743585068,0.683584789479077,1.33567471546212,0.561228420834606,1.46398083999006,1.07605260421598,1.70877188156699,1.17658120898657,1.14483546528055,0.686401618526298,1.03297333862535,0.749902996098817,-0.0835898047711903,0.0543559364914475,0.110262917449136,-0.309528611641239,-0.208458821614151,0.452517579915074,0.810757802596826,0.613841838822247,0.745574278007146,0.571591861119536,1.1301424809684,0.632898073897689,0.775643920446443,0.811473861320753,1.3670746113993,-0.0092195275031218,0.142751786228165,0.846796549818328,-0.217976581313846,0.107817670789742,1.15550829001708,1.12583800936249,0.897108246227222,0.929641715372746,0.148328559474628,0.766266385529653,-0.655886928854639,-0.549527021599971,-0.454351836601435,-0.384162950763613,0.700336592571935,1.07098408416573,-0.148346470923236,-0.255825122329185,1.84653771301652,1.84917893047058,0.0694809393312068
"STRPN_Li_1 (GE) - TPM",0.197170511949822,0.568467088035049,0.622543658259488,1.23653437707283,-0.148162061133199,-0.539723084919077,2.00826781102264,-0.201235346128725,0.873765072600156,1.59855195803709,0.0429669595646912,0.204671604480485,-0.183458155602082,0.0511996956858193,-0.0730529684947681,0.0519288524691319,-0.268474309261909,1.12187520783615,0.995010383280117,1.4087565417655,1.85790453705826,1.36703312223024,1.10594726722191,0.796089687122707,1.50561818615313,1.07754155480773,0.609484256253536,0.460408085255427,0.138476183655658,0.407774049887228,0.287699358371138,0.219451152583843,0.370063804427601,0.0328756630038889,1.60744016305158,1.73640662550807,1.87196960273937,0.0544740342173245,-0.214445811241192,-0.462337447757537,-0.259022243238494,-0.241877850126898,0.872715510426903,-0.287747143671165,-0.0347159656890379,-0.183168606514505,-0.0522978155836296,0.309490265922358,0.0318273167071017,-0.224334641485022,1.84069516489377,1.13571472080057,1.95491498684059,1.01137480501984,0.0306486015573439,1.73396900166879,1.43977836740872,0.152567092736908,-0.0873303156730437,0.186482549749472,1.32629439563174,1.67009733982907,1.98727568312079,1.50147622383074,1.83963751416699,1.07365183154656,0.510186555875572,0.892917097971664,1.40542787487827,0.157948006219952,-0.4870869659557,-0.0697888925974474,0.577999519820307,1.34298327048411
