"","ECP_RS24295","ECP_RS00880","ECP_RS01095","ECP_RS24360","ECP_RS01440","ECP_RS01445","ECP_RS01520","ECP_RS01525","ECP_RS01530","ECP_RS01535","ECP_RS01540","ECP_RS02290","ECP_RS02735","ECP_RS03065","ECP_RS03070","ECP_RS03075","ECP_RS03080","ECP_RS03085","ECP_RS03090","ECP_RS03105","ECP_RS03110","ECP_RS03115","ECP_RS03120","ECP_RS03125","ECP_RS03130","ECP_RS03135","ECP_RS03855","ECP_RS04775","ECP_RS05560","ECP_RS05595","ECP_RS26165","ECP_RS05925","ECP_RS06060","ECP_RS06065","ECP_RS06070","ECP_RS06180","ECP_RS06900","ECP_RS06905","ECP_RS06910","ECP_RS06915","ECP_RS07405","ECP_RS08435","ECP_RS24890","ECP_RS09945","ECP_RS10005","ECP_RS10130","ECP_RS10200","ECP_RS10575","ECP_RS11180","ECP_RS12190","ECP_RS13495","ECP_RS13500","ECP_RS13505","ECP_RS13510","ECP_RS15750","ECP_RS15900","ECP_RS15905","ECP_RS16125","ECP_RS18340","ECP_RS18350","ECP_RS18355","ECP_RS18360","ECP_RS18365","ECP_RS18370","ECP_RS18375","ECP_RS19190","ECP_RS19545","ECP_RS19740","ECP_RS19770","ECP_RS19940","ECP_RS19945","ECP_RS19950","ECP_RS19955","ECP_RS20175","ECP_RS21615","ECP_RS22350"
"UPEC_As_1 (GE) - TPM",-0.322505730875965,-0.613999207929815,-1.39998134522024,-0.133751721362016,1.23066287158159,1.31185246400897,-0.523408463400431,-0.443936715356608,-0.633314131415746,-0.317622692955391,-0.4869792851614,-0.67995796600709,-0.812360395955513,-0.390466769651156,-0.45132609762982,-0.631374155625601,-0.519897299982171,0.353550893557718,-0.164303141431477,-0.110103749652095,-0.137026131722297,-0.344765169511693,-0.413728565235692,-0.518258789117073,-0.303991550045189,-0.468244487687443,-0.39000190670118,-0.427449884680552,-0.391075658562251,-0.652330189769223,-0.725306790016691,-0.018749926843286,-0.274387309774159,-0.530579990010848,-0.531110009132482,0.0289829231891624,-0.88178070440888,-0.631229078243683,-0.755656299239554,0.113700908646283,0.839632743190159,-0.118408721350821,-0.0717771124419338,-0.56859011964048,1.3799160516322,-1.50173389682257,-0.570077845387787,-0.0459374759801437,-0.235862352111282,-1.27691159743602,-0.484440946724951,-0.330020009680787,-0.476447658566103,-0.507917329050234,0.653708224474224,1.30156785068088,1.14410025854457,-0.232663171738644,-0.428868304926286,-0.418599840818839,-0.29352342341108,-0.488674641274003,-0.381382805666796,-0.255961037900935,-0.439821332219333,-0.146659775947244,-0.691545761449663,0.132102416946695,-0.580708948572465,0.386461946820288,0.240908069730577,-0.102708929350475,-0.318666058348941,0.596339503303074,-0.855790849050914,0.806562178386919
"UPEC_As_2 (GE) - TPM",0.115150329305602,-0.601850886350799,-0.122580356203131,-0.694622758917216,1.22862985911637,1.17989738752537,-0.100449685873095,-0.154810657838533,-0.502446537534432,-0.179600894966247,-0.461175549355396,-0.443955351142932,-0.493804092801745,-0.244099172822717,-0.178618516982794,-0.613125830568571,-0.459835936212941,0.211352925874075,0.792510953955947,0.451559559388761,-0.12348311586335,-0.292057204879466,-0.394200509894372,-0.380143294879546,-0.287780403305915,-0.256652244718434,0.125395212994482,-0.357835456242723,-0.248092972135394,-0.589023229716658,-0.659096399210549,0.0582796811366406,-0.215261020432856,-0.431856374221024,-0.517274815331071,0.119924419124268,-0.659202309358911,-0.429952945769602,-0.629006407177196,-0.665404297490461,1.40394583940994,0.776341810890319,0.918069269106488,-0.439181836784488,2.14606108774973,-1.08197718501125,-0.377676658898688,0.0260581585981472,-0.196669624877045,-0.927629372236486,-0.354932418076992,0.201331376248397,-0.287471705658643,-0.0283136243064674,0.496498776022026,1.61086964361235,1.63098810168044,-0.198881114787011,-0.408319736695306,-0.168904292399652,-0.181536781573188,-0.421611773636764,-0.253953765805322,-0.145983288637408,-0.18933432024859,0.172919129568035,-0.486296736164823,0.126467293009865,-0.307484667948303,-0.115115019666092,0.58837088651547,-0.0286894683224216,-0.281750140614318,0.487863164713602,-0.470699376267394,0.802494660980574
"UPEC_As_3 (GE) - TPM",-0.443167153709315,-0.437098655030608,-0.592773626491254,-0.486184135010692,0.493250236837819,1.10882375534447,-0.198741462148467,0.275881027535631,-0.619001003701797,-0.212090553641074,-0.450551621478858,-0.0451046435756765,-0.711333381462433,-0.112679074670624,0.0113428322183803,-0.509014788080037,-0.499500754015846,0.0632753625880428,0.0262728326256212,-0.0641132154781789,-0.0370042282849605,-0.366432761596935,-0.381598246972357,-0.410122951673908,-0.242084139007716,-0.494975155203674,-0.250146958072343,0.690024251535575,-0.260814685082415,-0.634211521339309,-0.657222155434738,0.125792682939138,-0.121892749793809,-0.534299818970693,-0.519256834563002,-0.0263589905100255,-0.793535998714367,-0.314352781882456,-0.592518773770935,-0.24909399653901,0.307548180590986,0.792919564984208,-0.269217431870676,-0.388305315014202,-0.00361405264283422,-1.26916877717017,-0.273186483623807,0.700553554271229,-0.26432888244156,-0.767110125952686,-0.349549853407433,0.12757175501033,-0.397469528300655,-0.34012162799346,1.2931888007723,1.24517504176529,0.892451760227239,-0.336580267117849,-0.418194125181882,0.255090699692413,-0.00711856745984405,-0.402575649631136,-0.372453498146588,0.201273946335918,-0.554945478707786,1.33134642902435,1.06664089016522,1.07527658368012,-0.257287621123456,0.751356324211802,0.132976409515674,0.0392551679090415,-0.250183509688809,1.22239435944823,-0.814445603378292,0.772970864806192
"UPEC_Bs_1 (GE) - TPM",-0.311080350988352,0.119436466494502,0.626860410510769,-0.739600649412368,-0.53170878663505,-0.669763912217613,-0.673389472451496,0.00635811891883579,-0.584204684906178,-0.350360539882349,-0.474247143081046,0.04223563753715,-0.481297223443951,-0.49533814731592,-0.697741074858754,-0.637438877506452,-0.50256524117121,-0.341813894855759,-0.523125624033612,-0.64156836246462,-0.689095412735105,-0.417950380223425,-0.430135022685053,-0.421703595625165,-0.629254425657756,-0.509170591949775,-0.676072718783227,-0.266528763622538,-0.519646501363688,-0.502293151164782,-0.469171576849405,-0.359326923005971,-0.466850420328473,-0.553705810848009,-0.576594117200547,-0.092759729047987,-0.481405600536709,-0.318208890546835,-0.330622410778947,0.409677017343643,-0.841170282310783,-0.576097592603051,-0.269217431870676,-0.614282116099676,-0.134675191870672,0.812122967910889,-0.628608944699691,0.526775694156905,-0.362935621707859,-0.170775428054665,-0.355054580614358,-0.450816576310677,-0.397645201956237,-0.463360616085337,0.177715450939151,-0.631634897010497,-0.132602314182675,-0.675653207750764,-0.454092509079709,-0.553482731646148,-0.374970251942623,-0.300971185201177,-0.251077119830839,-0.2729894277271,-0.567481229685634,0.503698475102877,0.0889961157697367,-0.49155857125055,0.308899018242659,-0.049170073487819,-0.348369722739409,-0.0858152825933995,-0.384277936712147,-0.62217766044497,-0.1766749599778,-0.0787349961741429
"UPEC_Bs_2 (GE) - TPM",0.441912560696622,-0.128634978121249,0.969886159751213,-0.684202366217153,-0.597592744786382,-0.826468951086513,-0.689224981968969,-0.129957480216002,-0.510703976604532,-0.238470604964905,-0.479365908914908,-0.0617008755613965,-0.146816504082273,-0.450978688198858,-0.728459251596784,-0.637438877506452,-0.520509108517723,-0.261635085796749,-0.700396496367032,-0.60334435565811,-0.702068562031672,-0.464297226954731,-0.460564043405211,-0.56619193587472,-0.602936043436443,-0.362283674461178,-0.685517865883093,0.304620249299024,-0.54836615860745,-0.305127827642899,0.00509544851702818,-0.495800783004594,-0.600463898896348,-0.602219301099777,-0.59848775658839,-0.209605459366195,-0.34774115626286,-0.619021057357145,-0.569852304286926,-0.162053434722996,-0.88856297130723,-0.885119312885924,-0.269217431870676,-0.656807636489864,-0.197757593740315,1.00117749785935,-0.657190421570693,-0.14046582729227,-0.388061145418006,0.172893620635805,-0.468887311532435,-0.540797336297856,-0.444652685466055,-0.520858792097433,-0.187462795678383,-0.106455564153726,-0.179028909501806,-0.811044585508603,-0.475159856696541,-0.617539172384555,-0.449512777583408,-0.306123781585774,-0.247177801613905,-0.210224325050573,-0.719205152001688,-0.187123368375111,-0.924163841266549,-0.516414460629555,-0.101364278034787,0.187155705879991,-0.100246013780511,-0.240396898688076,-0.324406569810276,-0.640884755609773,-1.09648728973492,-0.692368061229689
"UPEC_Bs_3 (GE) - TPM",-0.465646367299559,-0.023527187740096,0.321696487589273,-0.739600649412368,-0.594218570199641,-0.806213937924243,-0.617733435814524,-0.280151553717286,-0.686286243516718,-0.34146546729894,-0.479359729126663,-0.524136167554101,-0.400700931692279,-0.512125981962589,-0.687756304320959,-0.602420036416133,-0.553766983468398,-0.864832660001412,-0.796915726605704,-0.602840513103183,-0.724868847059313,-0.486014369578116,-0.453037501427382,-0.523910426721313,-0.598475559983003,-0.468006518284739,-0.613448253119537,-0.647108961697026,-0.530114564238606,-0.540401576252456,-0.545164819999257,-0.45026963686319,-0.655367157295939,-0.537572977818718,-0.601154271773305,-0.223384802373438,-0.366117843404334,-0.536523752084695,-0.415937425701718,-0.472056025049947,-0.884849450046076,-1.07920738280901,-0.269217431870676,-0.648127423185395,-0.397583558361596,0.692229110890951,-0.621561035455808,-0.0397643801885487,-0.405874265544246,0.268229969184675,-0.493249561646099,-0.54498761925205,-0.465133208540343,-0.567732146716389,-0.407329894873293,-0.44002395727911,-0.497797269079843,-0.837210815498587,-0.483784315520953,-0.582013610881002,-0.489654683976677,-0.325032056272235,-0.349337914458704,-0.318507573495287,-0.617447400440782,0.110374382895229,-0.525869919927595,-0.502607914902104,-0.0106503454463839,-0.342024759321748,0.000406645372725418,-0.283864103196869,-0.389903382734979,-0.701147293436569,0.0549000848163318,-0.329977438470132
"UPEC_Ctrl_1 (GE) - TPM",1.70892451301446,0.0762510048994448,0.839123279246959,-0.546949928976463,-0.456380306645124,-0.666148594599967,-0.667231827344951,-0.278571631664709,-0.125310414309206,-0.310740215337911,-0.45196420773962,0.263183429086881,0.1650046664213,-0.41937211481011,-0.639635143101205,-0.606197354465081,-0.402086163966552,-0.183936179923288,-0.414041466808267,-0.604720507893308,-0.676356348426766,-0.44496202047803,-0.381389287449398,-0.467428786603559,-0.506351109522516,-0.30766649942761,-0.560430574324172,0.362811182342247,-0.535556192925024,-0.498455445974055,-0.36547500523244,-0.560111635645192,-0.625511126755106,-0.557871494189473,-0.579978179338609,-0.0487853443584703,-0.470146900853959,-0.590412192487823,-0.47579698732238,-0.401845743886659,-0.810837249555948,-0.939239904143625,-0.269217431870676,-0.531982335716424,0.0820549487968526,0.495357618739024,-0.646189702848605,-0.117621500284273,-0.342013656935134,0.69231564194444,-0.300626475211987,-0.487189105781358,-0.340182534781355,-0.359838991133413,-0.107274139769746,-0.366679125561843,-0.448570285867539,-0.155762958720119,-0.47336804107166,-0.562458750668966,-0.397807079810288,-0.239422769366142,-0.243287069192597,-0.390586885491072,-0.400200340118475,0.595356337784366,0.494460086172622,-0.503214151142595,-0.646731094738903,-0.25146184911741,-0.0604513892773442,-0.35851027661754,-0.417418129947407,-0.644112547336708,-0.18756442754463,-0.485287398582802
"UPEC_Ctrl_2 (GE) - TPM",-0.193537263131333,-0.028340190042776,0.951065434123978,-0.739600649412368,-0.582963048368876,-0.800030719926067,-0.831217978716971,-0.148023338709491,-0.549288167563801,-0.440314964287975,-0.513552682411585,0.163853295760696,0.189669556015864,-0.390700258471268,-0.71948534266966,-0.557295260273972,-0.410456110195501,-0.777980227098482,-0.699717554622954,-0.571800047796436,-0.582804142281889,-0.517638893744067,-0.437047456171662,-0.431889211960402,-0.715940875031358,-0.672019347735204,-0.335140851655387,-0.140451783356989,-0.594382534808109,-0.491022268111674,-0.821253269530264,-0.43672082979472,-0.547206901189813,-0.580874572685461,-0.609129694553734,-0.191937264160016,-0.0805648169972896,-0.635072958045203,-0.729397408506931,0.221333367484988,-0.797478548606666,-0.0196763124393346,-0.269217431870676,-0.547703299114506,-0.591903019761975,-0.288271905804994,-0.735127021688109,-0.770852757702187,-0.34032588805655,-0.495059493359614,-0.445372613445222,-0.511385165710799,-0.430852399856129,-0.534689523371818,-0.447569615066144,-0.662361534170908,-0.722159675910849,-0.352995801440071,-0.491343209641721,-0.627755211524249,-0.488198469475652,-0.241177593435287,-0.400145363152697,-0.699976205380488,-0.227050608226895,-0.648375440748598,-1.48111843898167,-0.508164431360588,0.106246794582234,-0.508652388237771,0.589446877251821,0.0422443405244329,-0.39476559746096,-0.746907561014846,-0.119531234139221,-0.604067195161272
"UPEC_Ctrl_3 (GE) - TPM",0.388319768226021,-0.179763163321749,0.445607384997488,-0.739600649412368,-0.586446197654588,-0.795992740151043,-0.824339316836938,-0.473033932419016,-0.203604618079247,-0.42371401723411,-0.479433224171259,-1.0269687639681,0.0360026582913968,-0.452668074536046,-0.754998096907495,-0.412108563625071,-0.555533800475241,-1.09758653676247,-0.635702943092839,-0.686132520167584,-0.729561575422217,-0.559333392615184,-0.47770246976731,-0.526933861423478,0.0938832743003082,-0.627612502264199,-0.671624446086209,-0.678870446992538,-0.618514067594311,-0.299510001450502,-0.385900381897114,-0.517726647280705,-0.727225504807915,-0.633018469451947,-0.601694617752388,-0.161690875443528,0.0277555592065456,-0.627275785098707,-0.690678481868723,-0.19709525710649,-0.892158426190274,0.321514569502474,-0.269217431870676,-0.622273116056705,-0.951410236014249,-0.34073766658256,-0.705592013328945,-0.498546219207231,-0.396995397591886,-0.0923232975165784,-0.476134516359729,-0.611157669649327,-0.466619600367907,-0.531038485775737,-0.225458105683113,-0.531133288005681,-0.438785429628069,-0.64744260201545,-0.485565991899914,-0.62906562614352,-0.5225324180342,-0.381644225778992,-0.407682121196921,-0.519527020367908,-0.611129287841011,-0.289671025426553,0.314962972764932,-0.497214250541301,-0.673646188329249,-0.235609546488921,-0.563677901974294,-0.594217710474613,-0.493259817761713,-0.711308555277518,-0.496846125634213,-0.479292877716013
"UPEC_Li_1 (GE) - TPM",2.11238166992916,1.79617980288403,2.90023446805652,1.99583750499498,3.82685062274316,3.37707171345575,1.76497764344938,1.25158179476549,1.39838516853598,2.99280751776322,2.61695567428427,3.72653155882643,3.62882707597059,3.06266224274629,3.02027781662313,2.31987350349907,3.70586829764,0.58720264730401,1.54572052504292,2.57029428376848,3.07740285660057,2.81057429408108,2.83048875142549,2.71535281141942,3.62399324746233,2.21327564569441,1.69348613721846,3.30790473405906,2.70204061231173,1.43899031918226,1.06318454627867,1.98602017176378,2.44038683061525,2.23950532066267,1.9414807775483,0.171647011893906,2.25492272657943,2.25773327488144,1.97584844391112,1.10788989770965,2.54774969246146,0.813271930639741,5.46155120419744,2.48474483511742,2.30710752713304,1.02403398801287,3.11611273641115,1.49194807585133,2.31203636055652,2.33071720421334,3.71289797979549,2.85836233263067,3.02734863799357,2.54774091819455,1.25893740280208,2.91620679383474,2.12712959193125,3.00817606597602,1.64943370427419,2.98414833708582,2.99194135490724,2.34764886739212,3.12149664776785,2.34442265226661,2.56442888422834,2.08699406382688,1.39995131897676,5.19496894634848,4.24228822100008,3.5440165124321,3.63792147237468,2.84069092629858,3.30520056833705,0.842706391972431,-0.247738883622375,3.10027327021391
