"","ECP_RS00190","ECP_RS00370","ECP_RS00740","ECP_RS01615","ECP_RS24385","ECP_RS01770","ECP_RS02230","ECP_RS24500","ECP_RS03475","ECP_RS03935","ECP_RS03970","ECP_RS05115","ECP_RS05335","ECP_RS07085","ECP_RS11530","ECP_RS12160","ECP_RS12300","ECP_RS12465","ECP_RS15645","ECP_RS15660","ECP_RS15840","ECP_RS16300","ECP_RS16470","ECP_RS19550","ECP_RS21650","ECP_RS25825","ECP_RS22145","ECP_RS22165","ECP_RS22915","ECP_RS23765"
"UPEC_As_1 (GE) - TPM",-0.219882298132478,0.0510150767004915,0.026498084013297,-0.348307448488552,1.23356283261314,-0.223405326823829,-0.191246033554738,0.698768959798067,0.0455494575876361,0.131700646835545,-0.691964830505332,-0.294010766006826,0.0787791484968425,-0.00891830895333617,-0.0477267362242356,0.108758085712767,1.02287209842821,-0.0260836872641449,-0.0187520993589031,0.152101823655742,0.707401000578426,-0.161533590919991,0.131545498093684,0.065405795767542,-0.354214880485995,-0.220696721656358,-0.644147908359761,0.187434280217037,1.16329253206788,-0.267970259473669
"UPEC_As_2 (GE) - TPM",-0.217695812836523,0.367566758011345,0.180503947330186,-0.122591590289455,-0.280413481943207,-0.0154072193444846,0.202651362107894,0.974010012018308,0.0465506215533205,-0.124705555350542,0.707549380064421,-0.294010766006826,0.192486882419092,0.0310718902959837,0.456107256335255,0.479303166718427,0.706965134237367,0.508059196671866,-0.106725174593301,0.00762268500543836,0.787699247304385,-0.22412081262042,0.713178071753477,-0.56594780685608,-0.511941548278683,-0.502751621058798,-0.128485210529277,-0.0084516447576722,0.74849778571626,-0.267970259473669
"UPEC_As_3 (GE) - TPM",-0.705469092229375,1.06279015208492,-0.0270559805379683,0.763081298930341,0.788231452989624,0.745660541999425,-0.420840113648592,-0.479907779531452,-0.244622734660371,-0.0779886258949421,0.904753181138369,-0.0401278980912889,0.400728300645884,-0.325093399051197,0.56341356044982,0.708182854653017,-0.570895445901754,0.085605747773717,0.515783613095099,0.358330139433248,1.21843945422359,-0.187921347912867,0.60073159785193,0.0706849395608017,1.26936826842909,0.283287539769189,0.731334078343782,-0.0517047783048891,0.203705796789896,0.00446189754562685
"UPEC_Bs_1 (GE) - TPM",0.98675111557315,-0.107103547907971,-0.560242276599911,0.136669203302979,-0.280413481943207,-0.117928194270798,0.50002432699731,-0.222339398223516,-0.0844074323353364,-0.440797494024044,-0.186097140471601,-0.294010766006826,-0.703208322177273,-0.592824575608369,-0.345759498618218,-0.156356774375101,0.334620623920397,-0.30607720811781,-0.305595788291037,-0.309488814184005,-0.314309370077775,-0.00188837542471675,0.135853496988161,-0.0535045220883632,-0.0638710853888753,-0.424003305504008,-0.171115180517385,-0.352070432403409,0.549427305172672,-0.267970259473669
"UPEC_Bs_2 (GE) - TPM",0.00970763692956185,-0.181955006388776,-0.883318559961233,-0.225753256874077,-0.280413481943207,-0.864076337689022,-0.187533872192897,0.191626739469122,-0.402888352750523,-0.402270312192181,0.301801362163885,-0.294010766006826,-0.703208322177273,-0.71528817179926,-0.0185936060829991,0.101110067043885,0.216061006007793,-0.432817905568461,0.546513836726314,-0.183471706192007,-0.328853565764386,-0.628643291902723,-0.434593145617593,0.547424342929406,-0.122537148723337,-0.0715859530420987,0.0505170569979614,-0.0827757971326961,0.961705816244048,-0.267970259473669
"UPEC_Bs_3 (GE) - TPM",0.551119484098204,-0.244771951166314,-0.299601686236521,-0.2961103702795,-0.280413481943207,-0.377588922994553,-0.275798876288793,0.567153829206566,-0.402888352750523,-0.351537786854479,-0.847081623465325,-0.294010766006826,-0.0581594287447322,-0.442562000199781,0.00235506468677808,-0.505162080652472,-0.570895445901754,-0.314159236138994,0.203782694650122,-0.162114115878038,-0.313013423720397,-0.372857151873334,-0.20744628567137,-0.392349994442989,0.702382914652241,-0.570669268391045,0.582678840708716,-0.280518748255612,-0.00347614300297376,-0.267970259473669
"UPEC_Ctrl_1 (GE) - TPM",-0.358404500436819,-0.34522028412897,-0.492753004627281,-0.229891213520027,-0.280413481943207,-0.321789258877688,0.235204015093567,-0.168534450581528,-0.402888352750523,-0.177500847531232,1.55010242873408,0.0147976319370377,-0.127737825708112,-0.22031840479833,-0.549321050557607,-0.294327449450664,-0.570895445901754,-0.296963865722288,-0.545024918805658,-0.473670700107794,-0.598175569416013,-0.0962481296513888,0.560605334780185,-0.56594780685608,-0.511941548278683,-0.529807810757808,-0.239245069961941,-0.151355302036706,-0.398115387416555,-0.267970259473669
"UPEC_Ctrl_2 (GE) - TPM",1.11182750922835,-0.612426023147274,-0.883318559961233,-0.871087327425214,-0.280413481943207,-0.35397303368462,-0.795397124728858,-0.479907779531452,-0.402888352750523,-0.49299250786559,0.177831069437809,-0.294010766006826,0.034916498837598,-0.557536685004935,-0.549321050557607,-0.505162080652472,-0.570895445901754,-0.557852161483087,1.36961987165492,-0.724558994719206,-0.890849127607679,1.67216366560638,0.0852562535034713,-0.56594780685608,-0.511941548278683,0.138029531198677,0.79678018063957,-0.246320581116047,0.375887313892772,-0.267970259473669
"UPEC_Ctrl_3 (GE) - TPM",0.28595930998177,-0.227364084199517,-0.883318559961233,-0.0782912155374423,-0.280413481943207,-0.296085906499296,-0.922186349278481,-0.479907779531452,-0.402888352750523,-0.49299250786559,0.799561575955279,-0.294010766006826,-0.703208322177273,-0.809395978744821,-0.549321050557607,-0.505162080652472,-0.570895445901754,-0.154638499441982,0.185451389077277,-0.530679871642654,-0.805771361416995,-0.865714281284138,-0.4821077447554,-0.56594780685608,0.325232621084814,-0.69148893501127,-0.219149968413945,-0.173147489719412,0.777221570193618,0.756323942587683
"UPEC_Li_1 (GE) - TPM",0.425115923407974,-0.15249000111865,-0.883318559961233,-0.871087327425214,-0.280413481943207,-0.691369037824945,-0.307329383802985,-0.479907779531452,-0.402888352750523,-0.49299250786559,-0.847081623465325,-0.294010766006826,1.24228630277194,-0.809395978744821,-0.549321050557607,-0.505162080652472,-0.570895445901754,-0.263856911636667,0.0361484566814994,-0.512514314822424,-0.480152433157763,-0.679904549333323,-0.386508407322874,-0.56594780685608,-0.511941548278683,-0.69148893501127,-0.155252724693757,-0.68591922644,-0.808519396337109,-0.267970259473669
"UPEC_Li_2 (GE) - TPM",-0.723877862317221,-0.0268232750582463,0.147106080203421,-0.363589213989112,-0.280413481943207,-0.330798520140156,-0.511872694485559,-0.0178181388943808,0.16848121306948,-0.305711948864868,-0.05652371330303,-0.294010766006826,0.0559202943311277,-0.226587242748073,-0.184122170531218,-0.505162080652472,-0.0293828145844548,-0.0416282050281439,-0.549957694503218,-0.352231402237204,-0.776111266987548,-0.702583354796646,-0.522710967022551,-0.412723297342448,0.0239646010257297,-0.42488802130733,0.626818232548573,-0.577618738569174,-0.402482819114165,-0.267970259473669
"UPEC_Li_3 (GE) - TPM",-0.100095809748497,-0.132818090732615,-0.645062613360761,-0.284365898690753,-0.280413481943207,0.251842781991071,0.215512649896388,-0.479907779531452,-0.402888352750523,-0.49299250786559,-0.847081623465325,-0.294010766006826,-0.703208322177273,-0.689611362991021,-0.549321050557607,-0.119316959701264,-0.570895445901754,-0.319128391506262,-0.86717101605148,-0.609772320570377,-0.664273934467545,-0.765129436777372,-0.596303018965253,-0.56594780685608,-0.511941548278683,-0.592858913052554,-0.497357217179143,-0.509432072152455,-0.245213986571049,-0.267970259473669
