"","ECP_RS02045","ECP_RS02220","ECP_RS02880","ECP_RS03550","ECP_RS24705","ECP_RS26280","ECP_RS09995","ECP_RS10440","ECP_RS14025","ECP_RS15350","ECP_RS25445","ECP_RS16170","ECP_RS25460","ECP_RS17115","ECP_RS17725","ECP_RS19125","ECP_RS19555","ECP_RS20515","ECP_RS25805","ECP_RS21660","ECP_RS21785","ECP_RS22035","ECP_RS26610","ECP_RS23125","ECP_RS23780"
"UPEC_As_1 (GE) - TPM",-0.593197988636021,-0.195487426592594,0.308767266557979,0.294406741687376,-0.2813796154706,0.236551467290605,0.43732506865069,0.0747690496246506,0.308185600183643,-0.0561540734820197,-0.363462744230515,0.501325901069217,-0.0525886740732544,-0.286070281515189,-0.344920581803699,0.00833151636277082,0.201607710678821,-0.401068456904901,-0.36050159759898,1.09506368200338,0.486252381075669,0.268696087863745,-0.214554496378076,-0.672042917823936,1.0457839790533
"UPEC_As_2 (GE) - TPM",-0.344384162672968,-0.658381016823401,-0.388212489331972,0.873854091705389,0.503053065202936,0.488771041550014,1.03110072804591,1.15533170744313,0.585586856562698,-0.12453458364497,-0.363462744230515,1.43777182276889,-0.0521245525310388,-0.286070281515189,1.12072366344297,-0.155035409266644,-0.140741220859829,-0.256185681376226,-0.36050159759898,0.61673055856038,0.927337740231698,0.271624407354781,-0.214554496378076,-0.263078489653363,0.532313799501296
"UPEC_As_3 (GE) - TPM",-0.215227067935752,-0.0587950111604185,0.363432304216269,0.905741333536119,0.930054746776161,-0.160501521332814,1.26918849080077,1.63673759907064,0.861762982681528,0.655547407799194,-0.363462744230515,2.00628521601421,-0.260476322978179,-0.286070281515189,1.44201475811618,0.169778602884515,-0.293450385778301,0.528120431240445,-0.36050159759898,1.2263691589569,1.14524450961658,2.14601329103361,0.224179549393871,-0.584388612326684,1.80586168840556
"UPEC_Bs_1 (GE) - TPM",0.141210088459123,0.464317460843803,-0.456109743715906,-0.103927822338475,-0.542081133526545,-0.513409922277356,0.529682380555667,0.631350498372592,0.288412598090163,-0.229441664907968,-0.363462744230515,-0.358040592109373,-0.260476322978179,-0.286070281515189,0.913992119777581,-0.214428782060058,-0.169233491506175,-0.0724452523045896,-0.36050159759898,0.599926579061238,0.125732328707991,0.509602997965853,-0.214554496378076,0.286508685301494,0.538339161592667
"UPEC_Bs_2 (GE) - TPM",1.04818004192762,0.067743592084213,0.526784849937327,-0.0895515050409905,-0.542081133526545,-0.513409922277356,-0.686020237377731,0.243019029494003,-0.202936880965251,-0.134809229416322,-0.363462744230515,0.491100393276508,-0.260476322978179,-0.286070281515189,-0.300601590948024,-0.150352389259367,-0.657140427133139,-0.196706229670471,-0.36050159759898,-0.308753051897464,0.771673965693183,-0.503237092816566,-0.214554496378076,-0.17863456195643,0.0947569445002698
"UPEC_Bs_3 (GE) - TPM",-0.373945287380733,0.000609245149899259,0.0500169953273215,-0.195025933659878,-0.0403013205161649,0.93006262984172,0.270671559100107,-0.297588795166881,0.615237241116166,0.386058630975372,-0.363462744230515,0.108147852882268,-0.260476322978179,0.0593218758313956,0.175072019409436,-0.231952640175014,-0.161283153536068,-0.286629500902129,-0.36050159759898,0.47436664912784,0.215957755981075,0.219331865436472,-0.214554496378076,0.0849435469136557,-0.524468270395237
"UPEC_Ctrl_1 (GE) - TPM",-0.238714630283125,0.272554763555244,-0.421616575154843,-0.461762915625396,-0.542081133526545,-0.513409922277356,0.0349008360450745,0.589447671287811,-0.409016206723,-0.465220185959797,-0.363462744230515,-0.684308474158489,0.274975005150255,-0.286070281515189,0.099719905410313,-0.288947289198528,1.11234547820464,-0.693701742497579,0.611069878752328,0.0538927817510451,-0.427263863544561,0.20830052473653,-0.214554496378076,0.279246302089711,0.531413415523604
"UPEC_Ctrl_2 (GE) - TPM",0.953816503471058,0.116393940275139,0.146873288932411,0.102176508407965,-0.542081133526545,-0.513409922277356,-0.392940667979736,-0.642935525541798,0.93158105449591,-0.825516151670303,-0.363462744230515,-0.121049933788043,-0.260476322978179,-0.286070281515189,0.094972021726972,-0.760339852797961,-0.0897345066428781,-1.02150627563162,-0.36050159759898,0.0945101721679866,0.327795462867956,-0.561474470410433,-0.214554496378076,-0.901919110021848,1.11277883920449
"UPEC_Ctrl_3 (GE) - TPM",-0.103622937972099,-0.767748486386188,-0.621231166009023,1.16881106471623,-0.542081133526545,-0.513409922277356,-0.820607202757563,-0.642935525541798,-0.637233207708,-0.454281264162828,-0.363462744230515,0.0837042916088058,-0.260476322978179,-0.286070281515189,-0.523146327453928,0.113928214744615,-0.20133813949198,-1.02150627563162,-0.36050159759898,-0.539868218411393,0.430303686208395,-0.269404866425787,-0.214554496378076,-0.270698643484591,-0.678977031966083
"UPEC_Li_1 (GE) - TPM",-0.370129567188051,-0.690670246707221,-0.621231166009023,-1.00603588656639,-0.542081133526545,-0.513409922277356,-0.977000788073992,-0.642935525541798,-0.0840501182181781,-0.0134804710554842,-0.363462744230515,0.0587489056148595,-0.260476322978179,-0.286070281515189,0.601271365906432,0.195842997115623,1.83540360089547,0.0867033733704929,-0.36050159759898,1.127547757376,-1.11438419374275,-0.619937084631026,-0.214554496378076,-0.956280632309864,-1.02194572700251
"UPEC_Li_2 (GE) - TPM",-0.142776445951226,-0.976021210427082,-0.226250495577598,-0.773226502861631,-0.0991898050445421,0.760657826041497,-0.876887469729183,-0.642935525541798,-0.103548028720189,0.00622798491527541,-0.363462744230515,-0.132530352338986,-0.260476322978179,0.0187869236901994,-0.577526832857474,-0.29396374807065,-0.21947657349316,1.32978550120172,-0.36050159759898,-0.424261468715198,-0.619978272033785,-0.0526012821516209,0.313417158726299,-0.889179609091651,-0.363304887098053
"UPEC_Li_3 (GE) - TPM",0.271689022214481,-0.453944013032708,-0.255919663352087,-0.855931175190993,-0.542081133526545,-0.513409922277356,-0.977000788073992,0.484746963785133,0.125303655348172,-0.605725503790298,1.37267051305428,-0.848585616899277,-0.260476322978179,-0.286070281515189,-1.08061944786347,-0.156458204963769,-0.657140427133139,1.37813326971339,-0.36050159759898,-0.552603224010819,-0.771432910464609,0.101997186188567,-0.214554496378076,-0.0720638885824421,-0.615834587511451
"UPEC_Mig_1 (GE) - TPM",-0.158687678203632,-0.0371814031699355,-0.621231166009023,-0.750135819242754,-0.542081133526545,-0.513409922277356,0.794689087542278,-0.642935525541798,-0.879741879182101,0.225858638150947,-0.363462744230515,-0.155703031556288,-0.260476322978179,-0.286070281515189,-1.24465241035742,1.30300655522409,-0.657140427133139,-1.02150627563162,-0.36050159759898,-0.593678023333821,-0.567545133761055,-1.0429464942456,-0.214554496378076,-0.331081621709721,-1.02194572700251
