"","ECP_RS01295","ECP_RS24370","ECP_RS01910","ECP_RS02825","ECP_RS05105","ECP_RS05775","ECP_RS05875","ECP_RS05895","ECP_RS05965","ECP_RS05985","ECP_RS06935","ECP_RS24730","ECP_RS26230","ECP_RS08320","ECP_RS24840","ECP_RS24910","ECP_RS09965","ECP_RS26320","ECP_RS12575","ECP_RS26365","ECP_RS13195","ECP_RS13840","ECP_RS15515","ECP_RS15760","ECP_RS15955","ECP_RS25455","ECP_RS16505","ECP_RS25545","ECP_RS18460","ECP_RS20915","ECP_RS20920","ECP_RS26010","ECP_RS26045","ECP_RS23670"
"UPEC_As_1 (GE) - TPM",0.578018134752802,-0.408884518757106,-0.131079348484558,-0.432776801408382,-0.4268104980196,-0.558603213178468,-0.335144742229162,-0.229935316059989,-0.585777824633617,-0.480213855983807,0.519302679083919,-0.242546471588369,-0.104476050127621,-0.533289537623137,-0.423300784352638,-0.422190456574872,-0.24328790217166,-0.415752552286987,0.0340565311837022,-0.478134593669964,-0.222320911319974,-0.166666666666667,1.25782323798946,-0.0564247796702178,-0.101559948749319,-0.33770259625046,-0.301418633335594,0.00871605467257605,0.291212674136294,-0.0492753399381872,-0.358886492773114,1.04049620456173,-0.319755595200153,-0.248058286805492
"UPEC_As_2 (GE) - TPM",-0.041911429257293,-0.285908727230116,0.37394426373246,-0.401880386353183,-0.505350177048227,-0.486094263790379,-0.486479495741744,-0.266072714060542,0.018786804383641,-0.595269201572795,-0.24776581394774,-0.242546471588369,0.172862476017455,-0.153350547947158,0.0157832968114919,-0.449837630719218,-0.136074522931402,0.686517364913925,0.925381953560553,-0.437779928267659,-0.298863761077338,-0.166666666666667,0.601967180937821,-0.0554273464256259,0.399835703908081,-0.448113495733053,-0.00320503570801719,0.0102799394826162,0.388941790040467,-0.340314301356018,-0.286709708421217,-0.04759889604595,-0.34475357278884,0.176377392152219
"UPEC_As_3 (GE) - TPM",0.477526398019138,-0.149056055471356,0.583946393070651,-0.431000123515552,0.183818794633218,-0.725314320896535,0.0476210586202665,-0.338833754638854,-0.303824162227418,-0.562784330765626,1.12343293225629,-0.242546471588369,-0.226164245010021,0.00696189236693165,0.504414667304127,-0.387889754304044,-0.174103647108354,-0.385570331775053,-0.383545612112227,0.407640228704065,0.372783457137598,-0.166666666666667,0.0224395821422156,0.12751191940088,0.196239721376553,-0.292245735705482,0.0818968669911907,0.692666344882363,0.708714443843454,-0.484614497086044,-0.196953446077827,1.05324513475985,-0.218540043808759,0.40311977050791
"UPEC_Bs_1 (GE) - TPM",-0.398424949589813,-0.234598595465248,-0.83434421141143,-0.257219353927338,-0.710484271711504,-0.725189226750671,-0.486479495741744,-0.287273911129713,-0.572432344407592,-0.529899276837232,-0.551074913133458,-0.242546471588369,-0.518174821779921,-0.451994342321215,-0.423300784352638,-0.387165305729775,-0.17354578061047,-0.489062633170237,-0.538203639137592,0.750213739306322,-0.0599774138041452,-0.166666666666667,-0.841302840403386,-0.185897414050382,-0.244089235128113,-0.134457830714873,-0.122475299282521,0.104207779181092,-0.344592893196542,-0.689965788590324,-0.0917610236245982,-0.484198525079851,-0.325313673525069,-0.550569383357751
"UPEC_Bs_2 (GE) - TPM",-0.317042721088022,-0.408884518757106,-0.586307133917499,-0.158144608368781,-0.823047382852528,-0.39044968560827,-0.486479495741744,-0.338833754638854,-0.225658346121968,-0.481647178141532,-0.430542748404017,-0.242546471588369,-0.00749351386812395,-0.290851471403931,-0.423300784352638,-0.299814898140456,-0.21187585832992,-0.12707859558683,1.61131166736318,1.03607405037584,-0.417807643573387,-0.166666666666667,-0.210677252369764,0.599811238193685,-0.461453425509141,-0.448113495733053,-0.0406383490973211,0.172930387233865,0.486748863124251,-0.828277853226817,1.79455085191767,-0.484198525079851,-0.14635249345213,-0.253322264773082
"UPEC_Bs_3 (GE) - TPM",-0.508678187665322,-0.408884518757106,-0.2542323317974,-0.119442921014623,-0.365458171797515,-0.60717600273238,-0.486479495741744,-0.338833754638854,-0.434223204560207,-0.418108899037115,-0.410114755454019,-0.242546471588369,-0.3854651405159,-0.313202342592588,-0.00168310431460586,-0.452051992179146,-0.264673285003325,0.216447616213536,0.427643715561068,1.80632757924349,-0.60848368498532,-0.166666666666667,-0.726925497008111,-0.0732390372436611,-0.510884501743347,-0.448113495733053,-0.181175669664958,-0.691773644731042,-0.403185306673364,-0.359725087849399,-0.178969733206663,-0.484198525079851,-0.554797573315841,0.305343501045866
"UPEC_Ctrl_1 (GE) - TPM",-0.108824164826513,-0.408884518757106,-0.316806277484945,-0.384647421589095,-0.686970312576682,-0.424487763682588,-0.486479495741744,-0.214172800317205,-0.45399483000777,-0.279167497251016,-0.828094861983076,-0.242546471588369,-0.399779911031544,-0.636149381206241,-0.423300784352638,-0.457817607636785,-0.154509629562248,0.014465502687197,-0.0914531665437485,-0.477357182732895,-0.475866301743771,-0.166666666666667,-0.423060480706125,-0.119616000755411,-0.374263106807893,-0.258524990863079,-0.300439911548286,-0.571491321769344,-0.292269479644844,-0.744675417432489,-0.145685183321632,-0.484198525079851,0.052022391539061,-0.670607234526697
"UPEC_Ctrl_2 (GE) - TPM",-0.508678187665322,-0.408884518757106,-0.170526349084764,-0.244133413551832,0.224184719935034,-0.650568769623035,0.513443896678272,-0.338833754638854,-0.617522413849539,-0.44322675410612,-0.948079004747035,-0.242546471588369,-0.062598613391298,-0.842891973113333,-0.423300784352638,-0.505503983792381,0.0179286170478555,0.964095936780381,0.612475671972538,0.605972212880642,-0.60848368498532,-0.166666666666667,-0.285941925510463,-0.503191585493988,-0.741503496030897,-0.448113495733053,0.0847700945928201,-0.691773644731042,0.493432302823919,-0.828277853226817,0.405158952743229,0.954974180684992,-0.48395772645174,-0.670607234526697
"UPEC_Ctrl_3 (GE) - TPM",-0.508678187665322,-0.408884518757106,-0.83434421141143,-0.484143733962193,0.859454581415557,-0.745623360644191,-0.486479495741744,0.0465035771568907,-0.617522413849539,-0.228857998474253,-0.948079004747035,-0.242546471588369,0.213762122711393,-0.386421637335414,-0.423300784352638,-0.505503983792381,-0.264673285003325,-0.489062633170237,-0.853306709009371,-0.324278224001352,-0.60848368498532,-0.166666666666667,-0.658258568384436,-0.503191585493988,-0.218600957152527,0.137920270499951,0.416383292115187,0.795436834518432,-0.868291365532288,-0.0530117016783632,-0.99429175170075,1.8280022736253,-0.653675249320797,-0.670607234526697
"UPEC_Li_1 (GE) - TPM",-0.508678187665322,-0.408884518757106,-0.83434421141143,-0.204735452637581,-0.363011273067118,-0.662110748360993,0.392028461231257,-0.338833754638854,-0.433243035929023,-0.595269201572795,-0.542448297209102,-0.242546471588369,-0.518174821779921,-0.743044083705366,-0.423300784352638,-0.505503983792381,-0.140529764808668,-0.489062633170237,-0.853306709009371,-0.94873229034604,-0.60848368498532,-0.166666666666667,-0.088153780727818,-0.503191585493988,-0.305662364845784,-0.448113495733053,-0.0340619603344597,-0.691773644731042,-0.64009173023056,-0.263007904408969,-0.174609905015777,-0.484198525079851,-0.653675249320797,-0.670607234526697
