"","VC0158","VC0278","VC0651","VC0652","VC0654","VC0655","VC0791","VC0826","VC0827","VC1115","VC1555","VC1731","VC1973","VC2101","VC2145","VC2160","VC2175","VC2484","VC2614","VC2656","VC2689","VCA0180","VCA0205","VCA0274","VCA0400","VCA0526","VCA0540","VCA0621","VCA0665","VCA0693","VCA0718","VCA0724","VCA0741","VCA0751","VCA0784"
"Vibrio_As_1 (GE) - TPM",-0.44306892784924,-0.786390786128184,-0.34388521667698,0.451101483696026,-0.126529601861132,-0.459529214617809,-0.496779682143809,-0.740254409611915,-0.684169363007948,0.148222925114105,-0.337178225672482,-0.249230689133804,-0.290971889934057,-0.441282696326027,-0.725005173460952,-0.262353363734751,-0.498045097732301,-0.0222892565201041,-0.243097204809189,-0.611679796071533,-0.614474216701829,-0.0384415161313549,-0.440885487111616,-0.798515718139708,-0.690006508917004,-0.448741905592823,-0.60111142498492,-0.319581101020543,-0.132591227238058,-0.688816791302924,-0.202563150347756,-0.718414641592725,-0.000768844991764862,-0.266734191707346,-0.421244792400825
"Vibrio_As_2 (GE) - TPM",-0.578555452691607,-0.856506301823246,-0.923399139652113,-0.924957746573392,-1.04812243137363,-1.5553147040359,-0.631836975970518,-0.790961562491897,-0.700484804089878,-0.713617585422472,0.398208054131526,-0.6680109344428,-1.14563902165203,-0.477477903616402,-0.935799630636975,-1.10455466763465,-0.0360271078364925,-0.829861946702423,-0.836399025437153,-0.769333386894622,-0.917065747456155,-0.589676963295544,-0.942569192291287,-0.783674060373675,-0.794182866296493,-0.423184081238932,-0.599290329342942,-0.881120930959802,-0.908581049090805,0.355556128632204,-1.13669924794382,-1.22275511836613,-0.742920361135137,-0.376470239781035,-0.950254557874604
"Vibrio_As_3 (GE) - TPM",-0.0601992101427676,-0.687184267375403,-0.781816363047186,-0.675951292050407,-0.848888989290625,-1.16357854344842,-0.682207295906917,-0.683562423567736,-0.600060953031018,-0.609056512676074,-0.147733862779705,-0.584645247196638,-0.897072052078676,-0.615708730393233,-0.842162097295846,-0.493956206388915,-0.269996373587933,-0.360528580835665,-0.826975540246677,-0.744109110237386,-1.00769496517867,-0.73438582365467,-0.870322267124212,-0.718744761603992,-0.465538287118553,-0.560122707523117,-0.600638324420456,-0.574260608951542,-0.747052927760917,0.00747446752101667,-0.665279515767643,-0.946276143837357,-0.705643487605534,-0.441530391664458,-0.810139168196761
"Vibrio_Bs_1 (GE) - TPM",0.94806501272483,0.443455382772431,0.221423458341461,0.290590087780624,0.0430758042330422,0.759778218584712,-0.246899445710734,-0.47664509984661,-0.447145206919619,-0.139019451044616,-0.375186201270741,-0.432859882456006,-0.108289784055824,-0.021838197310116,-0.249964353001158,-0.497603304988694,0.71736695780752,-0.277545015701697,-0.589296494103653,-0.268736259992673,-0.564650608384285,-0.245815896279446,0.0157739315929596,-0.581400200125067,-0.794182866296493,0.0313707517606119,-0.55806771000137,0.0199243679043438,-0.102793482601844,1.65348787163223,0.0930281040380962,0.300811472689576,-0.695875912461875,-0.0289571278133161,-0.357947039537923
"Vibrio_Bs_2 (GE) - TPM",0.891070059517299,0.106101794005607,-0.85241575225766,-0.558198206181605,-0.62773382799657,-0.79492069053046,-0.71972474946993,-0.585577947204807,-0.640207706346728,-0.589795376481526,-0.351178930272243,-0.510291420798173,-0.77194242187918,0.333054109580221,-0.686301026603302,-0.79993058705294,0.0694428889594902,-0.695790866948718,-0.896552338974215,-0.626639421418384,-1.05828799019168,-0.698996071356911,-0.852420394778875,-0.824747722113493,-0.794182866296493,-0.0480794491264207,-0.571776184382939,-0.21042519415349,-0.685359152759996,1.57869526499921,-0.828346803554273,-0.253046421456851,-0.734476803750805,-0.991797917488004,-0.602446980909476
"Vibrio_Bs_3 (GE) - TPM",0.271005985806726,-0.12542279233111,-0.543858211774993,-0.435302031456367,-0.536286386633988,-0.317666941841941,-0.527452124544441,-0.717422224058599,-0.665457652464836,-0.417177283886593,-0.60174562262773,-0.489007808993439,-0.512641696321273,-0.487062826324092,-0.846892863323169,-0.383963551845833,0.210086394109735,-0.398785745648501,-0.696135771165905,-0.53594243825006,-0.950611794114209,-0.637939950893836,-0.55988945298355,-0.772412211921136,-0.794182866296493,-0.0928993774106361,-0.565891948018577,-0.346780182706225,-0.521426654343815,0.720084007831058,-0.462270098455163,-0.363628061162807,-0.613431805982388,-0.167480490452703,-0.696828205593833
"Vibrio_Ctrl_1 (GE) - TPM",1.15992932921541,1.90478998279267,1.27525686229982,1.29442177765204,2.36129879475843,1.07671754873068,3.1146847425444,1.15028494771763,1.63808128516203,1.04984591952455,0.647882924282113,1.40638192923532,0.64656862694954,1.01878343000421,1.49685600864976,0.819135706670586,1.72588525332159,-0.0595887001920227,1.61547507284167,2.55545578035147,2.23523953800507,2.29698024226585,1.2263563441548,2.22932026572815,2.35348544696989,1.20549523754009,1.02943647505932,0.69216483552061,1.69549795632416,1.95427851676668,1.02841036243839,1.23678804526341,0.626521134995693,2.03465633824215,1.68387928928834
"Vibrio_Ctrl_2 (GE) - TPM",0.580325059144736,1.44765581057628,1.83798561263077,2.27475472771188,1.53722172831031,1.04200435601474,2.43619169140131,0.277116192042474,1.20974673227557,2.47392353665508,1.27041264160479,3.72650944805486,1.60893922395956,-0.376033033256438,2.24673174781494,0.52566035368501,1.58569632952722,1.83254290443741,2.66067332474189,2.02184492985026,2.08770739403317,2.67130111002382,2.25369735939779,1.44385195773957,0.809754763758195,0.137988685038737,0.781329678965493,0.795251952608961,2.58612018006397,2.13094922344472,3.79077926278982,2.03617498058276,2.19456282164321,2.32628705379487,2.74426512269656
"Vibrio_Ctrl_3 (GE) - TPM",0.223248613801212,2.03770739994699,1.60985773807752,2.60317851252499,2.08937621200484,2.1136366391308,1.96996680489783,0.25073918742677,1.41598199466237,2.44706421906543,1.78543055221674,2.42898793754605,1.57342268252934,0.531093573774185,2.76522537017752,1.5686267142091,1.54579298218638,1.16259287457413,2.92869362025161,2.26521469385199,2.8534850963826,2.25192979552647,1.95274325093416,0.957122247455909,-0.794182866296493,0.961619277547043,0.707615873707227,1.87667723914416,2.58443098335215,0.174012964660546,1.86512277111903,0.215177905524983,3.64186452258569,0.650205911814906,2.34858920482275
"Vibrio_Li_1 (GE) - TPM",1.04542351262921,0.695655713572096,-0.867901220871592,-0.82446355460906,-1.01596307856826,0.406284556108546,-0.603279727151388,0.60009288913797,0.109827231775685,-0.637255956416859,-0.579383824775111,-0.649243968162008,-0.951584715072919,-0.549759256395433,-0.661852700370483,0.302904474937954,-0.501646207800223,-0.853680439569889,-0.589443348233455,-0.786869674320336,0.426160942922416,-0.798222568232831,-0.854810455836578,0.119728408580934,0.815209153420253,-0.1972507497619,-0.594972998236372,-1.3339154747475,-0.758181487623954,-0.0360866099823326,-1.1195914370337,-0.646825127669946,0.15030003114018,0.220626095692506,-0.857979267850028
