"","VC0018","VC0031","VC0040","VC0082","VC0139","VC0212","VC0220","VC0232","VC0252","VC0255","VC0265","VC0426","VC0428","VC0606","VC0684","VC0761","VC0765","VC0905","VC1010","VC1026","VC1034","VC1068","VC1075","VC1076","VC1080","VC1191","VC1231","VC1254","VC1261","VC1560","VC1637","VC1646","VC1719","VC1766","VC1802","VC1841","VC1857","VC1886","VC1922","VC1975","VC2032","VC2042","VC2055","VC2081","VC2082","VC2146","VC2149","VC2245","VC2251","VC2287","VC2323","VC2330","VC2332","VC2349","VC2350","VC2379","VC2381","VC2387","VC2459","VC2466","VC2542","VC2638","VC2667","VC2724","VC2760","VCA0052","VCA0053","VCA0183","VCA0246","VCA0247","VCA0339","VCA0362","VCA0446","VCA0506","VCA0543","VCA0546","VCA0547","VCA0635","VCA0636","VCA0637","VCA0743","VCA0874","VCA0924","VCA0999","VCA1022","VCA1032","VCA1099","VCA1115"
"Vibrio_As_1 (GE) - TPM",-0.450795872779999,-0.488631678972429,-0.558758348778731,-0.606834237606987,-0.477344016772806,0.0533306666475323,-0.364467922879418,0.96758099749864,0.394765740674765,-0.215691558186743,-0.163329717408389,-0.482125882964371,-0.391627855585916,-0.499013277869927,0.0504222712705683,-0.464338375063448,-0.453592059800521,-0.185506630699401,0.262750912425022,-0.761307312950983,-0.577603359165904,0.322734013764723,-0.439336251592584,-0.534082596344101,-0.542121039328979,-0.525378392784429,-0.354563536569665,-0.109575188133568,-1.19960433600067,-0.474778313743731,-0.764978139395046,-0.421594099016838,-0.546053750092072,0.434761741441099,-0.305955646459201,-0.268262378191412,-0.0929049034309566,-0.563549628764071,-0.72233556961316,0.161114707087471,-0.620150182697225,-0.725321091767392,0.417768432842576,-0.0596055006974131,-0.206172769731445,-0.890194411379074,-0.281931938395678,-0.873498189863641,0.270040251347422,-0.474155865525941,-0.424669941954421,-0.327621067296065,-0.603024567987444,-0.860437164876072,-0.758524822409491,0.670709862101841,0.0348375280501191,0.472687409264653,0.55802755093381,-0.614129724072874,-0.295103008275563,-0.524684444922638,-0.635040211129746,-1.05281748889554,-0.449918826175017,-0.373486811981876,-0.419164967451093,-0.327917166966552,-0.543741480019251,-0.573281775426298,-0.17647145859054,-0.441520562309333,-0.693804038112253,-0.688747832806771,-0.553962951457994,-0.433829675092383,-0.542452361445169,-0.455002848153812,-0.422771451270735,-0.527690257253207,-0.508958983512077,-0.215923728947039,0.177280479862878,0.395513680988872,1.28416206912982,-0.356345454003098,-0.426226608325912,-0.397865162930682
"Vibrio_As_2 (GE) - TPM",-0.43385691278138,-0.282957197354744,-0.665126615392859,-0.683898380635134,-0.47904125829047,0.56774489128739,-0.509441370488442,0.695806193563445,0.407552027456152,-0.0147419994532901,0.0484293576963742,-0.46611897938949,-0.606998838876705,-0.499013277869927,0.709229533153915,-0.339044484377546,-0.425815792431228,-0.369450065047653,-0.110476840982369,-0.482575212849459,-0.45216321781365,-0.448337458705471,-0.422216865292884,-0.494784547399936,-0.545775059630744,-0.542359707731027,-0.369702068094625,-0.232787717372584,-0.782086752398625,-0.476018685374022,-1.10023138030866,-0.421594099016838,-0.62143061207778,-0.0754002927745674,-0.454181158824167,-0.978528816048929,-0.470567855639701,-0.917705327707826,0.281184173595252,-0.844781772471168,-1.03040594846778,-0.565299732307176,0.023359860385346,-0.292886462189657,-0.0724072719361873,-0.56891471478664,-0.633561899237803,-0.730039923211029,-0.288018804676668,-0.460018802491618,-0.495479159081185,-0.311474697326189,-0.707054553654756,-0.0857177023791889,0.113310921748618,-0.0683366602580567,-0.0528527441954983,0.0329650643185817,0.709511793232554,-0.658230311743863,-1.23371687116226,-0.520777453193366,-0.623595695083888,-1.12502157650672,-0.0413024307447514,0.26568237667685,0.264811169022967,-0.331944775820897,-0.509604608590821,-0.538844703087672,-0.30614205365309,-0.172042577085984,-0.723217899542986,0.867286232356453,-0.0971235239268886,-0.351853524870357,-0.61058044910155,-0.506644342512052,-0.480666188171287,-0.537258294385251,2.38165614829203,-0.215923728947039,0.230476210094455,-0.351422301385535,0.833675632657849,-0.657923801548996,-0.385814277058651,-0.82491148881524
"Vibrio_As_3 (GE) - TPM",-0.45339674376728,-0.318146326357814,-0.54237403202721,-0.382690307873621,-0.480460589961785,0.538723773662938,-0.245347618804403,0.592331482241772,-0.364237649229127,-0.0208321957024461,-0.100508254388336,-0.456155280157739,-0.527932235348239,-0.45013037318859,0.160351829475719,-0.379371080516148,-0.450542407665417,-0.327332017389476,0.883601571535539,-0.577553047269966,-0.582646305188305,-0.763840198976191,-0.431048786918431,-0.552652312684769,-0.533761536501954,-0.549651760982967,-0.392108465919447,0.311258484654039,-1.04323794318729,-0.474859844361435,-0.438060549208694,-0.401844835139251,-0.438238471114797,0.244956917810487,-0.454181158824167,-0.290730104029121,0.255983060811819,-0.439817061830794,-0.183217062738352,-0.489506267729023,-0.790204444122774,-0.555171718705821,-0.636893190448327,-0.0429706716444894,-0.182185855506606,-0.826113167685232,-0.698182733380037,-0.453703828712813,0.117234371339199,-0.4539988307996,-0.459887928931026,-0.324716813702204,-0.675417393286814,0.257161586251507,0.168329462626295,0.236467744641602,-0.496749571270616,-0.146273587396476,0.2490100851247,-0.687917160620504,-0.770261250106387,-0.540047463986467,-0.621631580745808,-0.41886315966501,-0.478928596272469,-0.30233007705306,0.316477563737794,-0.329175351102028,-0.580697718002562,-0.58360366307147,-0.292766721921486,-0.353461357369751,-0.777879356091038,0.581962021474309,-0.444636557035831,-0.409721302254061,-0.586985897181078,-0.196085020347703,-0.478132747587237,-0.513498931483919,0.531529316741836,-0.15219859946325,0.2925483044913,-0.495072934980152,0.964589076954595,-0.440111186828392,-0.462212712041075,-0.619920380378094
"Vibrio_Bs_1 (GE) - TPM",-0.348120908407962,-0.107472895209819,-0.376863629369257,-0.1553405759159,-0.455651702817493,1.40026493595901,1.66634144929672,1.43071172422922,-0.272540405195459,-0.960233193879408,1.47879397815393,-0.473426373721384,-0.434453538218551,-0.450948655687663,2.8944645754878,2.36418459242119,-0.336767665729656,-0.630086456459491,-0.443484491251185,1.70286308983493,-0.360679431867625,-0.855232227350177,-0.422740266590109,-0.446191856622256,-0.503471779358817,-0.446462700250146,-0.0104234398375704,0.79475959965089,0.260122536562406,-0.422871096181283,0.108485929323562,-0.421594099016838,-0.540746852261804,0.825900357326158,-0.440558087910674,0.218573637428398,0.099152946930813,1.75262392571181,-0.00338472592780872,1.82019628258372,-0.104047863323786,-0.0781960047664922,1.14406394848756,0.198287605060643,0.0973002763724897,0.493799153145545,-0.614063593422057,1.1912458763562,0.922385569784356,-0.35820777150528,-0.312454388064255,-0.307508627629787,-0.467834987689232,0.00627926992495898,-0.0238063468340418,1.03264977456643,0.861671927900191,-0.415930241545697,1.26610654451233,0.0820920494348193,1.00385851602883,-0.362933558290863,-0.589798164946645,1.01027907941671,0.757921633455589,-0.735172685826642,-0.655881607216566,-0.318953342365938,-0.497630396360146,-0.541772933024796,-0.225568584523799,-0.352386920013181,-0.656314778523465,-0.238126887118637,0.0827165311788223,-0.228878210857879,-0.658089378413605,-0.0189160076248555,-0.292817081172655,-0.306443419078121,-0.681023667908397,-0.188354035848966,1.6916971020186,1.06244215526298,1.69882143731583,-0.340472804200374,-0.268904557627298,0.410994005941276
"Vibrio_Bs_2 (GE) - TPM",-0.378276601451036,-0.00512021592302493,-0.463392575972145,-0.249962677841625,-0.474643989688327,0.372750553233713,0.179040960291354,1.44721314042211,0.105449960737872,-0.913752823682601,0.398840177336513,-0.458945592555888,-0.538847279440897,-0.45704014471091,0.430849042763943,0.826632267277318,-0.43812988062433,-0.774356068696428,-0.878531691370931,0.806621447251983,-0.364625203314639,-1.0507667974047,-0.443191131970127,-0.51437690180332,-0.527533245556088,-0.484397931384939,-0.0962699537888776,-0.277065238688434,0.117887570254177,-0.440277849773898,0.528971977501392,-0.348918518087761,-0.497435737443309,0.583741466286269,-0.275732975005611,-0.564621139418624,0.197859516368277,0.633281484891425,0.114835286066108,1.28748625516032,-0.0400804765976025,-0.419717322099143,0.625357059180425,-0.266421455562129,-0.294165995078826,0.157564572670477,-0.555044351600659,1.16169708467963,-0.0473512564276643,-0.324913833791967,-0.400419101409681,-0.309898644878143,-0.650868221145792,1.15397478423485,0.948949839094147,0.402520609644089,0.652477651760018,-0.754266631591119,0.720423504923863,-0.342549056490572,-0.0503235404981541,-0.453043048186787,-0.636618781211654,0.323237067780972,0.097779560567066,-0.117581504629893,0.510826988170925,-0.316324770572914,-0.499177757413265,-0.694206836511892,-0.388175532122361,-0.33303479827124,-0.764361693721151,-0.991548902505434,0.0834463279365663,-0.355279085566072,-0.679601768147764,-0.261347912614591,-0.440223315462857,-0.447660771733122,0.547125312976479,-0.172149843376401,0.785176069093543,1.03585754493132,-0.166670225820456,-0.454443401739861,-0.244295955400854,-0.382797255766015
"Vibrio_Bs_3 (GE) - TPM",-0.400935909155664,-0.272421559883917,-0.471452538799285,-0.114596317440748,-0.470305960522653,0.441519519796474,0.793074286917247,0.327997376152945,-0.185852076429713,-0.741529655395588,0.492493469177106,-0.458079989528332,-0.501014584594355,-0.432163683929848,0.736813983004511,1.4928029454718,-0.399460649403969,-0.919356884263926,-0.711607400308834,0.985571441417012,-0.488098201962583,-0.272243362518351,-0.437333470305141,-0.536255203576611,-0.512935681028204,-0.460265424061112,-0.138066156294859,0.453188343686174,0.374627223927473,-0.456376867988942,-0.376538544305744,-0.380741637877928,-0.608262216901963,1.06513448325683,-0.454181158824167,0.0242937215819181,-0.264986103900901,1.07791329307413,-0.484897246500923,0.767609747532838,0.00242598501224151,-0.103951070402846,1.35798499904815,-0.218414040358672,-0.246901130641725,0.0893378412926612,-0.525794563397807,1.05446518350505,0.581209708649662,-0.418567899722316,-0.380388980776281,-0.290302689615507,-0.636503806269349,0.170974282892278,-0.106377661134067,1.2592514325986,0.404387230230467,-0.741142515440926,1.97669899495643,-0.353154831530398,0.511362004115516,-0.475964450353174,-0.604777788401467,0.69269149026433,0.0453773615520336,-0.645890091644191,-0.556049394181047,-0.324537615220793,-0.522976380034194,-0.550506792852824,-0.388175532122361,-0.169078050379545,-0.660653264334077,-0.817667931542376,-0.249590607600919,-0.379726699106149,-0.598016918743866,0.0116100962209814,-0.387164165427761,-0.456001633969831,-0.493319996847128,-0.215923728947039,1.27677288475036,0.360757730717709,0.289819968901378,-0.702154526655012,-0.41687626821941,-0.318879349054265
"Vibrio_Ctrl_1 (GE) - TPM",-0.456165748068201,-0.536529796645611,-0.435597831789087,-0.637400932879444,-0.462577072254947,0.451291507106129,-0.892932881552414,2.2480320271097,1.48766929927767,1.01852929252559,-0.40642556392347,-0.439235568786783,0.174836784967954,-0.339689888179845,-0.657333854276985,0.515539211159607,-0.28552593290834,-0.798499853917504,1.34501656224156,-0.452571645260962,-0.0987473437796335,-0.250626527344333,-0.397196701615714,-0.486363597498439,-0.430673294701219,-0.463253471360968,-0.221719862133916,0.00509139578946979,-0.30170651861493,-0.354777410459949,-0.581335422436693,-0.266722499709075,-0.699826322530626,1.66904570531492,-0.0679664710535119,0.431292793532796,0.161043585879834,0.00930965141280423,-0.278758124172821,-0.0883723619734992,-0.300353130408069,-0.644246227160267,0.0181599243724436,-0.582779307893303,-0.190823492977035,-0.289472187362998,0.0810802626257075,0.604627793391219,1.29455519931071,-0.450516759046815,-0.178033239114004,-0.27290176925222,-0.391504172963306,-0.454012772528289,-0.391918857986365,-0.0568472517438001,0.189143041286466,0.74612129400259,0.290711393351464,-0.339982111030565,0.0117099353490543,-0.46177824479466,-0.451021118928948,0.653589330449386,-0.771841372946524,-0.647307438985627,-0.818432901657229,-0.278975545323936,-0.401554645996171,-0.708464814968524,-0.306342731109029,-0.47353787023256,-0.193692429546428,0.0337493457484947,-0.17091809565084,-0.0838936131817612,0.0881112406240688,-0.469855386866685,-0.181829307420073,-0.129129944863255,-0.503910985567853,-0.183129236518208,-1.72940583481457,-0.353696523704392,-0.304365385119828,-0.0639142901970984,-0.341673283892009,-0.523877380160972
"Vibrio_Ctrl_2 (GE) - TPM",-0.452781796349198,-0.414725360701133,-0.515711414344971,-0.701040385608752,-0.455560011222458,0.249324452352592,-0.556434832078288,1.62965210236156,0.120780214374341,-0.570816114775475,-0.172174830593134,-0.471602664337613,0.336750408896281,-0.499013277869927,-0.107480313200272,0.699197956065971,-0.286103319031942,-0.553120765955142,-0.270030026567754,-0.0133641722264155,0.170017815532301,0.146900914946328,-0.409668072842028,-0.223217283094125,-0.390539957401955,-0.575262434827616,0.061040550971397,0.572323308360343,-0.247642984258434,-0.312133443956085,-0.787089545292352,-0.421594099016838,-0.498120152877334,0.726299320116622,-0.454181158824167,0.577766031293379,1.98577756888249,0.649817939004064,-0.876772922793439,1.57856247346636,-0.798878203222015,-0.505747997425304,0.198936989462157,-0.0736380848053491,-0.423491993596894,0.078264079020859,0.345254333846315,1.35322355649287,0.888482400264063,-0.670911611524989,-0.146727414366739,-0.276431315190232,-0.00526177291456833,0.633306441331689,0.0249213753415736,-0.582531912850044,1.64638400348105,-0.130523098915999,1.45957936744748,-0.157317210213416,0.627950113003014,-0.49694061950333,-0.463387347080239,2.75002795146633,-0.89182718751308,0.122637805698289,-0.714006109942462,-0.279306124445772,-0.390001518460835,-0.771843355548254,-0.388175532122361,0.154540955448326,-0.546668019659556,0.711286453606288,-0.228478459885078,-0.112700191738608,-0.108942129462771,-0.426649516833813,-0.443630157072851,-0.249305669715737,-0.0201494881231813,-0.215923728947039,-1.29224203250834,-0.836631864399777,0.417086839584836,-0.446272740448569,0.0939391270242575,-0.382791877565201
"Vibrio_Ctrl_3 (GE) - TPM",-0.455171886962965,-0.358596410489353,-0.423749075874517,-0.474988786089683,-0.456294749949404,0.39747486639516,0.358572466651739,1.30867981454653,-0.76225597111742,-0.445429854563815,-0.0799725710154221,-0.439400947623143,0.621964725218283,-0.396262213134137,-0.084658219276322,0.725435922025381,-0.0994243508541076,-0.871984126546219,0.898213636863739,-0.0585109952332571,0.0378024095640334,-0.40289222735536,-0.410511990747795,-0.389908380960688,-0.464500403889229,-0.486271603315702,-0.217563447244334,0.0670983099958297,-0.0499902575828466,-0.345799662113509,-0.461401064338436,-0.421594099016838,-0.656081084747961,0.447388402260423,-0.454181158824167,0.840704341274182,-0.981977926028114,-0.38977616179138,-1.37133446515136,0.395978994524296,-0.302947391651667,-0.343803972535341,-0.0146516645732831,-0.813435014370925,-0.472146854057723,0.448119917296135,0.324485464718394,1.25657344381273,1.62328204943156,-0.507238289598552,-0.321852143164389,-0.262746909562634,-0.10344887947975,-0.534216854223792,-0.555250997428932,0.0575251141788725,0.988174744705721,-0.530493691031194,-0.418509066815394,0.194939514448704,-0.358415019449182,-0.382339625302105,-0.462391426221613,0.398435823588604,-0.222132894325132,-0.631813224708079,-0.812637965000572,-0.288950802125211,-0.551827452826545,-0.484831430347267,-0.388175532122361,0.0909915461144452,-0.179151729482642,0.191317881399648,-0.127346268204905,0.0718264711818106,-0.0799570539483428,-0.493313419647939,-0.147425334804919,-0.193853681638045,-0.418386036201205,-0.215923728947039,-1.01082216033016,-1.23590302857168,-1.28212079288632,-0.323108240325093,-0.468367403418034,-0.478167253726656
"Vibrio_Li_1 (GE) - TPM",0.367777550873052,-0.383278892423833,0.285570721494959,0.607169591735005,-0.409099991588778,0.450348770020727,0.816657157269399,0.0411455330269869,-1.30796517614688,0.309228181538913,0.619511303131518,-0.205926989868325,-0.500459611577278,0.137060187783343,-0.423858091842473,-0.343311278855316,-0.110010722988103,-0.49954447412186,-0.569730097438594,-0.400346003940742,-0.246144053905488,0.0384136688457564,0.105277161354172,-0.0252896225563614,-0.457571568605288,-0.355417589481672,-0.308177747547254,0.574082373075329,0.576467651590673,-0.377989524277515,0.114748426525969,-0.220272498410272,0.876970322472929,-1.22141308282692,-0.454181158824167,-0.0774856299875173,0.0564057761574528,0.586498681343615,0.605167218879623,-0.770632911447387,1.15966428184344,-0.332671213757742,-0.8400147278332,0.0606756406296937,0.0946271778610045,0.0321594827366132,-0.636276292340842,0.273568260561174,-0.970759953387564,-0.408271146791867,-0.0526240447377796,-0.28857633945298,-0.255386105529551,-1.17610552917642,-0.83018367172718,1.125137839676,1.66021384001686,-0.939172676235763,0.0921216089978062,0.768306931441434,0.561897763948394,-0.15254154405145,0.400144757414222,-0.240536541538632,1.60138593388244,-0.789859799464507,-0.859389089027225,-0.315107544993058,-0.43081195743198,-0.187089185766423,0.179166207518341,-0.563699026973721,2.03875481671937,1.83759020005516,-0.0319922355268631,-0.333127009171349,0.386467512852131,-0.0143685573614539,-0.0787085456243028,0.323170554877289,-0.436720246190013,-0.215923728947039,0.923247784994702,-0.574933685508572,0.963832745630671,-0.0317115599889537,0.471997136234966,-0.0643190037304258
