"","VC0023","VC0024","VC0041","VC0066","VC0080","VC0184","VC0283","VC0286","VC0495","VC0565","VC0856","VC0897","VC0922","VC0939","VC1016","VC1023","VC1045","VC1065","VC1196","VC1420","VC1453","VC1454","VC1462","VC1542","VC1562","VC1583","VC1630","VC1803","VC2318","VC2367","VC2429","VC2504","VC2651","VC2671","VC2723","VCA0010","VCA0061","VCA0070","VCA0071","VCA0087","VCA0092","VCA0105","VCA0265","VCA0329b","VCA0374","VCA0380","VCA0387","VCA0388","VCA0448","VCA0450","VCA0465","VCA0487","VCA0605","VCA0712","VCA0794","VCA0949","VCA0991","VCA1013","VCA1048","VCA1114"
"Vibrio_As_1 (GE) - TPM",-0.518408859297091,0.357571824858514,-0.568675710990681,-0.886046400746622,-0.579399023926459,-0.496081063940929,-0.201154812866827,-0.693042872987375,-0.767848776346347,-0.859387202247145,-1.04450659276567,-0.454587245818172,-0.296741847810258,0.558023687298825,-0.617246385528815,-0.951143613078804,-0.266090278571836,-0.75538408545946,-0.275256643227533,-0.45788724909422,-0.797343329384925,0.00469058052391001,-0.372671524780417,-0.405288374479509,0.23319319162727,-0.547289406392476,0.124602697593022,-0.165726414681671,-0.482706823555243,-0.821338363869928,-1.00316243518597,0.330978336938602,-0.44879510876478,-0.821536084769421,-1.32395988002313,0.486455425695505,-0.595958379761741,-0.508553591586529,-0.567840235917966,-0.559862780826026,-0.0696686656335808,-0.972854440373492,0.961625617848321,-0.669393251636397,-0.482693267633125,-0.203818043288363,-1.11451926828029,-0.204020280923282,-0.599562060223013,-0.723148967007104,-0.855046032519378,-0.773892642254566,-0.555479005471831,-0.739600965790833,-0.617321494346876,0.713573976548219,-0.652716327123935,0.718627249387256,-0.894563704643687,-0.658964161423497
"Vibrio_As_2 (GE) - TPM",-0.472282878937152,0.142612811281811,-0.733111319154025,-0.139637513744304,-0.270327639622992,-0.757503004362911,-0.534203857924403,-0.477774835558857,-0.350329447787272,-0.239645237179083,1.1945485233676,0.00383123159519692,0.659456847835472,0.748740611298958,0.0939664857137818,-1.2559956429312,0.439455182218271,-0.502490151404779,1.32536246682628,-0.484738558072511,-0.664196007861424,-0.0324652226290074,-1.11833655394866,-0.434065218302446,0.165310266903782,-0.608525850420444,1.20844575323785,-1.00323914251711,0.799364542419458,-0.852724622137999,0.432849350879737,-1.07863236604999,-0.222147291687226,0.263431014443655,-0.544121602216585,0.00464136853202088,1.52171968449894,-0.354772328863548,-0.0820304958848597,-0.559862780826026,-0.471803375064165,-0.509176840267753,-0.242024597829164,-0.478535842125339,0.0475289676528272,-0.688267058858044,-0.00952569112255095,-0.663895314504116,-0.668499033610967,-0.263974798054209,-0.855046032519378,-0.987142035602359,-0.355694933527446,-0.838010660061706,-0.604007902086983,1.26140728975663,-0.652625644556206,-1.0077067951881,-0.616083528669897,-1.67572901170386
"Vibrio_As_3 (GE) - TPM",-0.589360871413289,0.792305751777801,-0.857278745143361,-0.776746202595979,0.503750210383894,-0.370362682371479,-0.0852338517220001,-0.911137793971811,-0.602795413744555,0.0663712437437402,-0.444021816157397,-0.0489284267074321,0.185096976825105,0.625180720654543,-0.195265127786705,-1.11932792812228,-0.123455988892834,-0.3254532101317,1.18688478385029,-0.661373308121133,-0.316672016391728,-0.412082981430824,-0.986494189279176,-0.191979484198537,-0.0833307607297663,-0.631915191296872,0.50400487649208,-0.420290964255421,-0.477118571997787,-0.738257242145011,-0.442892928912744,-0.390337323819773,-0.569971317552598,-0.417282245315393,-0.512552095420558,1.3780490954715,0.467264113017593,-0.343872663128471,-0.327092420029756,0.10884558945976,-0.412502724014189,-0.792981944378138,-0.155972010114158,-0.447417069457856,0.109829075349352,-0.406261418186149,-0.394924265293662,-0.29826989090087,-0.679505321625779,-0.45612834347155,-0.747587054995901,-0.777753317310122,-0.29012480929341,-0.441572970138008,-0.540992206523173,1.16327592503357,-0.699576159229114,-0.62909318903584,-0.195761315992829,-1.02739702052666
"Vibrio_Bs_1 (GE) - TPM",-0.338382696999044,0.0300749515676678,-0.317147446772327,0.983127766160413,-0.389396190878153,-0.44607492536306,0.226812968661174,-0.11795708821139,-0.220916532016204,-0.116206865158237,-0.183886308259521,0.619971553011377,-0.0972934037313888,0.182658372468778,-0.247221627215752,0.0648779270298352,0.391852196256832,-0.43213347445537,0.311868495156453,-0.258163922036366,-0.680005932120959,-0.451555508904336,-0.635274226865633,-0.20198274623077,-0.428818451729083,-0.233920714449122,1.80526431445705,-0.899003820916741,0.240850574675674,-0.372326473309941,-0.171321574410127,0.674949877201777,0.88827421556657,0.506392493682536,0.316429022289455,-0.959677930605543,0.0801700744189938,-0.416376789956061,-0.44246269556397,-0.559862780826026,0.393104969227985,-0.531383680371766,0.121908870165735,-0.365445463819404,-0.628519103029559,-0.373414452077794,-0.54057502171135,-0.579613902623935,-0.596234587262865,-0.563118007574483,-0.535046713971798,-0.611775771953374,0.0509580098633014,0.924400672716825,-0.271226988220666,-0.301520631521839,0.461821534825779,1.13880367923013,0.652293895831453,0.159547547241327
"Vibrio_Bs_2 (GE) - TPM",-0.437979000336039,-0.220865290992489,-0.463692775302009,0.41007828075894,0.0156345463962578,-0.675875009356835,-0.0434905539526042,-0.086704529840637,-0.906460549762515,-0.393560081252384,0.392691046311861,0.781992635618297,0.436881632924458,-0.245772665835948,-0.0459864692058115,-0.56246551345695,0.262764549765759,-0.574482995608128,0.308237237851825,-0.820913834113948,-0.741593298983736,-0.652433954029236,-0.397393208018306,-0.243521330839542,-0.495845974082902,-0.478024607777873,1.982128449628,-1.21083967227629,-0.289886547342605,-0.923505258277086,-0.702580442446566,-0.940276100799002,0.130159212551747,-0.0724293683288229,0.434965880301486,-0.45466645786882,-0.0632825768302772,-0.486765644876183,-0.426007044519212,-0.542463263393703,-0.250805165092464,-0.714097568126217,-0.360528821181902,-0.499971861916834,-0.833138778841053,-0.688267058858044,-0.914828461992971,-0.812351846186325,-0.63025371228474,-0.526626412421693,-0.472787624859041,-0.778752530073644,-0.162736111201931,-0.216682216786404,-0.477136902382125,-0.393643469767755,-0.505831125563853,-0.472680577219973,-0.568977236346999,-0.75826603305404
"Vibrio_Bs_3 (GE) - TPM",-0.417617696244272,0.945706847086293,-0.360430686351956,-0.268773402788618,-0.0610353531743061,-0.359953917153888,-0.803995410127685,-0.347548434876951,-0.349502316708044,-0.220790118076236,-0.458084000571667,0.161839571225167,0.384937401660262,0.117446709795156,0.0895236692523919,-0.574431087846352,-0.275635299195488,-0.526816497285455,0.382742236577849,-0.496126039262945,-0.825181824977598,-0.652433954029236,-0.71642848339009,-0.409722332695302,-0.312764759174333,-0.253043479458094,1.03639349093806,-1.22823737045047,-0.206728210556268,-0.565407793901449,-0.91496648550142,0.0148077130475318,0.280063151770092,-0.286921588306181,0.143197525122875,0.118491080328843,0.278427550981537,-0.297179543865877,-0.300571583391253,-0.136035395157311,-0.23578849774971,-0.862834089955744,-0.23201237245787,-0.590030501767901,-0.833138778841053,-0.585815874095061,-0.557038268397523,-1.01485280911643,-0.448073182175415,-0.416289438308343,-0.799474800465245,-0.820350192082605,-0.566112470188519,0.0368706314164179,-0.379822877745829,0.462216454336631,0.238756474259391,0.197942556989427,0.594627549544344,-0.542486570165304
"Vibrio_Ctrl_1 (GE) - TPM",-0.429626886863708,0.0338949896793031,0.3800131369099,-0.839477341809032,-0.967045866790106,-0.323204123787396,-0.653154943119089,-0.70266212062643,-0.104256987115826,0.266762735842284,-0.0816261303756353,-0.994649704058141,-0.665695656870973,-0.238703396956933,-0.150981680080192,-0.483047020806952,-0.174301392238208,-0.687167101870874,-0.163899810610902,-0.597568455619552,0.238555953756693,-0.446283250646601,0.381489384693649,-0.390807172438747,0.229109935367304,-0.414363328198704,0.273568030397064,-0.588528390929247,-0.650321193703572,-0.509630737020058,0.249779778575921,-0.317569119487043,0.0453411024081027,0.112989935461818,0.436615904803647,0.360767113588093,0.287400904391798,-0.463435154974876,-0.556838749410735,-0.559862780826026,0.10165921807106,-0.239516652192226,0.467158473247501,-0.556569241298975,-0.219573878434881,-0.657056968289398,-0.423017259207182,-0.548054206769173,0.315778154698875,-0.0687905427659645,-0.0650319174520312,-0.229685999258619,-0.0874235503342548,0.359973437571612,-0.223606526256919,-0.167811170047165,-0.37614066008598,1.19780386067599,0.0493593369852592,-0.586544593259008
"Vibrio_Ctrl_2 (GE) - TPM",0.108381512789506,0.116909306109207,0.922514521807187,-0.480610231688034,-0.728735761664832,0.316852609018365,-0.336269624371955,0.442138870238436,-0.301793783290762,-0.0860752681959849,-0.754482708496344,-0.597627721324792,-0.429789236618744,-0.72838299662322,-0.205403069571483,0.460463353905677,-0.36592008487799,-0.484431720460833,-0.284546945092871,-0.233411947194464,-0.291404893120524,-0.652433954029236,-0.0210819887283238,-0.271610286872126,-0.896664538587895,0.269347006400049,-0.095025182195709,0.194225593540134,-0.53065833010038,-0.473195708895725,-0.134496224681011,0.00216362109728645,-0.570255538983978,-0.357901554692504,1.98797480790021,0.525861173222315,-0.0103259397348884,-0.206257749199362,-0.287694676054486,-0.559862780826026,-1.27412475695697,0.633849333070092,0.4915963303396,-0.669393251636397,0.119023875745465,-0.688267058858044,-0.109440843355969,-0.324255372818858,-0.0417408099656772,0.691736746538286,-0.855046032519378,-0.593298502651827,-0.708503058011128,0.841954532526647,-0.483645761536072,-0.0696029116272249,-0.405210820373596,-0.0249885742078265,0.185193398771456,0.0455914545309679
"Vibrio_Ctrl_3 (GE) - TPM",0.273067475100373,-0.0497080809891903,0.608299850468433,0.463558951119045,-0.534264272189799,-0.438529799166381,0.383407933222941,-0.668805660799258,-0.906460549762515,-0.146702149447642,-0.579916137799179,-0.599613751170977,-0.937459023466114,0.0911329248126333,-0.350980165670188,0.0808392983076835,-0.04190719902475,0.235745925015183,-0.178635084079289,-0.831352928923274,0.156248069223271,0.189589057142567,-0.859033171093789,-0.245598460293931,0.0213010159934071,-0.712647302449025,-0.267457906854612,-0.856372339493566,-0.881612966826917,-0.381073411029169,0.724194360812632,-0.141312561457957,-0.555814509735071,-0.435845077857105,0.491119222173907,0.0648565618799328,-0.522744942400861,-0.0604675608421647,-0.622147297345296,-0.559862780826026,0.0327975518877534,0.133123943847271,1.15375999791245,-0.285368315018111,-0.731881921569654,-0.688267058858044,0.0655617500826435,-0.718264373824292,-0.400865794447995,0.345942415256126,-0.83711928569638,-0.61040576688427,-0.21993404464606,-0.42324983128168,-0.270476221543836,-0.874411073265329,-0.476254746489352,1.07264455601045,0.146822218004451,-0.0899391516859358
"Vibrio_Li_1 (GE) - TPM",-0.34241773071146,-0.833144401106002,-0.68808310606989,2.20359479755712,-0.512114554196897,-0.609749874501761,2.45229448526962,0.422063710835537,0.266197370597158,0.104535630793407,1.68419103175106,-0.0541342999451373,0.293881779862896,0.0602614672046587,-0.205955978907826,1.38467134449413,2.03553683176851,1.1820818225215,-1.05888468069798,0.502599830642504,0.533813610274136,1.23919405953676,0.978779476665175,0.23278315312949,1.20331693696981,1.00777662305895,0.448773145200493,0.312087714470164,0.690476772929429,-0.0626649948004217,-0.446807222714245,-1.13409030810991,1.3936339545604,1.75629510717052,1.09667731518393,0.172331273363179,0.0715243212162723,0.399563523654936,1.09575373479361,1.90679782559847,1.73951784251921,0.338999704091581,1.15924931240368,0.676454090498675,-0.469176644571228,-0.573714198750217,1.26795546793255,0.165439656454857,0.373777839188892,0.931385373357147,-0.226788274073929,0.510838693680828,-0.337013150030043,0.462142801859448,-0.731223301251247,-1.12266127389976,1.22810687586659,-0.139954794077691,-1.1212077744767,-0.133761015119912
