"","VC0008","VC0062","VC0288","VC0301","VC0408","VC0859","VC0860","VC1035","VC1132","VC1133","VC1356","VC1390","VC1429","VC1700","VC1795","VC1951","VC2181","VC2297","VCA0185","VCA0244","VCA0245","VCA0286","VCA0313","VCA0338","VCA0340","VCA0349","VCA0422","VCA0504","VCA0919","VCA0964","VCA1109","VCA1111"
"Vibrio_As_1 (GE) - TPM",-0.748819724786346,-0.523587413794642,-0.641562045230343,-0.241203450948266,-0.580400022651083,-0.584836811238869,-0.56295277415072,-0.717999924691209,-0.572117931808232,-0.830674404668488,0.595551811653295,-0.453973920611436,-0.324068336930315,-0.259776980269092,-0.454548934232251,-0.596003136006277,-0.23154913922405,0.487721358023445,-0.512235002258584,-0.679664947808728,-0.684485966045105,-0.791668173090678,-0.600520612888888,-0.790895440305989,-0.303989156965858,-0.153745489863133,-0.544615847688602,-0.25452288222896,-0.521582884250799,-0.731910875983225,-0.452862080108978,-0.162617635244613
"Vibrio_As_2 (GE) - TPM",0.653332221343419,-0.0542800018885944,-0.292659341770417,-0.424838791578463,-0.678359381026766,-0.330629066001365,-0.374933661970752,-0.601775870185632,-0.518271699872165,-0.87355974481318,0.761013913045084,-0.256189422817688,0.0589804907403291,-0.015927716100662,-0.562825661076949,-0.666457476606687,-0.489666695946919,-0.216099639234861,-0.42683116841327,-0.679664947808728,-0.684485966045105,-0.920097218448283,-0.540537471916309,-0.736956751058164,-0.40431258234616,-1.07381276537992,-0.493354845734121,0.735548469760499,-0.55800022728058,-0.543587138973206,-0.347164004111393,-0.387632613009643
"Vibrio_As_3 (GE) - TPM",-0.469496892853147,-0.652233854252855,-0.417007400469265,-0.424838791578463,-0.943924223761274,-0.685383883249839,-0.551625039195832,-0.589899520101905,-0.73699746528973,-0.858720844037166,1.02797183714094,-0.336674197600523,-0.00872569077090146,0.381645823531762,-0.457098520676855,-0.686777791981992,-0.126820404241613,0.204566488376144,-0.324394845711213,-0.658783263592382,-0.634475895345418,-0.196659736547312,-0.546556163598188,-0.56784390848638,-0.662974792086409,-1.07381276537992,-0.444116664558333,0.316404842661321,-0.628066526521902,-0.489099545101205,-0.271149810564538,-0.194657210553033
"Vibrio_Bs_1 (GE) - TPM",-0.221592647211615,0.185661048006102,0.358648075896599,-0.424838791578463,-0.785718031953761,-0.474507863329118,-0.768286571206647,-0.0939080396582653,-0.153585479710468,-0.127340485188056,-0.0173216371412936,-0.353677128309854,-0.165653210359802,0.453084053583217,-0.402891344879983,-0.309737055325548,0.166341061861801,1.48442000082475,-0.398594162382162,-0.263049319517737,-0.487794286718105,-0.414490656993103,-0.631324477226096,-0.124717840724044,-0.743194873879395,0.445787139398486,-0.399142433752931,-1.0001759079204,-0.645011224920106,-0.501999128482025,-0.512325941005292,-0.0395075934788598
"Vibrio_Bs_2 (GE) - TPM",-0.212933255259268,0.256217902554251,0.151224936052922,-0.424838791578463,-0.668223124881417,-0.712755203182465,-0.78263227146208,-0.0825709330347282,-0.414204352899607,-0.435442824011989,0.0312257745677529,-0.37068123626012,-0.698786012010907,-0.0552210129692147,-0.47902667488384,-0.56830923136156,-0.311855146188861,0.245934420726479,-0.388131374290528,-0.660104964955469,-0.606411474677626,-0.987892923618053,-0.468609678952472,-0.695134236007671,-0.914666997979794,-0.379699806565897,-0.592832764273075,-0.452501023205228,-0.776785325892427,-0.334994618939143,-0.0797919320441533,-0.330190332573924
"Vibrio_Bs_3 (GE) - TPM",-0.36868350855131,0.903430219338896,-0.464224736506199,0.0101150738828267,-0.843377748701596,-0.574604059115026,-0.479434142060009,-0.411230671173827,-0.545854265536061,-0.810500952674079,0.000191162758382228,-0.670731622355309,-0.0542960306282384,0.0784193957917287,-0.418893229472859,-0.615446435535907,-0.262696583167875,1.10228056041062,-0.416894049802458,-0.398679706336589,-0.494307659960425,-0.53413849171477,-0.495128925600528,-0.544177485542922,-0.635106171249699,-0.500326636969737,-0.49087798348513,-0.500710732833936,-0.745300268443036,-0.375711332436984,-0.364713100090522,-0.458616858105855
"Vibrio_Ctrl_1 (GE) - TPM",-1.12498853992465,-0.614836623703276,-0.726846513919678,-0.424838791578463,0.0134240595601136,-0.242829935918233,-0.563639284546977,-0.177562673496244,-0.365210674418384,-0.429666970882726,-0.376804531954639,-0.651776961070546,0.236200993637335,-0.305511019334495,-0.311703771213792,-0.204355653910826,0.314897413864011,0.872009787326011,-0.275703963382261,0.186545479795456,-0.434920956971704,-0.228434637890797,-0.155081552630622,-0.00172992456885009,-0.345287773514015,-0.527865137211427,-0.498652161037924,-0.660495006505716,-0.0683151194541749,-0.721816321731029,-0.142970309675247,-0.794310759270242
"Vibrio_Ctrl_2 (GE) - TPM",-1.18630580229549,0.130590664336545,-0.640589191750258,-0.424838791578463,0.175961791240505,-0.442105817851403,-0.177384566922815,-0.199295063273028,0.153911649316028,0.051236597343141,-0.002485094701952,-0.647200216531249,0.18089661801047,-0.496318828028126,0.723198557457831,-0.130042752400733,1.12607358808879,1.85485299520934,-0.250371412730616,-0.246074510831356,-0.418225288541902,-0.0927398920075012,-0.388188992415382,-0.096916322385656,-0.80120019072688,-0.55191873165095,-0.826603676794911,-0.743267118068119,-0.55724523261011,-0.573841348642505,0.773229004383542,-0.681624082861994
"Vibrio_Ctrl_3 (GE) - TPM",-1.07160010450221,-0.857155094864576,-0.413327820499913,-0.424838791578463,-0.442566261571376,-0.789056324471164,-0.441878996157553,-0.305377605607082,-0.0336326025038523,-0.737004367913172,0.219716258261345,-0.676213442831106,0.137920709234977,-0.561061262828177,0.120979621721982,-0.341252392662853,0.480603191567048,0.400430409495615,-0.312092491206273,-0.484585134126085,-0.153575111406555,0.559245684216748,-0.316770089052366,0.0881995572622821,-0.616020045167265,-0.345370822478919,-0.973709435104443,-1.01074215102193,-0.0962285263563207,-0.538024974095503,-0.336631473875876,-0.0762745514198454
"Vibrio_Li_1 (GE) - TPM",0.393404653995612,0.714028394510569,0.121138835260207,-0.424838791578463,0.663752163336336,0.0501864957846309,-0.0426376572043916,-0.00320117529547267,0.396297055187546,-0.318749476432035,-0.182672150010978,1.30360731520598,0.950673239587783,0.562172044359507,-0.39213816055853,-0.50006371531484,0.99502277957224,-0.437133381073862,0.43288516730664,-0.504364066208322,-0.684485966045105,-0.0811482408394199,-0.426742946826274,-0.512944967003169,0.104868990684945,0.569331681275544,0.221943207942346,0.0605409763725667,0.482504290655159,0.0420087770484458,-0.094730439575163,0.25193114502844
