"","VC0009","VC0010","VC0061","VC0161","VC0175","VC0177","VC0183","VC0342","VC0471","VC0508","VC0522","VC0543","VC0544","VC0810","VC0819","VC0820","VC0823","VC0824","VC0825","VC0833","VC0835","VC0836","VC0844","VC0870","VC0921","VC0988","VC0999","VC1051","VC1131","VC1200","VC1279","VC1280","VC1281","VC1282","VC1283","VC1284","VC1408","VC1422","VC1446","VC1448","VC1655","VC1656","VC1658","VC1743","VC1786","VC1793","VC1794","VC1796","VC1797","VC1798","VC1799","VC1800","VC1801","VC1804","VC1806","VC1917","VC1948","VC2563","VC2564","VC2682","VC2757","VCA0094","VCA0095","VCA0096","VCA0202","VCA0237","VCA0248","VCA0317","VCA0318","VCA0334","VCA0348","VCA0376","VCA0418","VCA0453","VCA0454","VCA0457","VCA0459","VCA0463","VCA0464","VCA0471","VCA0473","VCA0476","VCA0490","VCA0491","VCA0493","VCA0494","VCA0754","VCA0768","VCA0822","VCA0823","VCA0824","VCA0825","VCA0866"
"Vibrio_As_1 (GE) - TPM",-0.721240608704123,-0.0949154396030459,-1.11874279063973,-0.57597073118385,-0.742254699518169,-0.436600505521237,-0.708817024050866,-0.15992208187865,0.245701196191634,-0.729790666028247,1.2647633933302,-0.56661777027526,-0.412054222832495,0.246329403787235,-0.465723785685934,-0.248324271372544,-0.328302712538466,0.533583333695893,-0.518279866637006,-0.581382225718214,0.00605399931572465,0.404250857577372,-0.537261140597944,-0.766827359912699,-0.290814843614268,-0.527708912075164,-0.309890472873053,-0.166666666666667,-1.36156734542093,-0.49812635605513,-0.355840978469424,-0.365727884207225,-0.540213165401445,-0.385780323803766,-0.47611679415394,-0.767047839399689,-0.377431321156827,-0.65334543309617,0.00384938107262554,-0.350964804428916,-0.377504270043823,-0.405551653005276,0.408400359750449,-0.766262199484471,0.237656331119524,-0.470133216585725,-0.431932493378249,-0.275196676083761,-0.80841684435596,-0.846325126591043,-0.358675462349556,-0.509455305006404,-0.412871601510922,-0.463938795401465,-0.803384600946148,-0.235933214689254,-0.189275684381509,0.0248463976409045,-0.302856361687797,1.09715437068093,0.454620436756952,-0.150198410787353,-0.133899654231496,-0.392849082709457,1.69396210332336,-0.407882547145302,-0.741141946602578,-0.48104952561334,-0.674782525500065,-0.7439672600743,-0.397613892591447,-0.574057689835653,-0.339323899406917,-0.0715519574998762,-0.539712718765659,-0.318001458220107,-0.611700740523855,-0.592031853857697,-0.084934719434399,-0.661651964179028,-0.546059717040497,0.610216900513184,0.22713898381507,-0.376170479087224,-0.174804083322823,-0.437939520405866,-0.293870186883073,-0.324621629233962,-0.351719410153733,-0.395547082257826,-0.344593275382427,-0.321757786863317,-0.432690549285982
"Vibrio_As_2 (GE) - TPM",0.932942648038162,1.8723252583059,-0.770466219683468,-0.589139026475142,-0.552234557041552,-0.226262202148175,-0.479393755783,-0.0320272728041537,0.685180976318985,0.244223760949752,0.39954470673897,-0.543831711077126,-0.289167752798148,2.16128670206657,0.170926919027531,0.0768313656124378,0.239830610168776,0.855136015181572,-0.277658382679107,0.198650837077399,-0.0872598438305528,0.0856448964044833,-0.034018899865751,-0.0691011017092006,0.323453262400728,0.595754794850146,1.0934354755097,-0.166666666666667,0.529964324389272,-0.0839912330778117,-0.318470066943724,-0.377374403914504,-0.382959771652246,-0.487264857324903,-0.222174106720211,-0.553204088946622,-0.902905067817817,1.46772402552762,1.06543566505014,2.42191528451706,0.15358104861261,-0.249058817967333,1.2434031791194,-0.14274623145204,-0.434540032238642,-0.0812246265129944,-0.233601388203561,-0.621863942484408,-0.818126265305356,-0.897167269282715,-0.447662965061445,-0.501766293142941,-0.467780509799597,-0.627081879281357,-0.428137212121514,0.253799483583806,-0.189275684381509,0.767934289356133,0.710578446236898,0.832619791679478,0.393386038998509,-0.668332672235629,0.602432652740823,-0.512752701036347,2.73308758839485,-0.591939973723827,-0.828601279599814,-0.417429117939329,-0.696940474759053,0.596012053998999,0.03678473177322,0.0929167893138365,-0.339323899406917,-0.391625930192991,-0.431261650548969,-0.189578122070475,-0.583830932236904,-0.448558370972404,-0.574548012037674,-0.661651964179028,-0.546059717040497,-0.488164621595235,-0.115386873779452,-0.489559435180384,-0.535491796089848,0.247903379715509,0.486889973390804,-0.121204475636119,-0.351087526243158,-0.338719503192418,-0.313688757972547,-0.290933303757199,-0.432690549285982
"Vibrio_As_3 (GE) - TPM",-0.51808824331094,-0.251976244287158,-0.728997928734743,-0.778323888295022,-0.650445479959804,-0.282908345138972,-0.52671656057374,0.302749855439874,1.64385900120814,0.133808180620169,0.367890668595051,-0.566690981086504,-0.302747777025638,0.783458081543267,0.126497785756217,-0.510698179505687,-0.0668866508363019,0.227462668972847,-0.46840700466033,-0.41175512256393,0.228224153446877,-0.290608936515441,0.0507056426924714,0.0869522967342186,0.560825640946013,0.252239806871703,-0.167613373762846,-0.166666666666667,0.148510377422121,0.0911628626099369,-0.336467619297064,-0.363478528818489,-0.50027098876424,-0.50695906947601,-0.41868814466864,-0.64436621276256,0.0779791640220936,0.301407170424883,-0.144835688184385,0.175540649889756,-0.0108317278200363,-0.255865459957235,1.10367732790495,-0.727320147724058,-0.560074615515355,-0.355517326220209,-0.251911439944699,-0.0480460943998175,-0.760586685765727,-0.768250307871319,-0.490107799111578,-0.554873595743919,-0.44892022159398,-0.112415293642617,-0.571840422929832,-0.0168241671517232,-0.189275684381509,0.326865616409977,1.01728894140907,1.12114466642405,0.617908869301857,-0.454283764861712,-0.488318806052271,-0.533199220717452,0.934894566710408,-0.0414827717659009,-0.929598298892231,-0.413004895059258,-0.523103617452775,-0.374205178735636,-0.0573010316988613,-0.574057689835653,0.392960023755208,-0.192311094114535,-0.413579003837216,-0.418137641184052,-0.431371959857944,-0.385435312316944,-0.535933503288776,-0.00823206203196456,-0.274598499874905,-0.820327581325047,-0.10250677686146,-0.100747602179439,-0.277184602912912,-0.437939520405866,0.269410604872944,0.0967926540390814,-0.356856198104133,-0.368258580516725,-0.331842239933323,-0.319861454312741,-0.0257855194501772
"Vibrio_Bs_1 (GE) - TPM",-0.0381095357717334,-0.622169390052045,-0.209969678985483,0.332349611846769,-1.20879697195787,-0.261551466957374,-0.394364836174372,0.360532325644459,0.729251828137999,-0.326715699770178,-0.098943700834796,-0.545451980055815,-0.354575590976143,-0.577273904365366,-0.566687019792872,-0.708256344300482,-0.245957395107105,-0.687055644581903,-0.496111550725119,0.60110900955955,1.19681698947673,0.205819190558909,-0.226362360476407,-0.454961027281223,0.985352217831782,0.758152885981258,0.0893014426103974,-0.166666666666667,0.528025965014272,0.530026369170155,-0.313549828529902,-0.333409509766589,-0.460839236121987,-0.442197979789714,-0.321235017991167,-0.292562078240291,0.34460470677882,-0.193921590200238,-0.82852464887626,-0.507545222115418,-0.153333567186289,-0.228258579286413,0.437937429959758,0.399164334779298,0.0915438795592696,-0.399945857902433,-0.650361657242794,-0.29262944723747,-0.161209883806202,-0.69912771537983,-0.367342783281309,-0.345266608376666,-0.504085076392277,-0.576476754367122,-0.314363965963184,0.0154610573797518,-0.189275684381509,0.719366630298237,-0.31060971555606,0.0851716948971436,0.867955774523035,-0.255054365198602,-0.217705191738037,-0.0816928306593428,-0.520534914341532,-0.420334451007666,-0.504644580424423,-0.397121109647584,-0.524283303306119,-0.159046947843949,-0.108870973063402,0.0869814749509039,-0.339323899406917,-0.604021790471437,-0.36773515543506,-0.334633064096207,-0.364678750192252,-0.413895288430285,-0.361926564954048,-0.221092957616564,-0.332526074977168,-0.0406296157514451,0.275130011494561,-0.339155777396646,-0.220424001285229,-0.437939520405866,-0.230098461800605,-0.320141467103058,-0.321664493952943,-0.35348562480077,-0.311647703865277,-0.317606766055061,1.09655603746357
"Vibrio_Bs_2 (GE) - TPM",-0.00181083841160515,-0.544545055931555,-0.734626410832316,-0.287179838006938,-1.48931559136339,-0.822300340120911,-0.955731146387209,0.777177103794966,0.309565013001006,0.0883392565172002,-0.805574320398022,-0.661065134899402,-0.18518258322617,-0.496876629394933,-0.229431392548915,-0.607550766718087,-0.334313676625299,-0.775906837251266,-0.618619882495923,0.0223534626197941,0.011847509808079,0.47359937082497,-0.443817031544849,-0.753659773894134,0.461510722018732,3.38361620094313,0.641704656660888,-0.166666666666667,1.06237474850607,-0.765402437214761,-0.325223123433195,-0.359147295230815,-0.540213165401445,-0.409629612705004,-0.314095243622049,-0.583395548567588,-0.295737821114903,0.958433781714243,1.16256085217099,-0.0665614922879861,0.307346104087097,-0.133650807608991,1.83038742160039,-0.226737896001202,-0.855120359725384,-0.603473134659494,-0.386661041446228,-0.621863942484408,-0.446309836868268,-0.792737296705312,-0.296674640571582,-0.272682798167181,-0.410178490140926,-0.0255842267014081,-0.465083256464951,-0.0264178787862007,-0.189275684381509,0.335777014811304,0.255324946603122,-0.0793180068390755,0.854617181564575,-0.400998363896426,-0.31600411531983,-0.382442155856252,-0.520534914341532,-0.469606142276571,-0.834098833927979,-0.372370959950399,-0.680687801778898,-0.493692002642735,-0.507074388156924,-0.574057689835653,-0.339323899406917,-0.604021790471437,-0.539712718765659,-0.385317709218553,-0.239353604061435,-0.592031853857697,-0.574548012037674,-0.661651964179028,-0.402620200984835,-0.201153985542684,-0.136668877261486,-0.135305502700919,-0.395115493806849,-0.437939520405866,0.00927259762438153,-0.466877391890655,-0.324617945929134,-0.373737735140862,-0.325079947976222,-0.321269358012666,-0.0444821446818267
"Vibrio_Bs_3 (GE) - TPM",-0.120206335209032,-0.798345567916143,-0.494121950013346,-0.112500121167427,-1.18950449755411,-0.720839788185907,-0.808471258747076,0.174809840238838,1.32636438906453,0.0887178819628011,-0.284129080090912,-0.520820512394903,-0.445413755100048,0.496688346786389,-0.19259570224577,-0.295741143255372,-0.145790482687004,-0.657735104517916,-0.233703654666736,0.25704937156901,-0.130876484496912,-0.436172235071651,0.0239811246024128,-0.897832619456477,1.21413365737052,1.24951126329625,0.423208271943727,-0.166666666666667,0.352550861605585,-0.440110157031149,-0.324970783415019,-0.362541693155312,-0.459040050388173,-0.505385748519539,-0.396920536980465,-0.719534909046499,-0.691526538064616,-0.0783771637844605,-0.149665281006873,-0.560197790807107,-0.0543445139172113,-0.305823678467307,1.07409363164536,-0.334343695389198,-0.555314688837169,-0.180121774561838,-0.828199961583656,-0.621863942484408,-0.704062993251208,-0.794435467775244,-0.441981484907042,-0.666242375823668,-0.412099017641635,-0.535077964501952,-0.289008304898941,-0.780863431414071,0.660840357842332,-0.568568869026484,0.473410979004216,0.15936973933988,1.21470138931022,-0.480489928085715,-0.257695747253668,-0.673812907013979,-0.520534914341532,-0.477473798617056,-0.739958197696081,-0.486561118684543,-0.814244269668651,-0.689852991648927,-0.128480000978685,-0.522055914390034,-0.339323899406917,-0.604021790471437,-0.363836903480693,-0.480376029424031,-0.624215425551727,-0.374700961052503,-0.574548012037674,0.389620288685697,-0.0253220639537311,0.0999029085551788,0.284914675522995,-0.341195172661015,-0.272463629889361,-0.437939520405866,-0.0966096605098005,-0.152938255486406,-0.366668348082539,-0.388255408615856,-0.334144578021741,-0.333327524753989,-0.432690549285982
"Vibrio_Ctrl_1 (GE) - TPM",-0.945112049874922,-0.92540052051314,-0.674706264691998,-0.338351418239119,-0.0938310491417939,-0.454087278028806,-0.600764240814519,-0.339727762564167,-0.546724128909592,-0.0294086420236851,-0.190246214043183,-0.554813435619503,-0.436962057832411,-0.0737171049826243,-0.0414894790692203,0.155166625272549,0.133117746850106,0.215508479241834,-0.268078682187919,0.438826743992051,0.757539100717436,-0.154569997234231,0.496035174126211,-0.52629570018677,-1.06587118132446,-0.0971436085830033,-0.168806977395062,-0.166666666666667,-0.596768494534419,-0.245010669353572,-0.325009425697693,-0.371234983488427,-0.439240204718935,-0.45662080833019,-0.222795323503428,-0.258427896802613,-0.479498440781821,-0.991982381337108,-0.87520907181936,-0.637950747925264,-0.460312462757219,-0.395584789844661,-0.725007058926519,0.636859249588133,-0.322356591901171,-0.343103051709889,-0.341517693322034,-0.390255676761483,-0.434635448112504,-0.703261978855093,-0.44385376297861,-0.391333940265683,-0.371904482106071,-0.259220950191529,-0.603344054037117,0.0710549063596108,-0.189275684381509,0.380174351139972,-0.650179092706119,-0.347701799616321,0.0915777703379493,-0.501431546240936,-0.488318806052271,-0.388290578033893,-0.520534914341532,0.433703774800586,-0.356136928288016,-0.417849539156036,-0.552471740497638,-0.668457772278078,-0.462717896064204,0.867518523941385,-0.199749450301003,-0.236769573508841,-0.36661549350528,-0.185891717134185,-0.267357030737073,-0.114956835392955,-0.0887889934424272,-0.501525449678426,-0.15203264897601,0.653805019995155,-0.291637926641482,-0.422988552088766,0.0814881192185009,-0.437939520405866,-0.281450296613453,-0.662193227728404,-0.339783909289427,-0.306235041439999,-0.321974346224966,-0.307897700874397,0.342876735132162
"Vibrio_Ctrl_2 (GE) - TPM",-0.111633587920681,-0.763049334162101,0.354467238064553,0.0660066060894929,0.0648371931677342,-0.956396074952313,0.055239501214506,-0.445397703123071,-0.75587680884712,-0.497782742188178,-0.108414952024831,-0.458545319269123,-0.54410407290536,1.04902239865999,-0.722923945070798,-0.308441810302869,-0.00913151720471718,0.358505622069044,-0.22763771934156,-0.960887882432646,-0.524099936198504,-1.23789405214785,-0.276609409002381,0.823462567808563,-0.883391042854372,-0.0405235734730526,-0.720820758529658,-0.166666666666667,-0.23829613104548,-0.171999379469738,-0.329576227582687,-0.398002038861435,-0.540213165401445,-0.505307924948668,-0.139782731892675,0.317692152064862,0.10791789438017,-0.0261417032753345,0.620832111219682,-0.85493793106145,-0.48137779664159,-0.218826981287482,-0.545576658637438,0.6740030266496,-0.855120359725384,-0.446363051430562,-0.360883185644817,-0.621863942484408,-0.909710988722259,-0.512798174210239,-0.396697087684915,-0.121297134093059,-0.58345427989391,-0.627081879281357,0.206153002568642,-0.109667699401777,-0.189275684381509,-1.05446417634915,0.0836618208145119,-0.086903385114892,0.509587499253459,-0.269463360355289,0.0153828565945916,0.201647734662999,-0.520534914341532,-0.09043266257949,-0.546302245645607,-0.239729290571662,-0.859298216003665,-0.362861158197886,-0.889619423739081,0.751002532912472,-0.339323899406917,-0.604021790471437,-0.539712718765659,-0.200108613575598,-0.725503810982606,0.0129401827374197,-0.574548012037674,-0.661651964179028,-0.546059717040497,-1.35388390621295,-0.437140028612656,0.300813193332644,-0.0759099128567675,-0.437939520405866,-0.180059849966759,-0.451353556984494,-0.255476547222138,-0.268536360399337,-0.283856085717335,-0.271159749599435,-0.432690549285982
"Vibrio_Ctrl_3 (GE) - TPM",-0.751056000989905,-0.784532196763442,-1.04006037030366,-0.739478091724296,-0.129790707704814,-0.158519970748268,-0.161426080284474,-0.652421940724419,0.721568068596761,-0.124561553595291,-0.0201289227099009,-0.458596937340907,-0.203229695298483,-0.88857821906022,0.264069178744256,-0.34358069925261,-0.272665626529251,0.766370630993451,-0.497530346184735,0.375506066730217,0.77702871366223,-0.039500010411762,-0.392793210362599,1.86378788215436,-0.738833576868093,-0.309949120794704,-0.521013405595275,-0.166666666666667,-0.899571097383605,0.200938672791639,-0.330013695827362,-0.348803494810341,-0.540213165401445,-0.292666886799155,-0.47611679415394,-0.441751664276758,-0.0589951354999496,-0.495897900351607,-0.128404096411352,-0.386327662874707,-0.474665093770608,-0.462158870388477,-0.639394058927055,1.79174183075016,-0.419905398169434,-0.668654804464274,-0.331236256802335,-0.621863942484408,-0.909710988722259,-0.691102946936564,-0.337744568292343,-0.274381842717528,-0.400165510971237,0.0240139305236177,0.0201376436309138,3.68024216697841,-0.189275684381509,0.967110115145429,-0.741216768979622,-0.427363988962644,0.161742290691514,0.422400167240879,0.382123617694552,-0.845805423048169,-0.520534914341532,0.079949752467433,-0.73570686616784,-0.40774397600339,-0.756100975900328,0.520796020117779,-0.57313296262269,-0.574057689835653,-0.339323899406917,-0.604021790471437,-0.539712718765659,-0.245507162226716,-0.493288942816501,-0.592031853857697,0.207060759118442,-0.661651964179028,0.039178263434071,-0.791110675363001,-0.408334913278544,-0.274907572908039,-0.520218730312478,-0.437939520405866,-0.454201346292376,-0.719246306687355,-0.336023023939375,-0.274306792186795,-0.359696074547312,-0.30135938868896,-0.432690549285982
"Vibrio_Li_1 (GE) - TPM",0.658303175804576,0.304035883718771,0.477290816353483,1.52513828753943,-0.762453813986815,-0.423782133513287,0.641316331941489,-0.177270646341416,-0.52181101931247,0.490530531300305,-0.46622457017229,-0.524464563595433,-0.310428319167105,-1.07698514091312,-0.722923945070798,1.28973276852011,0.228222913953333,0.719971364636987,-0.153064332926223,-0.555159196311501,-0.212683474913075,-0.450935857375562,-0.559094148897737,-0.924509969951146,1.33680049687255,0.642221581514346,0.386434140239988,-0.166666666666667,-1.08563314200583,-0.54769364694145,-0.274132688127888,-0.373440729594918,-0.381380723483251,-0.433900469613227,-0.47611679415394,0.0552272642789116,0.678246778397386,0.259026720636009,-0.834389292943977,-0.0585127375252865,-0.271516928674086,-0.236853951859381,-0.0234665338654318,-1.12041695885243,0.383328094879611,0.366923727511179,0.772034612098743,-0.111809878128133,0.699864954753238,0.0966455013090431,-0.107558631578228,-0.178123973552824,-0.148161653308638,-0.177018873579536,-0.322365008435201,0.101072328476443,-0.189275684381509,1.22830385457495,-0.115016749995978,0.225172250913378,-0.354667995523844,-0.341617801532649,-0.488318806052271,-0.496491557446161,-0.520534914341532,-0.575775437581204,-0.0404250905535358,-0.443629940516908,0.520162447937294,-0.954271166894576,1.21459971381732,-0.574057689835653,-0.339323899406917,-0.120140575642125,-0.539712718765659,-0.410120445527984,-0.319724906137141,-0.592031853857697,-0.574548012037674,1.29743134007571,0.1113169479716,-0.0173533634591353,-0.119310602175446,-0.665825956778601,-0.425695427361909,0.182096358229721,-0.318655183894163,-0.279779182500214,-0.25182262338864,-0.319031706994928,-0.314570639854313,-0.265009881801149,-0.432690549285982
