"","YPK_0016","YPK_0114","YPK_0258","YPK_0259","YPK_0260","YPK_0261","YPK_0373","YPK_0375","YPK_0421","YPK_0614","YPK_0615","YPK_0782","YPK_0783","YPK_0784","YPK_0785","YPK_0850","YPK_1116","YPK_1117","YPK_1118","YPK_1119","YPK_1195","YPK_1275","YPK_1276","YPK_1277","YPK_1278","YPK_1279","YPK_1280","YPK_1281","YPK_1282","YPK_1408","YPK_1409","YPK_1410","YPK_1411","YPK_1412","YPK_1413","YPK_1429","YPK_1445","YPK_1446","YPK_1602","YPK_1634","YPK_1635","YPK_1636","YPK_1637","YPK_1674","YPK_1795","YPK_1887","YPK_1922","YPK_1924","YPK_2132","YPK_2133","YPK_2134","YPK_2143","YPK_2144","YPK_2374","YPK_2375","YPK_2376","YPK_2444","YPK_2445","YPK_2519","YPK_2535","YPK_2629","YPK_2687","YPK_2733","YPK_2743","YPK_2744","YPK_2848","YPK_2849","YPK_2850","YPK_2851","YPK_2855","YPK_2976","YPK_2996","YPK_2997","YPK_2998","YPK_3108","YPK_3109","YPK_3267","YPK_3271","YPK_3341","YPK_3342","YPK_3356","YPK_3375","YPK_3388","YPK_3389","YPK_3390","YPK_3391","YPK_3434","YPK_3435","YPK_3436","YPK_3437","YPK_3442","YPK_3457","YPK_RS17470","YPK_3599","YPK_3600","YPK_3851","YPK_3860","YPK_3920","YPK_3948","YPK_4007","YPK_4078","YPK_4080","YPK_4081","YPK_4125","YPK_4237","YPK_4238","YPK_4239","YPK_4240"
"YPSTB_As_1..GE....TPM",-0.401690918377797,-0.284662733303729,-0.355081828274095,-0.325349351965532,-0.379082445809685,-0.487177756978511,-0.343500601184629,-0.420606317531005,-0.0341280776312005,-0.793521550737999,-0.626007091210145,-0.0358710660945426,-0.577760805576093,-0.524680231562497,-0.769895025996935,-0.412675897773694,-0.567563411787957,-0.591145103413078,-0.522200329050719,-0.619617051077126,-0.697755006571169,-0.432702750308245,-0.392418021154415,-0.648018056029207,-0.513187002751025,-0.314473840837661,-0.327012432527343,-0.372800532001319,0.460124306631867,-0.436952638984192,-0.517056239909283,-0.441843745325754,-0.519003381383575,-0.383604008086398,-0.495025729047725,-0.532395364380081,-0.815265111034973,-0.67141519892906,-0.374097659252951,-0.591324320389167,-0.446628586862033,-0.612367865597525,-0.673742297322493,-0.549691508565277,0.0545353432629436,-0.625226684410336,-0.5116410858864,-1.029228398686,-0.295540573127386,-0.132014644890908,-0.367091855648789,-0.306025043750514,-0.737791399191725,-0.830553970169156,-0.463535667280946,-0.508319671897709,-0.631719549430182,-0.377377142640933,-0.774676867464177,-0.38674076085502,-0.438041287662706,-0.450159461355812,-0.326589374979109,-0.56309452973393,-0.410788092732764,0.0210760772025397,-0.105736181203321,0.0492215446216248,0.104597274422477,-0.594643464581161,-0.523456971880131,-0.651056813458682,-0.720793100345926,-0.738202799297046,-0.636983795122138,-0.617762035635747,-0.640065199648704,0.0753463510513018,-0.311132589773568,0.305603003145153,-0.761413531719373,-0.5977577362718,-0.700681471727067,-0.573605089587716,-0.526564375474422,-0.724808323889565,-0.497411578814881,-0.543680248270011,-0.506721308602645,-0.412230865335858,-0.49492256392289,-0.405104191769676,-0.679861566035654,-0.751395126342082,-0.254714874659387,-0.325712880049483,-0.363508211094805,0.847767697874785,-1.01407379715106,-0.711084514984927,-0.68133232915287,-0.297004185494312,-0.36298868594156,-0.419707509106517,-0.357532440908263,-0.313720577699859,-0.316047266251684,-0.816462495259851
"YPSTB_As_2..GE....TPM",0.756694118434761,-0.281654314019471,-0.362955898429219,-0.403230233624909,-0.387703117735468,-0.503070026790627,-0.40646277915191,-0.528819071456278,-0.201472203608213,-0.611940223615313,-0.397697231413341,-0.0233919026306132,-0.4612003979215,-0.522140076912866,-0.527901501602397,-0.304248926333179,-0.536156193696792,-0.583304608640805,-0.594440161923053,-0.568355847288362,-0.698154835835929,-0.362518729638873,-0.403858381568698,-0.722162871997578,-0.546452361694352,-0.320658625918876,-0.465216123703626,-0.225750814331267,-0.00428453890662954,-0.441714104980053,-0.479870627030487,-0.436129468361896,-0.531088601365297,-0.353543909023127,-0.45565415852895,-0.567052146397798,-0.641166724307548,-0.588387064882956,-0.37833694612363,-0.533026127424458,-0.350654095739498,-0.487221929164684,-0.228708070090531,-0.481631486108564,-0.0257597087290888,-0.643840691935016,-0.456470759932111,-0.888613745544159,-0.385289099437169,-0.276450410309354,-0.441016008017852,-0.432978511719025,-0.758428127525204,-0.723012111571106,-0.477256558375034,-0.467807896852309,-0.708157354203673,-0.284580297990104,-0.725587227963961,-0.299875490625468,-0.561554100889106,-0.822276686806699,-0.331741109707487,-0.57463978477219,-0.394396655811486,-0.293702320500338,-0.441112515676361,0.154959915759683,-0.332070551230099,-0.636545699082314,-0.528888261934921,-0.540279904077606,-0.671223980501704,-0.795009893277476,-0.627421912771688,-0.571098557830058,-0.621544410068086,1.3032972034381,-0.312435680022285,0.102236687671053,-0.423384332637822,-0.525789743844832,-0.684360309688222,-0.548450209772141,-0.542387883598715,-0.637222522046126,-0.483880613155193,-0.556498487353131,-0.523331787947462,-0.416793473098939,-0.513813020733434,0.0474705019767308,-0.828722506762857,-0.615546013506072,-0.215953125286413,-0.775657216889885,-0.514475037740916,0.23647892409028,-0.416128508459841,-0.59983275140814,-0.498949100233349,-0.296190468729268,-0.329217782197845,-0.406082028692596,-0.365339474838036,-0.385625350160911,-0.339258042163863,-0.847404656304372
"YPSTB_As_3..GE....TPM",-0.0861720080425787,-0.289166544892403,-0.38186057330949,-0.353801493081734,-0.319536657284286,-0.461527144079735,-0.390302543908232,-0.311588713972218,-0.311684676849064,-0.352642059449506,-0.385430038667845,0.24296162019353,-0.0223410027185095,-0.0441078152975846,0.0504088046365336,-0.203602178592074,-0.573405999020228,-0.56113521352955,-0.468514154740223,-0.594808347939144,-0.578985355431874,-0.400614656512748,-0.39793459940904,-0.71277041267869,-0.392816507877674,-0.232178006854141,-0.466442954766422,-0.150119722726548,0.331129884639093,-0.434114851330379,-0.503977016211015,-0.427822133331132,-0.499253815934675,-0.266384552540424,-0.43951729471635,-0.541741633237978,-0.588756098341174,-0.435565543758172,-0.371518480587926,-0.35354387246446,-0.435150147556674,-0.234829105613546,-0.704777828443507,-0.466200684040294,-0.104794480150776,-0.614159960745889,-0.499962026593001,-0.8396715808235,-0.290282173427677,-0.456122566108656,-0.453286851369702,-0.53546580398045,-0.784739079391373,-0.585955795612526,-0.464923830534584,-0.478467696738455,-0.868698272478105,-0.33147275991688,-0.70808601634886,-0.313801107054819,-0.470558784634794,-0.633828761966782,-0.297601729493286,-0.570778591482391,-0.394072262963698,-0.0154196207577092,-0.112309889017924,-0.561445174384084,-0.118330542535457,-0.585822208347484,-0.413744091311423,-0.550890998062509,-0.648463114110393,-0.712735688599719,-0.313801756496696,-0.559551912971101,-0.631812398240511,0.0560884376892394,-0.316651259700211,0.581361442015423,-0.467939163836611,-0.474756743752189,-0.681898729753989,-0.533857226941165,-0.520204260228411,-0.637873253006351,-0.520540823875357,-0.52350892101644,-0.504557423376148,-0.407062796157424,-0.507295525981912,-0.130574567542004,-0.026955711521211,-0.553423513469889,-0.19490337221321,-0.301069632461355,-0.398458798954479,-0.0276176368020412,0.00228626459640953,-0.428623673816208,-0.187519168612164,-0.296660260956693,-0.290877319711215,-0.389322442809885,-0.364334375096412,-0.370731698604273,-0.330136834055266,-0.652927406435531
"YPSTB_Bs_1..GE....TPM",-0.429711761729438,-0.236661689016431,-0.367724654491149,-0.302557281193273,-0.418036672441754,-0.478201974151175,-0.336367453976327,-0.512606075353353,-0.937182789949053,-0.468591257161683,-0.735694676215024,-0.845834590406242,-0.91914276835802,-0.797308117272036,-0.777009803188111,-0.0198536740403468,-0.682230701547013,-0.69774257788942,-0.669684956937031,-0.715677009170069,-0.374365195426733,-0.627149892560177,-0.582448661313063,-0.681097734205246,-0.555933466422295,-0.43250675771808,-0.431171903268608,-0.344122274002204,0.176824595757244,-0.393169401216347,-0.482700390359345,-0.407244940949089,-0.4977521839114,-0.411117659421483,-0.535749166362539,-0.515520789307068,-0.598715321833933,-0.578564328025648,-0.358856466751379,-0.619459445048656,-0.692712120184853,-0.574251532183146,-0.368609907203676,-0.473093560169504,-0.258352135602345,-0.532881974706933,-0.528496654745593,-0.350158126526702,0.0322840024939733,-0.316682012002947,-0.213667480221793,-0.173918507982892,-0.476636752861131,-0.815864004067925,-0.539169847795155,-0.495869415178971,-0.374565326382491,-0.24211457028869,-0.336151442441274,-0.375422005424029,-0.486941541677201,-0.0248944397220108,-0.28128644621829,-0.485021800709933,-0.398598899395817,0.588741314194442,0.291512238306796,-0.0100295349188391,-0.0546763258674973,-0.363445193939237,-0.407055963749789,-0.423389321201335,-0.309728180446997,-0.427239005622522,-0.382531383598817,-0.405349928783739,-0.619943234715129,-0.50858942663637,-0.265619870393632,0.244064928612211,-0.727232762544514,-0.457852147553522,-0.633217636422186,-0.497670680187021,-0.449502972287781,-0.662494676009722,-0.478490365275182,-0.511450291875227,-0.431149180893965,-0.348414723531474,-0.412615900705277,-1.12320988844104,-0.572373707707121,-0.439661611583208,-0.169848403512121,0.568440972453515,-0.0468165136132135,-0.153238701808888,-0.336508084071682,-0.189372976198589,-0.363522731631075,-0.287310762537337,-0.249087354836581,-0.372740225236127,-0.354449023279153,-0.28249425062955,-0.336591957801367,-0.189600007117944
"YPSTB_Bs_2..GE....TPM",-0.560490728211907,-0.230779292795947,-0.374507025232401,-0.322884173897364,-0.386187554806047,-0.442579143817993,-0.313314709282816,-0.560659460163284,-0.441564687521744,-0.605206115889977,-0.654278140640691,-0.50970175127821,-0.804584384709062,-0.748024688481045,-0.890450715177719,0.0234077514602467,-0.663385825474554,-0.676413961497014,-0.67827867784056,-0.698934598243363,-0.317820558197315,-0.603634316943883,-0.570633233392155,-0.607959757130323,-0.639050573209811,-0.503428603033624,-0.2362722430857,-0.0565673086349723,-0.497163841932079,-0.404983401939338,-0.477324160322902,-0.427609148927324,-0.534023008701716,-0.493213901653916,-0.57360295167175,-0.536440998335365,-0.477068630663147,-0.618195904928034,-0.347948393791765,-0.537972076733594,-0.616125026005626,-0.491566857930163,-0.740188063576755,-0.222557488739278,-0.376289828470428,-0.556939243629554,-0.476297319451079,-0.30191354337712,0.0859918708868566,-0.450337243831476,-0.243908159999284,-0.0775615121157189,-0.359588720453009,-0.837507014355101,-0.546176964045251,-0.518867216002777,-0.630836306454514,-0.18840826055275,-0.608405720331503,-0.364470590463954,-0.45958837439029,-0.159367337090994,-0.278566888095093,-0.498864871727082,-0.385980584883332,0.497104408555171,0.246887161145643,-0.0857038491638264,0.195453531590815,-0.428972324000688,-0.376880395858645,-0.451193441025199,-0.343919039408562,-0.500059091143551,-0.602492848635962,-0.517999988946378,-0.568751118235063,-0.711150108118284,-0.26630664724217,-0.0133026568899164,-0.791003555120592,-0.430320315687243,-0.607468533700152,-0.467831472047635,-0.451343903617699,-0.540670116509762,-0.569811234905275,-0.530280733559129,-0.460705169720802,-0.381537724451386,-0.43510406900665,-1.21491101861066,-0.815225507342039,-0.397750818481268,-0.179570205594783,-0.120685614438952,-0.224494909036481,-0.296059237839881,-0.276365238550328,-0.211178441686322,-0.328184194580464,-0.286270484786702,-0.261578416348417,-0.384831677258297,-0.36346805414424,-0.370853713164793,-0.299499234328853,-0.595882136197949
"YPSTB_Bs_3..GE....TPM",-0.25994638632263,-0.248209249464139,-0.445594981804856,-0.31170397159921,-0.443373845589442,-0.459581433768561,-0.329451287280028,-0.503243492321338,-0.350879846036275,-0.576943155454878,-0.654805485200689,-0.562824990671743,-0.820823983126746,-0.739887596485229,-0.847112987029616,0.00296621925406874,-0.665085418572023,-0.689557448799745,-0.643716130342182,-0.70818921205902,-0.390008098306727,-0.619809452881098,-0.57049907593719,-0.639271723241626,-0.578881103995245,-0.575745728852161,-0.47929342339885,-0.332377276878728,-0.0625008563108216,-0.41310157408451,-0.486247823280066,-0.387565144086881,-0.514382005222257,-0.413686508068323,-0.523984806786557,-0.544787553644383,-0.590292111583647,-0.632027023907758,-0.355156174100465,-0.577474199354014,-0.667801532983895,-0.485059661780384,-0.920168652052692,-0.423558492234502,-0.377966260168989,-0.540260230579345,-0.489014379143399,-0.238775169654962,0.113793692082956,-0.368989994952953,-0.194826151375341,0.0613790581148916,-0.444079012949713,-0.816638437044388,-0.503973529689598,-0.519290809088731,-0.605411044736372,-0.0612143659792507,-0.365485930080412,-0.407290621027144,-0.434069061633161,-0.0483481354739114,-0.283675696562819,-0.488248659863043,-0.379632997247917,0.527356452226104,0.232179585453236,-0.0055992945277785,0.035693040919201,-0.410845819625532,-0.340919141769632,-0.445673110811391,-0.298346032889882,-0.485635545796284,-0.519198646234658,-0.460626569927562,-0.610652859668605,-0.577790041666392,-0.264707310257446,0.150543216569428,-0.903459145364811,-0.47440979595178,-0.621585290833385,-0.486624142541482,-0.472120353287452,-0.614576029733348,-0.474916408186595,-0.511491068593485,-0.397641665839485,-0.36347084945046,-0.422568789497601,-1.1808342471174,-0.653749444516678,-0.422967627902273,-0.196399188467386,0.477304746709726,-0.0733155703585006,-0.183631643480252,-0.337428546788052,-0.261304032708056,-0.418834845445028,-0.288707666602529,-0.256386993596849,-0.395979557149441,-0.356001759517223,-0.236912223806795,-0.347425457153546,-0.386329808327332
"YPSTB_Ctrl_1..GE....TPM",-0.324414203987605,-0.337578130022292,-0.456299804784255,-0.417560851728601,-0.499861746510013,-0.522939789011579,-0.331844149762716,-0.54626730981688,-0.69544275032572,-0.968775234637392,-0.65358064812858,-0.76360910772306,-0.925692947512974,-0.935527028481059,-0.848049291380721,-0.0790613438246543,-0.670366647379213,-0.70197885356839,-0.694022846689055,-0.705926312390007,-0.647122891596567,-0.608028884349175,-0.58202764393946,-0.750765988969281,-0.670200186632355,-0.717021295055601,-0.798227404349535,-0.582779947649977,-0.523235976512162,-0.403611440129403,-0.458930173126231,-0.381792322568554,-0.511235691290135,-0.710822647400713,-0.508302153203056,-0.508466861073148,-0.924421900173074,-0.814962196278432,-0.37138405370184,-0.621845446390115,-0.653555422930353,-0.467707226381555,-0.267376233214829,-0.523311261987986,-0.0954126423542386,-0.628180159052922,-0.598322587629727,-0.912536299063281,-0.375447073511371,-0.371251153850881,-0.501277965707167,-0.480337715759527,-0.481809575137007,-0.90358506793722,-0.609346211584215,-0.500139068974752,-0.784544933054129,-0.634543608895457,-0.831083456680142,-0.323253713556149,-0.473669663579089,-0.780478630728957,-0.33670175755583,-0.618884571261715,-0.39553254983882,0.125009563036428,-0.299827042163611,0.0468695556968331,-0.414451453450672,-0.510179533306922,-0.497695619664953,-0.51584315220279,-0.476106068853061,-0.615199323433495,-0.501819091382923,-0.670564268761404,-0.656843503931799,-0.427061399422034,-0.317505089784857,-0.073991909702164,-0.966383357899865,-0.583849464553103,-0.712421161089267,-0.573791680642468,-0.552954660074727,-0.718941332177854,-0.678904343022088,-0.565440667103291,-0.442290489638094,-0.397625554462122,-0.453285418499475,-1.20031533664233,-0.483490091042366,-0.439487617136641,-0.322716925281604,-0.655934470409284,-0.402739187180094,0.71030445216634,1.24732077467462,-0.925507741233865,-0.788249560543915,-0.296688611779334,-0.314083950974322,-0.449531413959689,-0.358504819612465,-0.450510889287717,-0.380472918873183,-0.736941206749284
"YPSTB_Ctrl_2..GE....TPM",-0.665709414336338,-0.384205065000599,-0.438948066786509,-0.374618929169983,-0.442574514424948,-0.525264624815598,-0.372911621032174,-0.456717337128982,-0.699996021942543,-0.812425543280461,-0.734206699434874,-0.641923284855425,-0.808188064796042,-0.841067384277268,-0.746254650977346,-0.361184608995505,-0.666591629558652,-0.703584485595385,-0.706202490656693,-0.648851982105011,-0.89899151346417,-0.630524009223688,-0.533977547374537,-0.788108764676928,-0.711107325167594,-0.793973192175079,-0.570674813396885,-0.109972132390713,-0.44699679345164,-0.417788625236163,-0.469859520940297,-0.43359563971104,-0.494074920262431,-0.589398739579247,-0.494527840477214,-0.513873523027046,-0.934384169687955,-0.901104646612959,-0.344826627980061,-0.729292007853107,-0.474879667326213,-0.480829547139117,-0.661191438933498,-0.376500812166965,-0.2012314153329,-0.668245021782937,-0.609789449322889,-0.987994416807833,-0.157341163354147,-0.406613829099979,-0.489372163658634,-0.771165290087608,-0.557254301681887,-0.876837773317655,-0.466925288075566,-0.50889104320693,-0.274798561412835,-0.20009765694994,-0.509154058184317,-0.433329237686445,-0.572732580725496,-1.05180326989322,-0.345677719803387,-0.587986546244051,-0.397765508324283,-0.279736212103487,-0.406332366366495,-0.244605441109669,-0.178397404016073,-0.548529154765783,-0.568428842773366,-0.557152323505495,-0.580492329133935,-0.707353778470106,-0.294579182303817,-0.729546315224771,-0.65141371915497,-0.673276886847487,-0.306679832377123,-0.630594683270853,-0.856752128044994,-0.504236803327957,-0.697239888738569,-0.577412642019423,-0.575158387501769,-0.78453752858664,-0.650977119745269,-0.55305288066696,-0.513753793492191,-0.384459773656783,-0.462048383403336,-1.33486819507527,0.461114037837458,-0.442268724576104,-0.246851398796445,-0.540918794106543,-0.438055749945357,0.462538005191826,0.364692119149675,-0.882315788925573,-0.958177719194887,-0.299129561510515,-0.37098828187704,-0.454396459688286,-0.355311632317402,-0.457068934840042,-0.339610734698479,-0.646915644613293
"YPSTB_Ctrl_3..GE....TPM",-0.516472194904346,-0.361459041937871,-0.417146498600047,-0.320197599293798,-0.402445208524112,-0.484763312098159,-0.360237148769529,-0.563872943546142,-0.438275550971024,-0.943843770002627,-0.624375877713608,-0.464067212639609,-0.741054984489314,-0.769569130274743,-0.787817456362906,-0.329670748165977,-0.636068420358661,-0.678341853310716,-0.605107890033849,-0.664024512969105,-0.769289546921656,-0.584063650553178,-0.537312223318067,-0.783970139663457,-0.704699441526303,-0.688919866261667,-0.640531331113352,-0.0877221407727915,0.0373409174135266,-0.426981045236209,-0.487786448845702,-0.419151172092099,-0.461836161020158,-0.682106863513098,-0.504717693419392,-0.527851091408522,-0.82513123444626,-0.730886418901899,-0.372711665718578,-0.57738827802209,-0.587786695106618,-0.440307518382807,-0.487962855697916,-0.410131691867955,-0.264422678450928,-0.579288197413183,-0.622449585470627,-0.837500983962915,-0.189952714242777,-0.486396076276957,-0.502193245802829,-1.04529622411244,-0.751093369126003,-0.860678741413843,-0.587517504355162,-0.485162929114814,-0.464246627015199,-0.117267563915669,-0.94551186437913,-0.43246729428686,-0.707555550183897,-1.01629113700373,-0.345370007519959,-0.634157793773803,-0.414314728833473,-0.119844816593301,-0.321679818428953,-0.178663973462516,0.107315149579471,-0.599385203394129,-0.495768658020256,-0.573777974983522,-0.480822757110702,-0.679274392317431,-0.50423132998621,-0.609830879022204,-0.617615084604275,-0.738067832901568,-0.302165976228003,-0.0946248018489109,-0.694810733222831,-0.534808743912383,-0.692945171453909,-0.537677227440843,-0.543824813675001,-0.760565835381405,-0.579553409876948,-0.532026196086331,-0.504488246858443,-0.374371996029801,-0.452613833323391,-1.20389662827042,-0.00370827527826808,-0.360390335024991,-0.271732341272596,-0.721274966212559,-0.411686143856178,0.254703690008522,0.934520154854655,-0.625298873657653,-0.873722105080269,-0.299346500493605,-0.343099787139457,-0.410422923584099,-0.376736702646092,-0.453443630302983,-0.380599362120532,-0.55573495898152
"YPSTB_Li_1..GE....TPM",-0.346079605986406,-0.249482004557611,-0.277466065701038,-0.196071746199539,-0.396443595546151,-0.465717075489809,-0.173837559012423,-0.104859026284477,-0.542734325901862,0.839554150487972,1.26228211108961,1.88175824030123,1.22421334931881,1.31933200505661,1.17298246699335,-0.00389458176792472,1.13288791954835,0.671331327477544,1.2832548997164,1.39545855116146,-0.312623057732401,1.148970116168,0.897659606287467,0.587530410561641,0.618700154660029,0.669879607804359,-0.0205432306714963,-0.289304115939842,-0.599035861149851,-0.404633883167686,-0.421219669701462,-0.390279868132249,-0.425881336953218,-0.457938965693757,-0.598568286176043,-0.577787332888212,0.141622352148846,-0.0223084206193226,-0.292858116791129,1.35006045056345,0.782074994804961,0.90675570303941,1.05482366675743,-0.308225170329616,-0.659730996977769,-0.41128456252412,1.28004659896526,0.790977319616669,0.323685146828201,-0.322081079747413,-0.427229365100115,-0.673515761071806,-0.448276697432755,-0.271796102039039,-0.156598993696036,-0.234780979506377,-0.261186662884153,-0.295668589020699,0.0957003807505612,0.186602615746092,-0.571377625804884,-0.145707571424918,-0.254266978743656,-0.550038211263735,-0.407223859727367,-0.34195678147525,-0.200729618624968,0.123814088907109,-0.110600801834091,-0.479843867606382,-0.504562382892523,1.66782147730721,1.84891749628324,1.07560438830822,-0.100097485550485,-0.0581815625467981,0.0808504254601543,-0.247399736921963,-0.261979380508727,-0.463742290645893,0.76394582814603,-0.210372530500792,-0.688763399846223,-0.548620595122502,-0.57188246808176,-0.732218749323124,-0.500304437678291,-0.517463382378235,-0.505070181582964,-0.428647447274459,-0.465037034810124,1.35913228462967,1.26285779706966,0.879316620478,0.0148504895342633,0.154388670896441,-0.366179042015699,1.83468556335836,0.431304010465123,0.876251775437366,-0.635264459715999,-0.28598770047706,-0.279900122970468,-0.300626438968237,-0.353691904195023,-0.289699675731935,-0.273364630838193,0.635529904309334
