"Genes_core","PGFam_core"
NA,NA
"PGF_04992191","Aspartokinase (EC 2.7.2.4) / Homoserine dehydrogenase (EC 1.1.1.3)"
"PGF_00012356","Homoserine kinase (EC 2.7.1.39)"
"PGF_03316046","Threonine synthase (EC 4.2.3.1)"
"PGF_00065383","Uncharacterized protein YaaX"
"PGF_00064270","UPF0246 protein YaaA"
"PGF_00040088","Putative alanine/glycine transport protein"
"PGF_00057399","Transaldolase (EC 2.2.1.2)"
"PGF_00022507","Molybdopterin adenylyltransferase (EC 2.7.7.75)"
"PGF_00043742","Succinate-acetate/proton symporter SatP"
"PGF_00064226","UPF0174 protein YaaW"
"PGF_00064366","UPF0412 protein YaaI"
"PGF_10357457","Chaperone protein DnaK"
"PGF_10301134","Chaperone protein DnaJ"
"PGF_08225224","hypothetical protein"
"PGF_06945838","Na+/H+ antiporter NhaA type"
"PGF_00057513","Transcriptional activator NhaR"
"PGF_02454577","SSU ribosomal protein S20p"
"PGF_02623406","FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26)"
"PGF_05171623","Isoleucyl-tRNA synthetase (EC 6.1.1.5)"
"PGF_10049472","Lipoprotein signal peptidase (EC 3.4.23.36)"
"PGF_00003749","FKBP-type peptidyl-prolyl cis-trans isomerase SlpA (EC 5.2.1.8)"
"PGF_00423732","4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.7.4)"
"PGF_02621603","Non-specific ribonucleoside hydrolase RihC"
"PGF_01176589","4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8)"
"PGF_07015581","Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)"
"PGF_00416410","Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)"
"PGF_00057585","Transcriptional activatory protein CaiF"
"PGF_00416660","Carnitine operon protein CaiE"
"PGF_05486999","Carnitinyl-CoA dehydratase (EC 4.2.1.149)"
"PGF_00419703","Crotonobetaine--CoA ligase @ Carnitine--CoA ligase"
"PGF_01797074","Crotonobetainyl-CoA:carnitine CoA-transferase (EC 2.8.3.21)"
"PGF_00419704","Crotonobetainyl-CoA dehydrogenase (EC 1.3.99.-)"
"PGF_00016071","L-carnitine/gamma-butyrobetaine antiporter"
"PGF_00424121","Electron transfer flavoprotein, beta subunit ecFixA"
"PGF_00424114","Electron transfer flavoprotein, alpha subunit ecFixB"
"PGF_08158960","Electron transfer flavoprotein-quinone oxidoreductase ecFixC"
"PGF_08099643","Ferredoxin-like protein ecFixX"
"PGF_00042154","Putative metabolite transport protein YaaU"
"PGF_00008487","Glutathione-regulated potassium-efflux system ancillary protein KefF"
"PGF_03085583","Glutathione-regulated potassium-efflux system protein KefC"
"PGF_09348764","Dihydrofolate reductase (EC 1.5.1.3)"
"PGF_07763915","Bis(5'-nucleosyl)-tetraphosphatase, symmetrical (EC 3.6.1.41)"
"PGF_01708405","ApaG protein"
"PGF_00049827","SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase (EC 2.1.1.182)"
"PGF_00424447","4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262)"
"PGF_07075462","Periplasmic chaperone and peptidyl-prolyl cis-trans isomerase of outer membrane proteins SurA (EC 5.2.1.8)"
"PGF_09964285","LPS-assembly protein LptD @ Organic solvent tolerance protein precursor"
"PGF_00423709","DnaJ-like protein DjlA"
"PGF_00048824","LSU rRNA pseudouridine(746) synthase (EC 5.4.99.29) @ tRNA pseudouridine(32) synthase (EC 5.4.99.28)"
"PGF_05075484","RNA polymerase associated protein RapA"
"PGF_00421477","DNA polymerase II (EC 2.7.7.7)"
"PGF_05225955","L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)"
"PGF_00016028","L-arabinose isomerase (EC 5.3.1.4)"
"PGF_04205755","Ribulokinase (EC 2.7.1.16)"
"PGF_00063310","Arabinose operon regulatory protein AraC"
"PGF_00422675","DedA family inner membrane protein YabI"
"PGF_00056496","Thiamin ABC transporter, ATPase component"
"PGF_07540743","Thiamin ABC transporter, transmembrane component"
"PGF_03801045","Thiamin ABC transporter, substrate-binding component"
"PGF_00051530","SgrR, sugar-phosphate stress, transcriptional activator of SgrS small RNA"
"PGF_00054917","Sugar-phosphate stress protein SgrT (embedded in SgrS)"
"PGF_00045150","Sugar efflux transporter A"
"PGF_06660812","3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)"
"PGF_00419420","3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)"
"PGF_07191648","3-isopropylmalate dehydrogenase (EC 1.1.1.85)"
"PGF_04294677","2-isopropylmalate synthase (EC 2.3.3.13)"
"PGF_00016845","Leu operon leader peptide"
"PGF_00017790","LysR family transcriptional activator LeuO"
"PGF_00025090","Acetolactate synthase large subunit (EC 2.2.1.6)"
"PGF_00025215","Acetolactate synthase small subunit (EC 2.2.1.6)"
"PGF_00006376","Fructose repressor FruR, LacI family"
"PGF_01420802","Transcriptional regulator MraZ"
"PGF_02390924","16S rRNA (cytosine(1402)-N(4))-methyltransferase (EC 2.1.1.199)"
"PGF_01170625","Cell division protein FtsL"
"PGF_10302926","Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)"
"PGF_07096769","UDP-N-acetylmuramoyl-dipeptide--2,6-diaminopimelate ligase (EC 6.3.2.13)"
"PGF_04521913","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10)"
"PGF_00033359","Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)"
"PGF_06162930","UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase (EC 6.3.2.9)"
"PGF_10125426","Peptidoglycan glycosyltransferase FtsW (EC 2.4.1.129)"
"PGF_03295331","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)"
"PGF_00063999","UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8)"
"PGF_10518532","D-alanine--D-alanine ligase (EC 6.3.2.4)"
"PGF_10535492","Cell division protein FtsQ"
"PGF_00843497","Cell division protein FtsA"
"PGF_03520151","Cell division protein FtsZ"
"PGF_00063944","UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (EC 3.5.1.108)"
"PGF_00050230","Secretion monitor SecM"
"PGF_10049811","Protein translocase subunit SecA"
"PGF_00023476","Mutator MutT protein (7,8-dihydro-8-oxoguanine-triphosphatase) (EC 3.6.1.-)"
"PGF_01807874","DNA gyrase inhibitor YacG"
"PGF_00425810","Cell division protein ZapD"
"PGF_01135236","Dephospho-CoA kinase (EC 2.7.1.24)"
"PGF_00006931","GMP reductase (EC 1.7.1.7)"
"PGF_10309996","Type IV fimbrial assembly protein PilC"
"PGF_02473679","Type IV fimbrial assembly, ATPase PilB"
"PGF_01811659","Type IV pilin PilA"
"PGF_04828114","Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)"
"PGF_00423914","1,6-anhydro-N-acetylmuramyl-L-alanine amidase"
"PGF_03961195","AmpE protein"
"PGF_00064863","Aromatic amino acid transport protein AroP"
"PGF_02216300","Transcriptional repressor for pyruvate dehydrogenase complex"
"PGF_00045982","Pyruvate dehydrogenase E1 component (EC 1.2.4.1)"
"PGF_01915472","Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)"
"PGF_06835522","Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4) @ Dihydrolipoamide dehydrogenase (EC 1.8.1.4)"
"PGF_00716737","Uncharacterized protein YacH"
"PGF_09843777","Aconitate hydratase 2 (EC 4.2.1.3) @ 2-methylisocitrate dehydratase (EC 4.2.1.99)"
"PGF_00064256","UPF0231 protein YacL"
"PGF_00049323","S-adenosylmethionine decarboxylase proenzyme (EC 4.1.1.50), prokaryotic class 1A"
"PGF_12908096","Spermidine synthase (EC 2.5.1.16)"
"PGF_00035775","Predicted chaperone lipoprotein YacC, potentially involved in protein secretion"
"PGF_02983541","Blue copper oxidase CueO precursor"
"PGF_04577966","Glucose dehydrogenase, PQQ-dependent (EC 1.1.5.2)"
"PGF_00013490","Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)"
"PGF_00416525","Carbonic anhydrase, beta class (EC 4.2.1.1)"
"PGF_06025565","Uncharacterized efflux ABC transporter, ATP-binding protein YadG"
"PGF_00064506","Uncharacterized efflux ABC transporter, permease protein YadH"
"PGF_00029473","Putative PTS system IIA component YadI"
"PGF_03931503","Uncharacterized protein YadE"
"PGF_00985834","Aspartate 1-decarboxylase (EC 4.1.1.11)"
"PGF_00065385","Uncharacterized protein YadD"
"PGF_00523822","Pantoate--beta-alanine ligase (EC 6.3.2.1)"
"PGF_00419915","3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)"
"PGF_00064697","Uncharacterized fimbrial-like protein YadC"
"PGF_00064698","Uncharacterized fimbrial-like protein YadK"
"PGF_00064699","Uncharacterized fimbrial-like protein YadL"
"PGF_00064702","Uncharacterized fimbrial-like protein YadM"
"PGF_00028438","Outer membrane usher protein HtrE"
"PGF_00004779","Fimbria adhesin EcpD"
"PGF_00064705","Uncharacterized fimbrial-like protein YadN"
"PGF_10123167","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)"
"PGF_00034566","Poly(A) polymerase (EC 2.7.7.19)"
"PGF_03843396","Glutamyl-Q tRNA(Asp) synthetase"
"PGF_00046597","RNA polymerase-binding transcription factor DksA"
"PGF_00054920","Sugar fermentation stimulation protein SfsA"
"PGF_00820102","2'-5' RNA ligase"
"PGF_06949599","ATP-dependent helicase HrpB"
"PGF_05982667","Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)"
"PGF_03000271","Ferric hydroxamate outer membrane receptor FhuA"
"PGF_06509266","Ferric hydroxamate ABC transporter (TC 3.A.1.14.3), ATP-binding protein FhuC"
"PGF_06098925","Ferric hydroxamate ABC transporter (TC 3.A.1.14.3), periplasmic substrate binding protein FhuD"
"PGF_02927872","Ferric hydroxamate ABC transporter (TC 3.A.1.14.3), permease component FhuB"
"PGF_09019918","Glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8)"
NA,"Voltage-gated H(+)/2Cl(-) exchange transporter ClcA"
"PGF_09545833","Iron-sulfur cluster insertion protein ErpA"
"PGF_00612013","UPF0126 inner membrane protein YadS"
"PGF_03799122","Vitamin B12 ABC transporter, substrate-binding protein BtuF"
"PGF_00777996","5'-methylthioadenosine nucleosidase (EC 3.2.2.16) @ S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)"
"PGF_10089955","Deoxyguanosinetriphosphate triphosphohydrolase (EC 3.1.5.1), subgroup 1"
"PGF_10052038","HtrA protease/chaperone protein"
"PGF_00033436","Phosphodiesterase YaeI"
"PGF_00020172","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)"
"PGF_05562713","[Protein-PII] uridylyltransferase (EC 2.7.7.59) / [Protein-PII]-UMP uridylyl-removing enzyme"
"PGF_06629251","Methionine aminopeptidase (EC 3.4.11.18)"
"PGF_04505269","SSU ribosomal protein S2p (SAe)"
"PGF_00121596","hypothetical protein"
"PGF_06936561","Translation elongation factor Ts"
"PGF_02923127","Uridylate kinase (EC 2.7.4.22)"
"PGF_00048926","Ribosome recycling factor"
"PGF_09077460","1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)"
"PGF_02280759","Undecaprenyl diphosphate synthase (EC 2.5.1.31)"
"PGF_03752718","Intramembrane protease RasP/YluC, implicated in cell division based on FtsL cleavage"
"PGF_07253156","Outer membrane protein assembly factor YaeT"
"PGF_06683120","Periplasmic chaperone of outer membrane proteins Skp @ Outer membrane protein H precursor"
"PGF_00063948","UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.191)"
"PGF_07504595","3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)"
"PGF_00033729","Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (EC 2.3.1.129)"
"PGF_00017109","Lipid-A-disaccharide synthase (EC 2.4.1.182)"
"PGF_00048556","Ribonuclease HII (EC 3.1.26.4)"
"PGF_10406880","DNA polymerase III alpha subunit (EC 2.7.7.7)"
"PGF_05399159","Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)"
"PGF_05804148","Lysine decarboxylase 2, constitutive (EC 4.1.1.18)"
"PGF_00013273","Uncharacterized protein YaeR with similarity to glyoxylase family"
"PGF_09087715","tRNA(Ile)-lysidine synthetase (EC 6.3.4.19)"
"PGF_00048290","Rho-specific inhibitor of transcription termination (YaeO)"
"PGF_00064277","UPF0253 protein YaeP"
"PGF_00067192","YaeQ protein"
"PGF_00013272","Peptidyl-tRNA hydrolase ArfB (EC 3.1.1.29)"
"PGF_00419533","Copper homeostasis protein CutF precursor / Lipoprotein NlpE involeved in surface adhesion"
"PGF_00037588","Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type"
"PGF_02635429","tRNA (adenine(37)-N6)-methyltransferase"
"PGF_00037945","Protein RcsF"
"PGF_05366548","Methionine ABC transporter substrate-binding protein"
"PGF_02898176","Methionine ABC transporter permease protein"
"PGF_00020717","Methionine ABC transporter ATP-binding protein"
"PGF_07391058","D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase (EC 3.1.3.82)"
"PGF_00020994","Methylglyoxal reductase, dihydroxyacetone producing @ 2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming) (EC 1.1.1.346)"
"PGF_00017839","Transcriptional regulator YafC, LysR family"
"PGF_00064294","UPF0294 protein YafD"
"PGF_00049546","SAM-dependent methyltransferase YafE (UbiE paralog)"
"PGF_08109371","Membrane-bound lytic murein transglycosylase D"
"PGF_00906364","Hydroxyacylglutathione hydrolase (EC 3.1.2.6)"
"PGF_00426342","FIG005121: SAM-dependent methyltransferase (EC 2.1.1.-)"
"PGF_09258168","Ribonuclease HI (EC 3.1.26.4)"
"PGF_10506571","DNA polymerase III epsilon subunit (EC 2.7.7.7)"
"PGF_00067296","YeeV toxin protein"
"PGF_00670061","Copper sensory histidine kinase CusS"
"PGF_00853906","Copper-sensing two-component system response regulator CusR"
"PGF_00416745","Copper/silver efflux RND transporter, outer membrane protein CusC"
"PGF_00416746","Copper/silver efflux RND transporter, periplasmic protein CusF"
"PGF_07032168","Copper/silver efflux RND transporter, membrane fusion protein CusB"
"PGF_10279967","Copper/silver efflux RND transporter, transmembrane protein CusA"
"PGF_09969323","CopG protein"
"PGF_07109475","Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)"
"PGF_00417229","Cell wall endopeptidase, family M23/M37"
"PGF_00419595","Copper-binding protein PcoE"
"PGF_00419551","Copper resistance protein CopC"
"PGF_00419566","Copper resistance protein CopD"
"PGF_00058642","Transcriptional regulator PcoR"
"PGF_00051000","Sensory protein kinase PcoS (EC 2.7.13.3)"
"PGF_01000105","Mobile element protein"
"PGF_00010376","H repeat-associated protein, YhhI family"
"PGF_00847718","Aliphatic amidase AmiE (EC 3.5.1.4)"
"PGF_00014083","Inhibitor of vertebrate c-type lysozyme, periplasmic => Ivy"
"PGF_07284660","Acyl-coenzyme A dehydrogenase FadE (EC 1.3.8.-)"
"PGF_04760055","D-sedoheptulose 7-phosphate isomerase (EC 5.3.1.28)"
"PGF_02268482","Putative glutamine amidotransferase YafJ"
"PGF_06206721","Putative L,D-transpeptidase YafK"
"PGF_00037053","Probable endopeptidase YafL"
"PGF_07822094","Transposase and inactivated derivatives"
"PGF_00005384","Flagellar biosynthesis protein FlhA"
"PGF_01899924","Flagellar motor rotation protein MotB"
"PGF_03787622","DNA polymerase IV (EC 2.7.7.7)"
"PGF_00060587","Antitoxin YafN"
"PGF_00057343","Toxin YafO"
"PGF_00064608","Uncharacterized acetyltransferase YafP (EC 2.3.1.-)"
"PGF_00038709","Protein with similarity to RtcB"
"PGF_00030650","Peptide chain release factor homolog"
"PGF_00420732","Cytosol nonspecific dipeptidase (EC 3.4.13.18)"
"PGF_01174787","Xanthine-guanine phosphoribosyltransferase (EC 2.4.2.22)"
"PGF_00004253","Fermentation/respiration switch protein"
"PGF_00419816","Curlin genes transcriptional activator"
"PGF_00028093","Outer membrane porin PhoE"
"PGF_09129813","Glutamate 5-kinase (EC 2.7.2.11) / RNA-binding C-terminal domain PUA"
"PGF_05387084","Gamma-glutamyl phosphate reductase (EC 1.2.1.41)"
"PGF_01615525","Phage integrase"
"PGF_00065549","Uncharacterized protein YfdT"
"PGF_00099229","Phage protein NinC"
"PGF_00415551","COG1896: Predicted hydrolases of HD superfamily"
"PGF_00065548","Uncharacterized protein YfdQ"
"PGF_00065546","Uncharacterized protein YfdP"
"PGF_09742402","Transcriptional regulator, Xre family"
"PGF_00065631","Uncharacterized protein YmfL"
"PGF_05353489","Phage DNA replication protein O"
"PGF_00065545","Uncharacterized protein YfdN"
"PGF_04938124","Phage protein similar to LexA"
"PGF_04070479","Phage protein"
"PGF_02808139","Phage antitermination protein Q"
"PGF_05146573","hypothetical protein"
"PGF_07801087","Phage holin/antiholin component S"
"PGF_00032004","Phage lysozyme R (EC 3.2.1.17)"
"PGF_00424380","Phage endopeptidase Rz"
"PGF_06388337","hypothetical protein"
"PGF_06492536","Phage-associated homing endonuclease"
"PGF_00037261","Phage terminase, small subunit"
"PGF_08341047","Phage head, terminase DNA packaging protein A"
"PGF_08785660","Phage head, portal protein B"
"PGF_02895979","Phage major capsid protein"
"PGF_07445627","Phage DNA packaging"
"PGF_00306010","Head-tail adaptor"
"PGF_00227974","Phage protein"
NA,"FIG111678: IS, phage, Tn; Transposon-related functions"
"PGF_10332673","Phage protein Mup38"
"PGF_09809496","Phage tail sheath Mup39, L"
"PGF_02723270","Phage small tail protein E"
"PGF_01650163","hypothetical protein"
"PGF_10534343","Phage tape measure protein Mup42"
"PGF_00323616","hypothetical protein"
"PGF_04144198","Phage tail/DNA circulation protein Mup43, N"
"PGF_03301941","Phage tail protein Mup44, P"
"PGF_09352077","Phage baseplate assembly protein Mup45, Q"
"PGF_00784983","Phage protein Mup46, V"
"PGF_10311784","Phage protein Mup47, W"
"PGF_07694612","Phage protein Mup48"
"PGF_10378329","Phage tail fiber Mup49, S"
"PGF_12733793","Phage tail fiber assembly protein @ Phage tail fiber assembly protein YcfA"
"PGF_01054699","Tail fiber assembly protein"
"PGF_04069129","Phage DNA invertase"
"PGF_03350432","hypothetical protein"
"PGF_10550403","Transcriptional regulator, AraC family"
"PGF_07214360","Integrase"
"PGF_04357668","hypothetical protein"
"PGF_00056509","AntA/AntB antirepressor domain protein"
"PGF_10384838","hypothetical protein"
"PGF_05710538","DNA primase, phage associated"
"PGF_03300680","hypothetical protein"
"PGF_00324297","hypothetical protein"
"PGF_01631630","hypothetical protein"
"PGF_00273535","hypothetical protein"
"PGF_05840429","hypothetical protein"
"PGF_00133853","hypothetical protein"
"PGF_10300056","LysR family transcriptional regulator YagP"
"PGF_00254024","Uncharacterized protein YagQ"
"PGF_05637823","Periplasmic aromatic aldehyde oxidoreductase, molybdenum binding subunit YagR"
"PGF_00030918","Periplasmic aromatic aldehyde oxidoreductase, FAD binding subunit YagS"
"PGF_04478029","Periplasmic aromatic aldehyde oxidoreductase, iron-sulfur subunit YagT"
"PGF_01646552","hypothetical protein"
"PGF_00415054","CFA/I fimbrial chaperone"
"PGF_00415056","CFA/I fimbrial minor adhesin"
"PGF_00415059","CFA/I fimbrial subunit C usher protein"
"PGF_00415052","CFA/I fimbrial auxiliary subunit"
"PGF_00415055","CFA/I fimbrial major subunit"
"PGF_00010728","Transcriptional regulator EcpR"
"PGF_01650757","Uncharacterized protein YkgL"
"PGF_00016425","LSU ribosomal protein L36p @ LSU ribosomal protein L36p, zinc-independent"
"PGF_01614738","LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-independent"
"PGF_00040086","Putative adhesin"
"PGF_00058707","Transcriptional regulator YkgA"
"PGF_00014119","Inner membrane protein RclC associated with response to reactive chlorine species"
"PGF_00065289","Uncharacterized protein RclB associated with response to reactive chlorine species"
"PGF_00039340","Putative Dihydrolipoamide dehydrogenase (EC 1.8.1.4); Mercuric ion reductase (EC 1.16.1.1); PF00070 family, FAD-dependent NAD(P)-disulphide oxidoreductase"
"PGF_00047074","Reactive-chlorine-species-specific transcriptional activator RclR, AraC family"
"PGF_00035591","Predicted L-lactate dehydrogenase, Fe-S oxidoreductase subunit YkgE"
"PGF_00035595","Predicted L-lactate dehydrogenase, Iron-sulfur cluster-binding subunit YkgF"
"PGF_08020458","Predicted L-lactate dehydrogenase, hypothetical protein subunit YkgG"
"PGF_00065621","Uncharacterized protein YkgH"
"PGF_00861656","Choline dehydrogenase (EC 1.1.99.1)"
"PGF_00402817","Betaine aldehyde dehydrogenase (EC 1.2.1.8)"
"PGF_00010719","Transcriptional regulator BetI, TetR family"
"PGF_00979882","High-affinity choline uptake protein BetT"
"PGF_00419905","c-di-GMP phosphodiesterase (EC 3.1.4.52) => PdeL"
"PGF_00017842","LysR family transcriptional regulator YahB"
"PGF_00065390","Uncharacterized protein YahC"
"PGF_00040277","Putative ankyrin repeat protein YahD"
"PGF_00065391","Uncharacterized protein YahE"
"PGF_00065392","Uncharacterized protein YahF, possible CoA ligase"
"PGF_00065397","Uncharacterized protein YahG"
"PGF_12937599","Carbamate kinase-like protein YahI"
"PGF_00040528","Putative deaminase YahJ"
"PGF_00671335","Cinnamyl alcohol dehydrogenase/reductase (EC 1.1.1.195) @ Alcohol dehydrogenase (EC 1.1.1.1)"
"PGF_00065398","Uncharacterized protein YahL"
"PGF_00064800","Uncharacterized membrane protein YahN"
"PGF_01643618","hypothetical protein"
"PGF_00037744","Propionate catabolism operon regulatory protein PrpR"
"PGF_09221959","Methylisocitrate lyase (EC 4.1.3.30)"
"PGF_00403434","2-methylcitrate synthase (EC 2.3.3.5)"
"PGF_00403273","2-methylcitrate dehydratase (EC 4.2.1.79)"
"PGF_09996901","Propionate--CoA ligase (EC 6.2.1.17)"
"PGF_00420694","Cytosine permease"
"PGF_01078020","Cytosine deaminase (EC 3.5.4.1)"
"PGF_04411115","Cyn operon transcriptional activator"
"PGF_00419842","Cyanate hydratase (EC 4.2.1.104)"
"PGF_10330493","Cyanate transport protein CynX"
"PGF_00660064","Galactoside O-acetyltransferase (EC 2.3.1.18)"
"PGF_00047030","Lactose permease"
"PGF_04836613","beta-galactosidase (EC 3.2.1.23)"
"PGF_00060284","Transcriptional repressor of the lac operon"
"PGF_00021427","Mhp operon transcriptional activator"
"PGF_01191908","3-(3-hydroxyphenyl)propanoate hydroxylase (EC 1.14.13.127)"
"PGF_04347466","3-carboxyethylcatechol 2,3-dioxygenase (EC 1.13.11.16)"
"PGF_04746396","2-hydroxy-6-oxonona-2,4-dienedioate hydrolase (EC 3.7.1.14)"
"PGF_02082131","2-keto-4-pentenoate hydratase (EC 4.2.1.80)"
"PGF_05569319","Acetaldehyde dehydrogenase, acetylating, (EC 1.2.1.10) in gene cluster for degradation of phenols, cresols, catechol"
"PGF_05783138","4-hydroxy-2-oxovalerate aldolase (EC 4.1.3.39)"
"PGF_10472124","3-(3-hydroxyphenyl)propionate transporter, MFS-type"
"PGF_00026354","Nucleoprotein/polynucleotide-associated enzyme"
"PGF_00049363","S-formylglutathione hydrolase (EC 3.1.2.12)"
"PGF_01632255","S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284)"
"PGF_00471668","FrmR: Negative transcriptional regulator of formaldehyde detoxification operon"
"PGF_00201367","hypothetical protein"
"PGF_00064733","Uncharacterized glycosyltransferase YaiP"
"PGF_00064664","Uncharacterized deacetylase YaiS"
"PGF_00056121","Taurine ABC transporter, substrate-binding protein TauA"
"PGF_00785326","Taurine ABC transporter, ATP-binding protein TauB"
"PGF_07635835","Taurine ABC transporter, permease protein TauC"
